datetime,gw_elev[m]
5/18/2017,381.262128
5/19/2017,381.222504
5/20/2017,381.231648
5/21/2017,381.249936
5/22/2017,381.237744
5/23/2017,381.271272
5/24/2017,381.316992
5/25/2017,381.332232
5/26/2017,381.344424
5/27/2017,381.338328
5/28/2017,381.329184
5/29/2017,381.307848
5/30/2017,381.286512
5/31/2017,381.262128
6/1/2017,381.234696
6/2/2017,381.207264
6/3/2017,381.179832
6/4/2017,381.1524
6/5/2017,381.12192
6/6/2017,381.088392
6/7/2017,381.051816
6/8/2017,381.012192
6/9/2017,380.966472
6/10/2017,380.914656
6/11/2017,380.856744
6/12/2017,380.838456
6/13/2017,380.8476
6/14/2017,380.798832
6/15/2017,380.759208
6/16/2017,380.719584
6/17/2017,380.673864
6/18/2017,380.628144
6/19/2017,380.57328
6/20/2017,380.521464
6/21/2017,380.469648
6/22/2017,380.490984
6/23/2017,380.518416
6/24/2017,380.445264
6/25/2017,380.399544
6/26/2017,380.350776
6/27/2017,380.295912
6/28/2017,380.366016
6/29/2017,381.161544
6/30/2017,381.24384
7/1/2017,381.237744
7/2/2017,381.219456
7/3/2017,381.195072
7/4/2017,381.16764
7/5/2017,381.134112
7/6/2017,381.094488
7/7/2017,381.04572
7/8/2017,380.993904
7/9/2017,380.93904
7/10/2017,380.87808
7/11/2017,380.804928
7/12/2017,380.728728
7/13/2017,380.643384
7/14/2017,380.564136
7/15/2017,380.487936
7/16/2017,380.40564
7/17/2017,380.320296
7/18/2017,380.238
7/19/2017,380.311152
7/20/2017,380.66472
7/21/2017,380.640336
7/22/2017,380.615952
7/23/2017,380.5428
7/24/2017,380.469648
7/25/2017,380.478792
7/26/2017,380.472696
7/27/2017,380.408688
7/28/2017,380.332488
7/29/2017,380.25324
7/30/2017,380.17704
7/31/2017,380.109984
8/1/2017,380.03988
8/2/2017,379.969776
8/3/2017,380.305056
8/4/2017,380.582424
8/5/2017,380.536704
8/6/2017,380.48184
8/7/2017,380.417832
8/8/2017,380.34468
8/9/2017,380.26848
8/10/2017,380.189232
8/11/2017,380.109984
8/12/2017,380.027688
8/13/2017,379.945392
8/14/2017,379.87224
8/15/2017,379.805184
8/16/2017,379.744224
8/17/2017,379.73508
8/18/2017,379.677168
8/19/2017,379.619256
8/20/2017,379.555248
8/21/2017,379.494288
8/22/2017,379.451616
8/23/2017,0
8/24/2017,0
8/25/2017,0
8/26/2017,0
8/27/2017,0
8/28/2017,0
8/29/2017,0
8/30/2017,0
8/31/2017,0
9/1/2017,0
9/2/2017,0
9/3/2017,0
9/4/2017,0
9/5/2017,0
9/6/2017,0
9/7/2017,0
9/8/2017,0
9/9/2017,0
9/10/2017,0
9/11/2017,0
9/12/2017,0
9/13/2017,0
9/14/2017,0
9/15/2017,0
9/16/2017,0
9/17/2017,0
9/18/2017,0
9/19/2017,0
9/20/2017,0
9/21/2017,0
9/22/2017,0
9/23/2017,0
9/24/2017,0
9/25/2017,0
9/26/2017,0
9/27/2017,0
9/28/2017,0
9/29/2017,0
9/30/2017,0
