DATE,RCH[m3/s],RCH[m/day]
5/18/2017 0:00,0.058662891,0.001094703
5/18/2017 1:00,0.058108477,0.001084357
5/18/2017 2:00,0.073497015,0.001371521
5/18/2017 3:00,0.097684702,0.001822885
5/18/2017 4:00,0.064309622,0.001200076
5/18/2017 5:00,0.059727906,0.001114577
5/18/2017 6:00,0.058978447,0.001100591
5/18/2017 7:00,0.059393595,0.001108338
5/18/2017 8:00,0.058158215,0.001085285
5/18/2017 9:00,0.058156649,0.001085256
5/18/2017 10:00,0.060501486,0.001129013
5/18/2017 11:00,0.069104422,0.001289551
5/18/2017 12:00,0.058799567,0.001097253
5/18/2017 13:00,0.058884461,0.001098837
5/18/2017 14:00,0.062604414,0.001168255
5/18/2017 15:00,0.056292743,0.001050474
5/18/2017 16:00,0.056273892,0.001050122
5/18/2017 17:00,0.056251031,0.001049695
5/18/2017 18:00,0.056220529,0.001049126
5/18/2017 19:00,0.05618765,0.001048513
5/18/2017 20:00,0.056158523,0.001047969
5/18/2017 21:00,0.056131252,0.00104746
5/18/2017 22:00,0.056105652,0.001046982
5/18/2017 23:00,0.056081143,0.001046525
5/19/2017 0:00,0.05606036,0.001046137
5/19/2017 1:00,0.056044739,0.001045846
5/19/2017 2:00,0.056034965,0.001045663
5/19/2017 3:00,0.056026949,0.001045514
5/19/2017 4:00,0.056018821,0.001045362
5/19/2017 5:00,0.05601054,0.001045207
5/19/2017 6:00,0.056001867,0.001045046
5/19/2017 7:00,0.055992813,0.001044877
5/19/2017 8:00,0.05598355,0.001044704
5/19/2017 9:00,0.05597396,0.001044525
5/19/2017 10:00,0.055963863,0.001044336
5/19/2017 11:00,0.055953447,0.001044142
5/19/2017 12:00,0.05594238,0.001043936
5/19/2017 13:00,0.055929429,0.001043694
5/19/2017 14:00,0.055922833,0.001043571
5/19/2017 15:00,0.055909667,0.001043325
5/19/2017 16:00,0.055886452,0.001042892
5/19/2017 17:00,0.055859716,0.001042393
5/19/2017 18:00,0.055831962,0.001041875
5/19/2017 19:00,0.055804661,0.001041366
5/19/2017 20:00,0.055775525,0.001040822
5/19/2017 21:00,0.055749175,0.00104033
5/19/2017 22:00,0.054926776,0.001024983
5/19/2017 23:00,0.054354027,0.001014295
5/20/2017 0:00,0.054334082,0.001013923
5/20/2017 1:00,0.054314159,0.001013551
5/20/2017 2:00,0.05429695,0.00101323
5/20/2017 3:00,0.054280668,0.001012927
5/20/2017 4:00,0.054264195,0.001012619
5/20/2017 5:00,0.054247579,0.001012309
5/20/2017 6:00,0.054230754,0.001011995
5/20/2017 7:00,0.054434009,0.001015788
5/20/2017 8:00,0.232668004,0.004341796
5/20/2017 9:00,0.341266254,0.006368338
5/20/2017 10:00,0.343493488,0.0064099
5/20/2017 11:00,0.345876127,0.006454362
5/20/2017 12:00,0.347018434,0.006475679
5/20/2017 13:00,0.348228591,0.006498261
5/20/2017 14:00,0.349525633,0.006522465
5/20/2017 15:00,0.350586195,0.006542256
5/20/2017 16:00,0.351336399,0.006556256
5/20/2017 17:00,0.351538472,0.006560027
5/20/2017 18:00,0.352016569,0.006568948
5/20/2017 19:00,0.352541167,0.006578738
5/20/2017 20:00,0.353060096,0.006588422
5/20/2017 21:00,0.353661179,0.006599638
5/20/2017 22:00,0.354280457,0.006611195
5/20/2017 23:00,0.315798068,0.005893078
5/21/2017 0:00,0.256128358,0.004779588
5/21/2017 1:00,0.232761779,0.004343546
5/21/2017 2:00,0.229781937,0.004287939
5/21/2017 3:00,0.202690286,0.003782385
5/21/2017 4:00,0.181170463,0.003380805
5/21/2017 5:00,0.181036434,0.003378304
5/21/2017 6:00,0.161193238,0.003008012
5/21/2017 7:00,0.140741047,0.002626356
5/21/2017 8:00,0.139420124,0.002601706
5/21/2017 9:00,0.125208387,0.002336502
5/21/2017 10:00,0.120397786,0.002246732
5/21/2017 11:00,0.114015647,0.002127635
5/21/2017 12:00,0.114386904,0.002134563
5/21/2017 13:00,0.11433604,0.002133614
5/21/2017 14:00,0.114483606,0.002136368
5/21/2017 15:00,0.114624026,0.002138988
5/21/2017 16:00,0.114757936,0.002141487
5/21/2017 17:00,0.106743962,0.001991939
5/21/2017 18:00,0.104012343,0.001940965
5/21/2017 19:00,0.09205612,0.001717851
5/21/2017 20:00,0.090147321,0.001682231
5/21/2017 21:00,0.09022449,0.001683671
