datetime,gw_elev[ft],gw_elev[m]
6/9/2018,1250.36,381.109728
6/10/2018,1250.43,381.131064
6/11/2018,1250.33,381.100584
6/12/2018,1250.19,381.057912
6/13/2018,1250.04,381.012192
6/14/2018,1249.9,380.96952
6/15/2018,1249.76,380.926848
6/16/2018,1249.59,380.875032
6/17/2018,1249.41,380.820168
6/18/2018,1250.11,381.033528
6/19/2018,1250.43,381.131064
6/20/2018,1251.31,381.399288
6/21/2018,1251.98,381.603504
6/22/2018,1252.04,381.621792
6/23/2018,1251.92,381.585216
6/24/2018,1251.82,381.554736
6/25/2018,1251.74,381.530352
6/26/2018,1252.29,381.697992
6/27/2018,1252.41,381.734568
6/28/2018,1252.15,381.65532
6/29/2018,1252,381.6096
6/30/2018,1252.01,381.612648
7/1/2018,1252.22,381.676656
7/2/2018,1251.96,381.597408
7/3/2018,1251.86,381.566928
7/4/2018,1251.85,381.56388
7/5/2018,1251.8,381.54864
7/6/2018,1251.72,381.524256
7/7/2018,1251.68,381.512064
7/8/2018,1251.61,381.490728
7/9/2018,1251.55,381.47244
7/10/2018,1251.48,381.451104
7/11/2018,1251.38,381.420624
7/12/2018,1251.27,381.387096
7/13/2018,1251.43,381.435864
7/14/2018,1251.33,381.405384
7/15/2018,1251.15,381.35052
7/16/2018,1250.98,381.298704
7/17/2018,,0
7/18/2018,1250.71,381.216408
7/19/2018,1250.61,381.185928
7/20/2018,1250.5,381.1524
7/21/2018,1250.35,381.10668
7/22/2018,1250.19,381.057912
7/23/2018,1250.01,381.003048
7/24/2018,1249.8,380.93904
7/25/2018,1249.57,380.868936
7/26/2018,1249.31,380.789688
7/27/2018,1249.01,380.698248
7/28/2018,1248.7,380.60376
7/29/2018,1248.39,380.509272
7/30/2018,1248.11,380.423928
7/31/2018,1247.82,380.335536
8/1/2018,1247.54,380.250192
8/2/2018,1247.26,380.164848
8/3/2018,1246.98,380.079504
8/4/2018,1246.68,379.988064
8/5/2018,1246.39,379.899672
8/6/2018,1246.12,379.817376
8/7/2018,1245.83,379.728984
8/8/2018,1245.57,379.649736
8/9/2018,1245.3,379.56744
8/10/2018,1245.06,379.494288
8/11/2018,1244.81,379.418088
8/12/2018,1244.57,379.344936
8/13/2018,1244.35,379.27788
8/14/2018,1244.14,379.213872
8/15/2018,1243.93,379.149864
8/16/2018,1243.78,379.104144
8/17/2018,1243.75,379.095
8/18/2018,1243.58,379.043184
8/19/2018,1243.42,378.994416
8/20/2018,1243.27,378.948696
8/21/2018,1243.1,378.89688
8/22/2018,1242.92,378.842016
8/23/2018,1242.74,378.787152
8/24/2018,1242.57,378.735336
8/25/2018,1242.4,378.68352
8/26/2018,1242.24,378.634752
8/27/2018,1242.23,378.631704
8/28/2018,1242.81,378.808488
8/29/2018,1242.79,378.802392
8/30/2018,,0
8/31/2018,1242.27,378.643896
