DATE,RCH[m3/s],RCH[m/day]
6/11/2018 0:00,0.068186943,0.00127243
6/11/2018 1:00,0.068234655,0.001273321
6/11/2018 2:00,0.068297054,0.001274485
6/11/2018 3:00,0.068361054,0.001275679
6/11/2018 4:00,0.068424142,0.001276857
6/11/2018 5:00,0.068486227,0.001278015
6/11/2018 6:00,0.068547183,0.001279153
6/11/2018 7:00,0.067613792,0.001261735
6/11/2018 8:00,0.062488625,0.001166094
6/11/2018 9:00,0.062427759,0.001164959
6/11/2018 10:00,0.062572934,0.001167668
6/11/2018 11:00,0.062508048,0.001166457
6/11/2018 12:00,0.062545613,0.001167158
6/11/2018 13:00,0.06257973,0.001167795
6/11/2018 14:00,0.062604098,0.001168249
6/11/2018 15:00,0.062610033,0.00116836
6/11/2018 16:00,0.062589497,0.001167977
6/11/2018 17:00,0.062560784,0.001167441
6/11/2018 18:00,0.062525222,0.001166777
6/11/2018 19:00,0.062483135,0.001165992
6/11/2018 20:00,0.062462954,0.001165615
6/11/2018 21:00,0.062444945,0.001165279
6/11/2018 22:00,0.062417071,0.001164759
6/11/2018 23:00,0.062383938,0.001164141
6/12/2018 0:00,0.062369359,0.001163869
6/12/2018 1:00,0.062389368,0.001164242
6/12/2018 2:00,0.059597848,0.00111215
6/12/2018 3:00,0.059240969,0.00110549
6/12/2018 4:00,0.05935274,0.001107576
6/12/2018 5:00,0.059378925,0.001108065
6/12/2018 6:00,0.059454875,0.001109482
6/12/2018 7:00,0.059532823,0.001110936
6/12/2018 8:00,0.059555597,0.001111361
6/12/2018 9:00,0.059633369,0.001112813
6/12/2018 10:00,0.059655732,0.00111323
6/12/2018 11:00,0.058854931,0.001098286
6/12/2018 12:00,0.057267731,0.001068668
6/12/2018 13:00,0.057225704,0.001067884
6/12/2018 14:00,0.056995224,0.001063583
6/12/2018 15:00,0.056604912,0.001056299
6/12/2018 16:00,0.056608069,0.001056358
6/12/2018 17:00,0.056607937,0.001056355
6/12/2018 18:00,0.055255284,0.001031114
6/12/2018 19:00,0.054168585,0.001010835
6/12/2018 20:00,0.05413366,0.001010183
6/12/2018 21:00,0.05409184,0.001009403
6/12/2018 22:00,0.054050659,0.001008634
6/12/2018 23:00,0.054009809,0.001007872
6/13/2018 0:00,0.053975996,0.001007241
6/13/2018 1:00,0.053947509,0.001006709
6/13/2018 2:00,0.053938997,0.001006551
6/13/2018 3:00,0.053936301,0.0010065
6/13/2018 4:00,0.053936172,0.001006498
6/13/2018 5:00,0.053936911,0.001006512
6/13/2018 6:00,0.053937426,0.001006521
6/13/2018 7:00,0.053937615,0.001006525
6/13/2018 8:00,0.053936982,0.001006513
6/13/2018 9:00,0.053935353,0.001006483
6/13/2018 10:00,0.053933497,0.001006448
6/13/2018 11:00,0.053930997,0.001006401
6/13/2018 12:00,0.053923631,0.001006264
6/13/2018 13:00,0.053897122,0.001005769
