Date,Q [m3/day]
1/1/2019,4727.677081
1/2/2019,4487.217077
1/3/2019,4226.639473
1/4/2019,3949.918888
1/5/2019,4036.6225
1/6/2019,3809.595351
1/7/2019,5356.087849
1/8/2019,4217.13149
1/9/2019,3760.074998
1/10/2019,3586.147895
1/11/2019,3428.963186
1/12/2019,3277.345645
1/13/2019,3189.204438
1/14/2019,3120.039946
1/15/2019,3042.702992
1/16/2019,2925.785325
1/17/2019,2858.700859
1/18/2019,2781.395439
1/19/2019,2763.05178
1/20/2019,2742.087599
1/21/2019,2727.986371
1/22/2019,2627.211295
1/23/2019,2603.352153
1/24/2019,2527.668481
1/25/2019,2505.291102
1/26/2019,2499.084706
1/27/2019,2535.116156
1/28/2019,2346.452436
1/29/2019,2264.838161
1/30/2019,2187.218016
1/31/2019,2159.858104
2/1/2019,2159.858104
2/2/2019,2128.966195
2/3/2019,3176.695117
2/4/2019,5062.559059
2/5/2019,3111.028823
2/6/2019,2637.58814
2/7/2019,2405.157641
2/8/2019,2230.604806
2/9/2019,2116.691522
2/10/2019,2053.601902
2/11/2019,2039.67313
2/12/2019,2033.229298
2/13/2019,1988.089612
2/14/2019,1928.66334
2/15/2019,1873.435561
2/16/2019,1903.518652
2/17/2019,1950.500594
2/18/2019,1902.595303
2/19/2019,1850.524335
2/20/2019,1802.115891
2/21/2019,1754.65215
2/22/2019,1752.697647
2/23/2019,1752.665718
2/24/2019,1714.616774
2/25/2019,1686.212626
2/26/2019,1660.804091
2/27/2019,1657.935552
2/28/2019,1582.284056
3/1/2019,1460.374307
3/2/2019,1443.280081
3/3/2019,1481.266329
3/4/2019,1457.414499
3/5/2019,1408.827437
3/6/2019,1408.827437
3/7/2019,1407.091261
3/8/2019,1396.459822
3/9/2019,1397.343223
3/10/2019,1340.206973
3/11/2019,1297.351506
3/12/2019,1551.093132
3/13/2019,4230.804364
3/14/2019,15191.3091
3/15/2019,10724.06109
3/16/2019,6867.57777
3/17/2019,5120.643928
3/18/2019,4285.956888
3/19/2019,6132.158669
3/20/2019,8422.228817
3/21/2019,11083.43213
3/22/2019,12750.50738
3/23/2019,11720.01245
3/24/2019,10885.86173
3/25/2019,9160.848694
3/26/2019,8281.461073
3/27/2019,9060.808131
3/28/2019,7789.477802
3/29/2019,5929.978153
3/30/2019,4998.509823
3/31/2019,4325.677445
4/1/2019,3988.404207
4/2/2019,3890.81457
4/3/2019,3758.551569
4/4/2019,3559.442529
4/5/2019,3373.188809
4/6/2019,3370.249522
4/7/2019,3399.281983
4/8/2019,3358.888796
4/9/2019,3247.469449
4/10/2019,3128.534856
4/11/2019,3121.988863
4/12/2019,2923.619587
4/13/2019,2869.28771
4/14/2019,3419.101784
4/15/2019,6424.143693
4/16/2019,7884.080633
4/17/2019,7487.157267
4/18/2019,11980.73961
4/19/2019,12014.62071
4/20/2019,9978.588864
4/21/2019,8357.651294
4/22/2019,7322.118241
4/23/2019,6624.180663
4/24/2019,6072.900671
4/25/2019,5619.421775
4/26/2019,5266.149693
4/27/2019,4992.738966
4/28/2019,4736.566115
4/29/2019,4544.122094
4/30/2019,4414.434444
5/1/2019,4318.70384
5/2/2019,3756.899131
5/3/2019,3442.352164
5/4/2019,3509.297055
5/5/2019,3482.519099
5/6/2019,3402.221271
5/7/2019,3316.539468
5/8/2019,3458.163405
5/9/2019,4324.394836
5/10/2019,5834.694313
5/11/2019,6436.61467
5/12/2019,6226.984157
5/13/2019,5747.09017
5/14/2019,5296.846024
5/15/2019,4917.380428
5/16/2019,4642.812828
5/17/2019,4370.139609
5/18/2019,4337.545938
5/19/2019,18315.76767
5/20/2019,22145.21628
5/21/2019,14436.66083
5/22/2019,11443.97685
5/23/2019,10351.32623
5/24/2019,9595.554212
5/25/2019,8363.918703
5/26/2019,7409.865261
5/27/2019,36487.66141
5/28/2019,50561.92437
5/29/2019,26859.16295
5/30/2019,18583.25487
5/31/2019,14517.38622
6/1/2019,12140.74718
6/2/2019,10516.42357
6/3/2019,9294.047029
6/4/2019,8491.904786
6/5/2019,8011.760419
6/6/2019,7573.404105
6/7/2019,7167.149928
6/8/2019,6793.649364
6/9/2019,6587.54267
6/10/2019,6302.367173
6/11/2019,6113.367818
6/12/2019,5922.120047
6/13/2019,5714.143206
6/14/2019,5547.82782
6/15/2019,5760.095621
6/16/2019,6351.382683
6/17/2019,6847.082871
6/18/2019,6971.681459
6/19/2019,6857.985182
6/20/2019,6587.623834
6/21/2019,6283.350329
6/22/2019,6035.069525
6/23/2019,5808.705876
6/24/2019,5593.287486
6/25/2019,5409.851267
6/26/2019,5193.739643
6/27/2019,5154.121186
6/28/2019,61414.07111
6/29/2019,28901.65446
6/30/2019,18881.16297
7/1/2019,17392.58047
7/2/2019,17497.95466
7/3/2019,15738.29086
7/4/2019,13769.1107
7/5/2019,12588.01227
7/6/2019,29422.40603
7/7/2019,21492.16205
7/8/2019,15723.59596
7/9/2019,12730.33375
7/10/2019,10690.69266
7/11/2019,9289.109758
7/12/2019,8376.451646
7/13/2019,7868.962915
7/14/2019,7390.646647
7/15/2019,7534.088036
7/16/2019,7506.988953
7/17/2019,7345.96435
7/18/2019,10182.89952
7/19/2019,96230.62705
7/20/2019,52733.32311
7/21/2019,40861.69845
7/22/2019,27714.17033
7/23/2019,20819.5975
7/24/2019,17037.21174
7/25/2019,14635.18302
7/26/2019,13057.38841
7/27/2019,11810.44767
7/28/2019,10791.14269
7/29/2019,9910.888774
7/30/2019,9294.95756
7/31/2019,8812.997315
8/1/2019,8278.170847
8/2/2019,7801.711635
8/3/2019,7411.503188
8/4/2019,7042.01867
8/5/2019,6683.687894
8/6/2019,6423.775665
8/7/2019,6226.621896
8/8/2019,6000.058862
8/9/2019,5830.920593
8/10/2019,5684.364686
8/11/2019,5530.205777
8/12/2019,5402.01151
8/13/2019,5281.282988
8/14/2019,5172.901586
8/15/2019,5105.695338
8/16/2019,5049.897091
8/17/2019,4951.917849
8/18/2019,4913.616458
8/19/2019,4849.780806
8/20/2019,4877.36979
8/21/2019,4791.915862
8/22/2019,4829.986908
8/23/2019,4756.206163
8/24/2019,4815.626247
8/25/2019,4851.643073
8/26/2019,4791.954253
8/27/2019,4652.762449
8/28/2019,4474.26133
8/29/2019,4328.960852
8/30/2019,4310.194312
8/31/2019,4224.930478
9/1/2019,4203.19656
9/2/2019,4159.728723
9/3/2019,4193.278411
9/4/2019,4169.797127
9/5/2019,4173.103442
9/6/2019,4245.030187
9/7/2019,4132.391039
9/8/2019,4108.873184
9/9/2019,3870.253443
9/10/2019,3653.201853
9/11/2019,3831.278317
9/12/2019,4624.072846
9/13/2019,5574.324449
9/14/2019,4827.26129
9/15/2019,4533.713486
9/16/2019,4433.23852
9/17/2019,4332.455052
9/18/2019,4287.127225
9/19/2019,4810.655588
9/20/2019,4946.446222
9/21/2019,4942.914396
9/22/2019,4815.664638
9/23/2019,4758.030039
9/24/2019,4789.071362
9/25/2019,5569.835397
9/26/2019,5619.381911
9/27/2019,5855.195151
9/28/2019,5724.359568
9/29/2019,5792.707749
9/30/2019,5738.773856
10/1/2019,8021.451772
10/2/2019,21779.22544
10/3/2019,18353.61813
10/4/2019,16561.32138
10/5/2019,22193.68279
10/6/2019,30820.24697
10/7/2019,20008.51603
10/8/2019,15105.93173
10/9/2019,12489.21113
10/10/2019,10974.82417
10/11/2019,9831.168529
10/12/2019,8863.321969
10/13/2019,8128.280498
10/14/2019,7618.462993
10/15/2019,7236.961362
10/16/2019,6736.54961
10/17/2019,6404.597559
10/18/2019,6186.851327
10/19/2019,5906.162509
10/20/2019,5627.025706
10/21/2019,7042.912211
10/22/2019,12494.13249
10/23/2019,12761.97711
10/24/2019,11375.15085
10/25/2019,10012.05154
10/26/2019,8992.584506
10/27/2019,8232.787743
10/28/2019,7524.946175
10/29/2019,7066.946031
10/30/2019,6717.089181
10/31/2019,6390.102827
11/1/2019,6018.953947
11/2/2019,5730.378613
11/3/2019,5506.997977
11/4/2019,5308.137408
11/5/2019,5048.073215
11/6/2019,4878.962818
11/7/2019,4754.420678
11/8/2019,4624.728617
11/9/2019,4500.627519
11/10/2019,4344.383712
11/11/2019,4233.289678
11/12/2019,4117.305006
11/13/2019,4022.246032
11/14/2019,3962.512447
11/15/2019,3865.072521
11/16/2019,3855.488266
11/17/2019,3895.422662
11/18/2019,3797.527525
11/19/2019,3724.071999
11/20/2019,3688.252913
11/21/2019,3993.856775
11/22/2019,4356.565379
11/23/2019,4997.891989
11/24/2019,5529.20992
11/25/2019,5849.09661
11/26/2019,5877.410284
11/27/2019,5832.117111
11/28/2019,5646.746003
11/29/2019,5520.778725
11/30/2019,5328.975258
12/1/2019,5106.240198
12/2/2019,4981.099861
12/3/2019,4981.138503
12/4/2019,5040.54586
12/5/2019,5237.510971
12/6/2019,5323.192487
12/7/2019,5372.981556
12/8/2019,5300.610238
12/9/2019,5182.486492
12/10/2019,5001.394347
12/11/2019,4891.729949
12/12/2019,4793.739738
12/13/2019,4645.658647
12/14/2019,4535.385078
12/15/2019,4481.217312
12/16/2019,4411.015411
12/17/2019,4485.015025
12/18/2019,4469.13739
12/19/2019,4248.788045
12/20/2019,4151.518984
12/21/2019,4144.86899
12/22/2019,3996.131538
12/23/2019,3879.448903
12/24/2019,3837.99082
12/25/2019,3831.748692
12/26/2019,3738.116785
12/27/2019,3691.300831
12/28/2019,3691.300831
12/29/2019,4654.713465
12/30/2019,6366.846308
12/31/2019,6522.291872
