datetime,gw_elev
5/1/2020,1250.37
5/2/2020,1250.25
5/3/2020,1250.13
5/4/2020,1250
5/5/2020,1249.87
5/6/2020,1249.72
5/7/2020,1249.56
5/8/2020,1249.37
5/9/2020,1249.19
5/10/2020,1249
5/11/2020,1248.8
5/12/2020,1248.59
5/13/2020,1248.39
5/14/2020,1248.2
5/15/2020,1247.99
5/16/2020,1247.78
5/17/2020,1248.6
5/18/2020,1250.16
5/19/2020,1250.6
5/20/2020,1250.75
5/21/2020,1250.82
5/22/2020,1250.84
5/23/2020,1250.86
5/24/2020,1250.86
5/25/2020,1250.83
5/26/2020,1251.14
5/27/2020,1251.59
5/28/2020,1251.63
5/29/2020,1251.57
5/30/2020,1251.53
5/31/2020,1251.49
6/1/2020,1251.49
6/2/2020,1251.43
6/3/2020,1251.45
6/4/2020,1251.33
6/5/2020,1251.22
6/6/2020,1251.11
6/7/2020,1251.21
6/8/2020,1251.07
6/9/2020,1251.51
6/10/2020,1252.71
6/11/2020,1252.26
6/12/2020,1252.02
6/13/2020,1251.9
6/14/2020,1251.81
6/15/2020,1251.72
6/16/2020,1251.66
6/17/2020,1251.6
6/18/2020,1251.55
6/19/2020,1251.54
6/20/2020,1251.51
6/21/2020,1251.46
6/22/2020,1251.45
6/23/2020,1251.37
6/24/2020,1251.3
6/25/2020,1251.22
6/26/2020,1251.15
6/27/2020,1251.06
6/28/2020,1250.93
6/29/2020,1250.95
6/30/2020,1250.86
7/1/2020,1250.72
7/2/2020,1250.59
7/3/2020,1250.45
7/4/2020,1250.32
7/5/2020,1250.17
7/6/2020,1250.01
7/7/2020,1249.82
7/8/2020,1249.61
7/9/2020,1249.38
7/10/2020,1249.17
7/11/2020,1248.93
7/12/2020,1248.69
7/13/2020,1248.43
7/14/2020,1248.18
7/15/2020,1247.97
7/16/2020,1247.73
7/17/2020,1247.47
7/18/2020,1247.22
7/19/2020,1246.96
7/20/2020,1246.69
7/21/2020,1246.44
7/22/2020,1246.18
7/23/2020,1245.92
7/24/2020,1245.67
7/25/2020,1245.43
7/26/2020,1245.19
7/27/2020,1244.98
7/28/2020,1244.77
7/29/2020,1244.57
7/30/2020,1244.38
7/31/2020,1244.18
8/1/2020,1244
8/2/2020,1243.82
8/3/2020,1243.65
8/4/2020,1243.48
8/5/2020,1243.33
8/6/2020,1243.18
8/7/2020,1243.02
8/8/2020,1242.86
8/9/2020,1242.69
8/10/2020,1242.53
8/11/2020,1242.38
8/12/2020,1242.24
8/13/2020,1242.11
8/14/2020,1241.99
8/15/2020,1241.92
8/16/2020,1241.84
8/17/2020,1241.74
8/18/2020,1241.65
8/19/2020,1241.54
8/20/2020,1241.44
8/21/2020,1241.35
8/22/2020,1241.29
8/23/2020,1241.24
8/24/2020,1241.16
8/25/2020,1241.09
8/26/2020,1241.01
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
