Kh_0,Kh_1,Kv_0,Kv_1,C_spring,C_creek,success,mrsw_head,mrsw_error,bs_q,bs_error,head_above_surface_error,Kv_1_ss,Kv_0_ss,Kh_1_ss,Kh_0_ss,results_weighted_RMSE
7.1,1.1,0.1,0.1,250.0,2.0,True,384.3995206490901,3.8812102856074375,-2307.43025259,-8038.6837556,116238.0,400.0,200.0,450.0,450.0,1.4111324218018713
7.1,1.1,0.1,0.1,250.0,2.0,False,,,,,,400.0,200.0,450.0,450.0,
7.1,1.1,0.1,0.1,250.0,2.0,True,384.40490228151407,3.8865919180313995,2311.774663443066,-3419.478839570628,116585.0,400.0,200.0,450.0,450.0,0.6165334478398045
3.1,0.1,3.1,1.1,400.0,3.0,True,385.1499048855184,4.631594522035755,3220.417615365295,-2510.835887648399,205844.0,450.0,500.0,100.0,150.0,0.5167173153443012
3.1,1.1,2.1,0.1,200.0,7.0,True,383.1709052355415,2.6525948720588417,1366.11357217576,-4365.139930837934,81749.0,100.0,350.0,150.0,300.0,0.7693877376941723
9.1,3.1,0.1,0.1,500.0,3.0,True,381.8499427608916,1.3316323974089528,2328.6523168176936,-3402.6011861960005,64705.0,350.0,500.0,450.0,100.0,0.5999047730369145
7.1,3.1,9.1,1.1,200.0,2.0,False,,,,,,350.0,400.0,350.0,300.0,
3.1,4.1,5.1,2.1,350.0,4.0,True,382.6785568814883,2.1602465180056356,2199.5452874871844,-3531.70821552651,68936.0,450.0,250.0,400.0,300.0,0.6230256774295514
2.1,0.1,6.1,3.1,200.0,5.0,True,384.653518144802,4.135207781319309,1888.93778620816,-3842.315716805534,265883.0,400.0,200.0,500.0,100.0,0.7580061519417227
9.1,4.1,2.1,4.1,350.0,9.0,True,379.6117739327029,-0.906536430779795,343.2452435483865,-5388.008259465308,36534.0,250.0,100.0,100.0,100.0,0.9413672962645312
8.1,2.1,3.1,1.1,350.0,2.0,True,383.4227280133974,2.9044176499147056,2564.285882474942,-3166.9676205387523,94039.0,200.0,100.0,350.0,300.0,0.5666020876485034
3.1,2.1,1.1,2.1,500.0,8.0,True,382.3689864613247,1.8506760978420402,2452.495058047789,-3278.7584449659053,52515.0,100.0,150.0,350.0,500.0,0.5763506761127789
3.1,4.1,2.1,3.1,300.0,9.0,True,381.7108134009207,1.1925030374380299,1319.3655676523922,-4411.887935361302,45890.0,400.0,250.0,300.0,450.0,0.7722157305791902
7.1,3.1,4.1,4.1,100.0,10.0,True,380.6622093119339,0.14389894845123763,297.4140561648019,-5433.839446848892,37252.0,100.0,450.0,250.0,250.0,0.9493998390497237
5.1,4.1,6.1,3.1,450.0,1.0,True,385.8849069105776,5.366596547094957,4387.583238618157,-1343.6702643955368,171476.0,400.0,300.0,400.0,350.0,0.32734630250829655
8.1,2.1,2.1,0.1,500.0,2.0,True,383.2289785504162,2.7106681869335034,3253.3662862625497,-2477.8872167511445,90151.0,400.0,500.0,450.0,150.0,0.4487143882403159
0.1,0.1,7.1,0.1,450.0,10.0,True,394.9235154564516,14.405205092968913,3771.027007977857,-1960.2264950358376,580481.0,400.0,300.0,400.0,100.0,0.8451139162354505
6.1,0.1,7.1,2.1,100.0,3.0,True,384.30901633358815,3.7907059701054777,896.1899873913571,-4835.063515622337,118120.0,400.0,200.0,200.0,100.0,0.8581858242038809
3.1,0.1,8.1,0.1,450.0,10.0,True,382.90742858440046,2.389118220917794,2435.566120997217,-3295.6873820164774,80757.0,100.0,200.0,500.0,300.0,0.585012340106852
8.1,1.1,3.1,0.1,300.0,3.0,True,382.9602852065029,2.441974843020205,1940.751684938994,-3790.5018180747,77561.0,150.0,450.0,350.0,150.0,0.6693979198672719
7.1,4.1,1.1,3.1,200.0,5.0,True,381.2493368511508,0.7310264876681458,918.0101087665244,-4813.24339424717,51915.0,450.0,350.0,250.0,500.0,0.8426584977288194
2.1,2.1,3.1,0.1,350.0,1.0,True,389.269406411177,8.751096047694318,4881.116031677433,-850.1374713362611,433962.0,500.0,200.0,250.0,500.0,0.5962561770050037
0.1,3.1,6.1,1.1,400.0,10.0,True,385.2529902605367,4.734679897054036,2950.718414243922,-2780.5350887697723,165909.0,500.0,100.0,150.0,500.0,0.5331031417748177
8.1,0.1,2.1,4.1,100.0,9.0,True,381.76907198226354,1.2507616187808708,434.3351659671898,-5296.918337046504,43020.0,500.0,400.0,400.0,250.0,0.9259908885645339
7.1,2.1,9.1,4.1,100.0,5.0,True,382.071603664084,1.5532933006013536,574.0253869941298,-5157.228116019564,56598.0,500.0,500.0,400.0,300.0,0.902993963162158
3.1,0.1,3.1,2.1,400.0,9.0,True,383.0537851832189,2.535474819736237,2244.8733991443296,-3486.3801038693646,89063.0,350.0,500.0,250.0,250.0,0.6197671700902966
7.1,1.1,5.1,4.1,400.0,9.0,True,381.4714526389235,0.9531422754408254,1437.8711779989826,-4293.382325014712,39873.0,350.0,350.0,450.0,500.0,0.7509956512532319
3.1,2.1,0.1,4.1,350.0,1.0,False,,,,,,250.0,400.0,500.0,350.0,
4.1,0.1,1.1,2.1,150.0,9.0,True,382.8055884386728,2.2872780751901587,917.957914428247,-4813.295588585447,65572.0,200.0,500.0,200.0,350.0,0.8443685019394681
