Kh_0,Kh_1,Kv_0,Kv_1,C_spring,C_creek,success,mrsw_head,mrsw_error,bs_q,bs_error,head_above_surface_error,Kv_1_ss,Kv_0_ss,Kh_1_ss,Kh_0_ss
0.1,0.1,0.2,0.1,0.1,0.1,True,595.51102865748,249.77127354227247,-17.51974964575448,-17.58608359833566,752027.0,,,,
7.1,1.1,0.1,0.1,250.0,2.0,True,384.3995206490901,38.65976553388265,[-2307.43025259],[-8038.6837556],116238.0,400.0,200.0,450.0,450.0
7.1,1.1,0.1,0.1,250.0,2.0,False,,,,,,400.0,200.0,450.0,450.0
7.1,1.1,0.1,0.1,250.0,2.0,True,384.40490228151407,38.66514716630667,2311.774663443066,-3419.478839570628,116585.0,400.0,200.0,450.0,450.0
3.1,0.1,3.1,1.1,400.0,3.0,True,385.1499048855184,39.41014977031102,3220.417615365295,-2510.835887648399,205844.0,450.0,500.0,100.0,150.0
3.1,1.1,2.1,0.1,200.0,7.0,True,383.17090523554145,37.43115012033405,1366.11357217576,-4365.139930837934,81749.0,100.0,350.0,150.0,300.0
9.1,3.1,0.1,0.1,500.0,3.0,True,381.8499427608916,36.11018764568422,2328.6523168176936,-3402.6011861960005,64705.0,350.0,500.0,450.0,100.0
7.1,3.1,9.1,1.1,200.0,2.0,False,,,,,,350.0,400.0,350.0,300.0
3.1,4.1,5.1,2.1,350.0,4.0,True,382.6785568814883,36.9388017662809,2199.5452874871844,-3531.70821552651,68936.0,450.0,250.0,400.0,300.0
2.1,0.1,6.1,3.1,200.0,5.0,True,384.653518144802,38.91376302959458,1888.93778620816,-3842.315716805534,265883.0,400.0,200.0,500.0,100.0
9.1,4.1,2.1,4.1,350.0,9.0,True,379.6117739327029,33.87201881749547,343.2452435483865,-5388.008259465308,36534.0,250.0,100.0,100.0,100.0
8.1,2.1,3.1,1.1,350.0,2.0,True,383.4227280133974,37.68297289818997,2564.285882474942,-3166.9676205387523,94039.0,200.0,100.0,350.0,300.0
3.1,2.1,1.1,2.1,500.0,8.0,True,382.3689864613247,36.62923134611731,2452.495058047789,-3278.7584449659053,52515.0,100.0,150.0,350.0,500.0
3.1,4.1,2.1,3.1,300.0,9.0,True,381.7108134009207,35.9710582857133,1319.3655676523922,-4411.887935361302,45890.0,400.0,250.0,300.0,450.0
7.1,3.1,4.1,4.1,100.0,10.0,True,380.6622093119339,34.922454196726505,297.4140561648019,-5433.839446848892,37252.0,100.0,450.0,250.0,250.0
5.1,4.1,6.1,3.1,450.0,1.0,True,385.88490691057757,40.14515179537017,4387.583238618157,-1343.6702643955368,171476.0,400.0,300.0,400.0,350.0
8.1,2.1,2.1,0.1,500.0,2.0,True,383.22897855041623,37.48922343520883,3253.3662862625497,-2477.8872167511445,90151.0,400.0,500.0,450.0,150.0
0.1,0.1,7.1,0.1,450.0,10.0,True,394.9235154564516,49.18376034124418,3771.0270079778566,-1960.2264950358376,580481.0,400.0,300.0,400.0,100.0
6.1,0.1,7.1,2.1,100.0,3.0,True,384.30901633358815,38.569261218380746,896.1899873913571,-4835.063515622337,118120.0,400.0,200.0,200.0,100.0
3.1,0.1,8.1,0.1,450.0,10.0,True,382.90742858440046,37.16767346919306,2435.566120997217,-3295.6873820164774,80757.0,100.0,200.0,500.0,300.0
8.1,1.1,3.1,0.1,300.0,3.0,True,382.96028520650293,37.22053009129553,1940.751684938994,-3790.5018180747,77561.0,150.0,450.0,350.0,150.0
7.1,4.1,1.1,3.1,200.0,5.0,True,381.2493368511508,35.509581735943414,918.0101087665244,-4813.24339424717,51915.0,450.0,350.0,250.0,500.0
2.1,2.1,3.1,0.1,350.0,1.0,True,389.269406411177,43.529651295969586,4881.116031677433,-850.1374713362611,433962.0,500.0,200.0,250.0,500.0
0.1,3.1,6.1,1.1,400.0,10.0,True,385.25299026053665,39.51323514532925,2950.718414243922,-2780.5350887697723,165909.0,500.0,100.0,150.0,500.0
8.1,0.1,2.1,4.1,100.0,9.0,True,381.76907198226354,36.02931686705614,434.3351659671898,-5296.918337046504,43020.0,500.0,400.0,400.0,250.0
7.1,2.1,9.1,4.1,100.0,5.0,True,382.07160366408397,36.331848548876565,574.0253869941298,-5157.228116019564,56598.0,500.0,500.0,400.0,300.0
3.1,0.1,3.1,2.1,400.0,9.0,True,383.05378518321885,37.31403006801145,2244.8733991443296,-3486.3801038693646,89063.0,350.0,500.0,250.0,250.0
7.1,1.1,5.1,4.1,400.0,9.0,True,381.4714526389235,35.73169752371609,1437.8711779989826,-4293.382325014712,39873.0,350.0,350.0,450.0,500.0
3.1,2.1,0.1,4.1,350.0,1.0,False,,,,,,250.0,400.0,500.0,350.0
4.1,0.1,1.1,2.1,150.0,9.0,True,382.8055884386728,37.06583332346543,917.957914428247,-4813.295588585447,65572.0,200.0,500.0,200.0,350.0
8.1,2.1,1.1,3.1,150.0,6.0,True,381.4961978146105,35.756442699403124,678.1071911826584,-5053.146311831036,48565.0,350.0,500.0,400.0,250.0
9.1,1.1,3.1,3.1,250.0,4.0,True,382.06181143202696,36.322056316819555,1364.9752972328133,-4366.278205780881,59508.0,350.0,250.0,300.0,400.0
7.1,2.1,7.1,2.1,250.0,7.0,True,381.489399919401,35.74964480419362,1032.1644233150291,-4699.089079698665,45189.0,350.0,450.0,300.0,400.0
6.1,2.1,2.1,0.1,100.0,5.0,True,382.59329039574556,36.85353528053815,620.0457840842064,-5111.207718929488,66398.0,200.0,300.0,150.0,250.0
4.1,4.1,8.1,4.1,250.0,3.0,False,,,,,,100.0,150.0,300.0,400.0
5.1,1.1,1.1,2.1,150.0,5.0,True,382.9654340935067,37.2256789782993,1041.9039364565324,-4689.349566557162,70864.0,350.0,150.0,350.0,250.0
7.1,3.1,7.1,4.1,100.0,2.0,True,384.0262907307289,38.28653561552147,939.8007649661231,-4791.452738047571,109938.0,200.0,400.0,400.0,450.0
7.1,3.1,1.1,1.1,300.0,8.0,True,381.18137639297186,35.441621277764455,846.6788315607846,-4884.57467145291,42277.0,250.0,450.0,150.0,150.0
7.1,4.1,8.1,3.1,350.0,1.0,True,385.91766436036266,40.17790924515526,3345.0779661124398,-2386.1755369012544,177868.0,250.0,250.0,250.0,150.0
7.1,4.1,5.1,3.1,100.0,4.0,True,381.88873602088836,36.14898090568096,534.3033907989302,-5196.950112214764,60790.0,300.0,100.0,200.0,200.0
2.1,3.1,4.1,0.1,400.0,8.0,True,382.78700217601823,37.04724706081083,2335.8613566059794,-3395.392146407715,73934.0,300.0,350.0,100.0,400.0
7.1,0.1,7.1,3.1,250.0,6.0,False,,,,,,300.0,500.0,450.0,500.0
8.1,3.1,9.1,2.1,500.0,8.0,True,380.3433751086959,34.60361999348851,1058.6894663319108,-4672.564036681783,39245.0,450.0,150.0,250.0,100.0
0.1,1.1,3.1,3.1,500.0,7.0,True,386.90912510981724,41.16936999460984,3981.9685784808244,-1749.2849245328698,397869.0,300.0,300.0,300.0,250.0
7.1,1.1,5.1,0.1,200.0,7.0,True,382.01885035152293,36.27909523631553,904.4599776751857,-4826.7935253385085,49907.0,350.0,400.0,300.0,100.0
9.1,3.1,2.1,2.1,500.0,2.0,True,382.494029963576,36.754274848368595,2836.447324659355,-2894.806178354339,81417.0,200.0,200.0,400.0,150.0
4.1,2.1,9.1,0.1,500.0,4.0,False,,,,,,450.0,300.0,500.0,100.0
9.1,4.1,3.1,0.1,300.0,1.0,True,386.0162516954767,40.27649658026928,2747.7494185946125,-2983.5040844190817,189324.0,500.0,150.0,100.0,150.0
8.1,4.1,9.1,2.1,250.0,10.0,True,379.3463549134051,33.60659979819769,486.83619187826116,-5244.417311135433,35410.0,300.0,150.0,100.0,400.0
8.1,1.1,7.1,2.1,250.0,4.0,True,382.55286539198534,36.813110276777934,1259.0732437172846,-4472.1802592964095,65342.0,400.0,400.0,150.0,100.0
1.1,1.1,0.1,2.1,250.0,5.0,True,384.8971113013411,39.15735618613371,2487.611411557198,-3243.642091456496,277158.0,200.0,350.0,300.0,500.0
3.1,3.1,9.1,2.1,200.0,4.0,True,383.254947336877,37.51519222166962,1484.4540137002623,-4246.799489313432,80421.0,300.0,150.0,250.0,300.0
2.1,1.1,6.1,2.1,300.0,7.0,True,383.3850315715888,37.645276456381396,1997.5861427036434,-3733.6673603100508,95698.0,450.0,350.0,300.0,150.0
6.1,3.1,8.1,2.1,250.0,4.0,True,382.28461062602696,36.54485551081956,1384.5851059400302,-4346.668397073664,63232.0,450.0,250.0,300.0,150.0
6.1,4.1,8.1,0.1,200.0,6.0,True,381.8838178140613,36.14406269885387,816.3910944496747,-4914.8624085640195,54479.0,500.0,250.0,150.0,100.0
6.1,2.1,1.1,0.1,200.0,4.0,False,,,,,,400.0,500.0,300.0,100.0
7.1,2.1,0.1,0.1,400.0,6.0,True,381.7870967203355,36.04734160512811,1648.766048071935,-4082.487454941759,50297.0,150.0,400.0,200.0,300.0
9.1,3.1,3.1,4.1,450.0,3.0,False,,,,,,200.0,500.0,250.0,500.0
7.1,1.1,2.1,2.1,400.0,2.0,True,383.9815993890006,38.24184427379322,3138.1370565397665,-2593.1164464739277,101149.0,150.0,300.0,300.0,400.0
6.1,0.1,7.1,4.1,450.0,5.0,True,382.7698601960725,37.0301050808651,2501.179193558084,-3230.07430945561,62673.0,350.0,150.0,250.0,400.0
