Kh_0,Kh_1,Kv_0,Kv_1,Kh_0_ss,Kv_0_ss,Kh_1_ss,Kv_1_ss,C_spring,C_creek,success,mrsw_head,mrsw_error,bs_q,bs_error,head_above_surface_error
7.1,2.1,8.1,4.1,450,400,250,350,400,9.0,True,381.02904582773346,35.28929071252605,1229.5670229849056,-4501.6864800287885,38498
9.1,2.1,7.1,2.1,150,500,350,400,500,8.0,True,380.2631160450648,34.523360929857404,1185.312122084928,-4545.941380928766,38797
9.1,3.1,3.1,1.1,300,400,150,400,250,6.0,True,380.6277162311738,34.88796111596639,809.8820306762645,-4921.37147233743,45327
8.1,0.1,8.1,1.1,250,400,500,150,350,7.0,False,,,,,
6.1,1.1,6.1,0.1,200,200,150,250,250,10.0,True,381.921513912936,36.181758797728605,932.4994820274296,-4798.754020986265,43658
4.1,0.1,2.1,4.1,400,200,300,450,450,4.0,True,383.8070177061351,38.067262590927726,3210.761608966801,-2520.4918940468933,99664
4.1,0.1,0.1,4.1,100,300,350,200,450,5.0,True,383.48190550599367,37.742150390786264,2785.460884209402,-2945.792618804292,87869
1.1,1.1,6.1,3.1,200,300,100,100,100,8.0,False,,,,,
5.1,1.1,5.1,0.1,250,450,200,250,500,2.0,True,384.6394174497499,38.899662334542484,3871.078452661255,-1860.175050352439,119073
0.1,2.1,3.1,1.1,300,450,400,250,200,8.0,True,386.67422105964425,40.93446594443685,1943.9247970838478,-3787.3287059298464,307390
9.1,1.1,2.1,2.1,350,100,450,250,450,1.0,True,385.77350760125756,40.03375248605016,4293.136933326954,-1438.1165696867401,167986
7.1,1.1,5.1,4.1,400,350,450,100,200,1.0,True,387.8998195693975,42.16006445419009,2711.4323056225257,-3019.8211973911684,294003
5.1,2.1,1.1,2.1,150,300,400,150,500,6.0,True,382.1248505251218,36.38509540991441,2200.206184946903,-3531.0473180667914,52102
6.1,4.1,2.1,0.1,100,500,300,450,500,5.0,True,381.74950185534243,36.00974674013503,1972.424603100022,-3758.828899913672,55097
3.1,4.1,9.1,3.1,100,100,350,100,350,4.0,True,382.73111020764117,36.991355092433764,2032.5488539739454,-3698.704649039749,69127
3.1,0.1,8.1,0.1,450,150,500,200,350,6.0,True,383.598610443209,37.858855328001596,2535.7813936925377,-3195.4721093211565,118026
9.1,3.1,8.1,0.1,450,300,250,500,200,6.0,True,380.8485314260618,35.10877631085441,768.4064764574723,-4962.847026556222,47217
5.1,3.1,4.1,4.1,300,450,250,100,450,1.0,True,386.37917700131277,40.63942188610537,4460.7585381488025,-1270.4949648648917,188945
3.1,1.1,6.1,4.1,300,100,100,200,450,10.0,True,382.5484663692152,36.80871125400779,1986.5952158762084,-3744.658287137486,53389
4.1,4.1,3.1,2.1,250,400,350,100,450,4.0,True,382.26628033908423,36.52652522387683,2377.5381827582605,-3353.7153202554337,62204
0.1,3.1,7.1,1.1,450,450,450,250,100,1.0,True,395.7972749142823,50.057519799074896,2346.790171111861,-3384.463331901833,672799
0.1,2.1,9.1,4.1,300,350,500,150,250,9.0,True,385.14913973036795,39.40938461516055,2030.7507153039041,-3700.50278770979,204943
4.1,1.1,3.1,0.1,400,250,200,500,300,6.0,True,382.94109417979,37.20133906458261,1892.7697976652416,-3838.4837053484525,68857
7.1,1.1,1.1,0.1,350,100,500,250,250,7.0,True,381.8890424577865,36.1492873425791,1183.1971866091626,-4548.056316404532,48391
2.1,0.1,4.1,3.1,450,250,450,100,200,2.0,True,387.6066467274504,41.86689161224302,2865.362646444206,-2865.8908565694883,432829
5.1,0.1,6.1,1.1,300,500,400,500,100,1.0,True,390.40937475953353,44.66961964432613,1826.9481153940433,-3904.305387619651,500120
7.1,2.1,0.1,3.1,400,150,400,300,350,10.0,True,381.1335910920672,35.393835976859805,1142.072312099015,-4589.181190914679,38918
6.1,2.1,3.1,1.1,200,450,300,300,500,4.0,True,382.36870203947655,36.628946924269144,2498.6015722380835,-3232.6519307756107,61291
5.1,2.1,4.1,3.1,200,350,100,500,500,4.0,True,382.7667229067642,37.026967791556785,2430.359943948686,-3300.893559065008,66165
6.1,4.1,8.1,3.1,300,500,400,450,100,1.0,True,387.7903639834444,42.05060886823702,1390.7103225683459,-4340.543180445348,290647
0.1,2.1,1.1,0.1,350,300,350,500,250,3.0,True,391.44475434559575,45.70499923038835,4043.382013829716,-1687.8714891839782,653464
3.1,0.1,3.1,0.1,200,250,300,250,250,3.0,True,385.26163833422805,39.52188321902065,2521.004922701497,-3210.248580312197,226904
8.1,0.1,8.1,0.1,150,150,100,150,100,5.0,True,382.66246457976155,36.922709464554146,549.7507920890203,-5181.502710924674,64860
8.1,2.1,0.1,4.1,150,400,300,250,450,10.0,True,380.736945371282,34.99719025607459,1086.0453738382494,-4645.208129175445,37401
5.1,1.1,3.1,3.1,150,500,500,200,200,1.0,False,,,,,
7.1,1.1,6.1,1.1,200,450,450,400,300,9.0,True,381.5832794117693,35.843524296561895,1116.6844583824422,-4614.569044631252,41173
