Kh,Kv,Kh_ss,Kv_ss,Kh_conduit,Kv_conduit,drain_data,head,peak_flow,base_flow,head_above_surface
"[2.6, 1.3]","[2.6, 1.3]","[200, 100]","[20, 10]",[500],[50],"{'creek': 9.426425933409288, 'spring': 290.1249260954607}",0.0020254712222851283,0.5416567283201056,-0.33743359542280155,0.0695840913402166
"[2.6, 1.3]","[2.6, 1.3]","[267.4867190845603, 133.74335954228016]","[26.748671908456032, 13.374335954228016]",[229.1716358399472],[22.91716358399472],"{'creek': 9.426425933409288, 'spring': 290.1249260954607}",0.0036278144121595344,-0.016867121642689577,-0.4678175997768297,0.07712911451273351
"[2.6, 1.3]","[2.6, 1.3]","[392.6217139788784, 196.3108569894392]","[39.26217139788784, 19.63108569894392]",[233.03710169871377],[23.30371016987138],"{'creek': 9.426425933409288, 'spring': 290.1249260954607}",0.0029312057068782644,-0.025914410033343157,-0.47574536196008216,0.07344780172149057
"[2.6, 1.3]","[2.6, 1.3]","[579.4096734091478, 289.7048367045739]","[57.94096734091478, 28.97048367045739]",[239.0761207051161],[23.90761207051161],"{'creek': 9.426425933409288, 'spring': 290.1249260954607}",0.002289713355033027,-0.02791649835911584,-0.48205794654135087,0.06996792404210102
"[2.6, 1.3]","[2.6, 1.3]","[858.7187107789563, 429.35935538947814]","[85.87187107789563, 42.93593553894782]",[245.75028883648423],[24.575028883648425],"{'creek': 9.426425933409288, 'spring': 290.1249260954607}",0.0017118168135380075,-0.028145447614637876,-0.48747355494615935,0.06684681299419651
"[2.6, 1.3]","[2.6, 1.3]","[1277.321373421157, 638.6606867105785]","[127.7321373421157, 63.86606867105785]",[252.66704071721364],[25.266704071721364],"{'creek': 9.426425933409288, 'spring': 290.1249260954607}",0.0011894080133057585,-0.028070281420269832,-0.4948485975322691,0.06409888270144248
"[2.6, 1.3]","[2.6, 1.3]","[1909.4020636566083, 954.7010318283042]","[190.94020636566086, 95.47010318283043]",[259.7594756557726],[25.975947565577258],"{'creek': 9.426425933409288, 'spring': 290.1249260954607}",0.0007161706026710316,-0.028066144045966055,-0.5000976500361306,0.0616468952181598
"[2.6, 1.3]","[2.6, 1.3]","[2864.289548665416, 1432.144774332708]","[286.42895486654163, 143.21447743327082]",[267.04992251683205],[26.70499225168321],"{'creek': 9.426425933409288, 'spring': 290.1249260954607}",0.0002841968398083665,-0.028079712514083262,-0.5054390887663883,0.0593932605812926
"[2.6, 1.3]","[2.6, 1.3]","[4312.013448105954, 2156.006724052977]","[431.2013448105954, 215.6006724052977]",[274.5486075680129],[27.454860756801295],"{'creek': 9.426425933409288, 'spring': 290.1249260954607}",-0.0001134532012558585,-0.028051197595239896,-0.5108458740030498,0.05731694686197049
"[2.6, 1.3]","[2.6, 1.3]","[6514.787726716544, 3257.393863358272]","[651.4787726716545, 325.73938633582725]",[282.25002480840124],[28.225002480840125],"{'creek': 9.426425933409288, 'spring': 290.1249260954607}",-0.00047913334171793864,-0.027900444977481117,-0.5138701920336792,0.05539764737024966
