datetime,gw_elev[ft],gw_elev[m]
2/3/2017,1249.52,380.853696
2/4/2017,1249.3,380.78664
2/5/2017,1249.01,380.698248
2/6/2017,1248.77,380.625096
2/7/2017,1248.52,380.548896
2/8/2017,1248.23,380.460504
2/9/2017,1247.98,380.384304
2/10/2017,1247.75,380.3142
2/11/2017,1247.54,380.250192
2/12/2017,1247.52,380.244096
2/13/2017,1247.62,380.274576
2/14/2017,1247.97,380.381256
2/15/2017,1248.49,380.539752
2/16/2017,1248.6,380.57328
2/17/2017,1248.68,380.597664
2/18/2017,1249.59,380.875032
2/19/2017,1250.54,381.164592
2/20/2017,1251.78,381.542544
2/21/2017,1252.52,381.768096
2/22/2017,1252.2,381.67056
2/23/2017,1252.04,381.621792
2/24/2017,1251.96,381.597408
2/25/2017,1251.91,381.582168
2/26/2017,1251.87,381.569976
2/27/2017,1251.82,381.554736
2/28/2017,1251.96,381.597408
3/1/2017,1252.07,381.630936
3/2/2017,1251.92,381.585216
3/3/2017,1251.85,381.56388
3/4/2017,1251.85,381.56388
3/5/2017,1251.98,381.603504
3/6/2017,1252.63,381.801624
3/7/2017,1252.73,381.832104
3/8/2017,1252.41,381.734568
3/9/2017,1252.22,381.676656
3/10/2017,1252.07,381.630936
3/11/2017,1252.01,381.612648
3/12/2017,1251.95,381.59436
3/13/2017,1251.91,381.582168
3/14/2017,1251.84,381.560832
3/15/2017,1251.81,381.551688
3/16/2017,1251.77,381.539496
3/17/2017,1251.75,381.5334
3/18/2017,1251.69,381.515112
3/19/2017,1251.69,381.515112
3/20/2017,1251.67,381.509016
3/21/2017,1251.61,381.490728
3/22/2017,1251.54,381.469392
3/23/2017,1251.53,381.466344
3/24/2017,1251.75,381.5334
3/25/2017,1251.67,381.509016
3/26/2017,1251.61,381.490728
3/27/2017,1251.5,381.4572
3/28/2017,1251.38,381.420624
3/29/2017,1251.35,381.41148
3/30/2017,1251.73,381.527304
3/31/2017,1251.67,381.509016
4/1/2017,1251.63,381.496824
4/2/2017,1251.64,381.499872
4/3/2017,1251.76,381.536448
4/4/2017,1252.11,381.643128
4/5/2017,1251.99,381.606552
4/6/2017,1251.92,381.585216
4/7/2017,1251.88,381.573024
4/8/2017,1251.85,381.56388
4/9/2017,1251.8,381.54864
4/10/2017,1251.82,381.554736
4/11/2017,1251.72,381.524256
4/12/2017,1251.67,381.509016
4/13/2017,1251.79,381.545592
4/14/2017,1251.72,381.524256
4/15/2017,1251.87,381.569976
4/16/2017,1251.77,381.539496
4/17/2017,1251.7,381.51816
4/18/2017,1251.68,381.512064
4/19/2017,1251.8,381.54864
4/20/2017,1252.53,381.771144
4/21/2017,1252.26,381.688848
4/22/2017,1252.12,381.646176
4/23/2017,1252.03,381.618744
4/24/2017,1251.96,381.597408
4/25/2017,1251.91,381.582168
4/26/2017,1251.86,381.566928
4/27/2017,1251.79,381.545592
4/28/2017,1251.72,381.524256
4/29/2017,1251.67,381.509016
4/30/2017,1251.71,381.521208
5/1/2017,1252.17,381.661416
5/2/2017,1251.95,381.59436
5/3/2017,1251.89,381.576072
5/4/2017,1251.85,381.56388
5/5/2017,1251.81,381.551688
5/6/2017,1251.74,381.530352
5/7/2017,1251.68,381.512064
5/8/2017,1251.63,381.496824
5/9/2017,1251.57,381.478536
5/10/2017,1251.49,381.454152
5/11/2017,1251.39,381.423672
