datetime,gw_elev[m]
2017-02-03,380.853696
2017-02-04,380.78664
2017-02-05,380.698248
2017-02-06,380.625096
2017-02-07,380.548896
2017-02-08,380.460504
2017-02-09,380.384304
2017-02-10,380.3142
2017-02-11,380.250192
2017-02-12,380.244096
2017-02-13,380.274576
2017-02-14,380.381256
2017-02-15,380.539752
2017-02-16,380.57328
2017-02-17,380.597664
2017-02-18,380.875032
2017-02-19,381.164592
2017-02-20,381.542544
2017-02-21,381.768096
2017-02-22,381.67056
2017-02-23,381.621792
2017-02-24,381.597408
2017-02-25,381.582168
2017-02-26,381.569976
2017-02-27,381.554736
2017-02-28,381.597408
2017-03-01,381.630936
2017-03-02,381.585216
2017-03-03,381.56388
2017-03-04,381.56388
2017-03-05,381.603504
2017-03-06,381.801624
2017-03-07,381.832104
2017-03-08,381.734568
2017-03-09,381.676656
2017-03-10,381.630936
2017-03-11,381.612648
2017-03-12,381.59436
2017-03-13,381.582168
2017-03-14,381.560832
2017-03-15,381.551688
2017-03-16,381.539496
2017-03-17,381.5334
2017-03-18,381.515112
2017-03-19,381.515112
2017-03-20,381.509016
2017-03-21,381.490728
2017-03-22,381.469392
2017-03-23,381.466344
2017-03-24,381.5334
2017-03-25,381.509016
2017-03-26,381.490728
2017-03-27,381.4572
2017-03-28,381.420624
2017-03-29,381.41148
2017-03-30,381.527304
2017-03-31,381.509016
2017-04-01,381.496824
2017-04-02,381.499872
2017-04-03,381.536448
2017-04-04,381.643128
2017-04-05,381.606552
2017-04-06,381.585216
2017-04-07,381.573024
2017-04-08,381.56388
2017-04-09,381.54864
2017-04-10,381.554736
2017-04-11,381.524256
2017-04-12,381.509016
2017-04-13,381.545592
2017-04-14,381.524256
2017-04-15,381.569976
2017-04-16,381.539496
2017-04-17,381.51816
2017-04-18,381.512064
2017-04-19,381.54864
2017-04-20,381.771144
2017-04-21,381.688848
2017-04-22,381.646176
2017-04-23,381.618744
2017-04-24,381.597408
2017-04-25,381.582168
2017-04-26,381.566928
2017-04-27,381.545592
2017-04-28,381.524256
2017-04-29,381.509016
2017-04-30,381.521208
2017-05-01,381.661416
2017-05-02,381.59436
2017-05-03,381.576072
2017-05-04,381.56388
2017-05-05,381.551688
2017-05-06,381.530352
2017-05-07,381.512064
2017-05-08,381.496824
2017-05-09,381.478536
2017-05-10,381.454152
2017-05-11,381.423672
2017-05-12,381.390144
2017-05-13,381.356616
2017-05-14,381.32004
2017-05-15,381.28956
2017-05-16,381.265176
2017-05-17,381.262128
2017-05-18,381.262128
2017-05-19,381.222504
2017-05-20,381.231648
2017-05-21,381.249936
2017-05-22,381.237744
2017-05-23,381.271272
2017-05-24,381.316992
2017-05-25,381.332232
2017-05-26,381.344424
2017-05-27,381.338328
2017-05-28,381.329184
2017-05-29,381.307848
2017-05-30,381.286512
2017-05-31,381.262128
2017-06-01,381.234696
2017-06-02,381.207264
2017-06-03,381.179832
2017-06-04,381.1524
2017-06-05,381.12192
2017-06-06,381.088392
2017-06-07,381.051816
2017-06-08,381.012192
2017-06-09,380.966472
2017-06-10,380.914656
2017-06-11,380.856744
2017-06-12,380.838456
2017-06-13,380.8476
2017-06-14,380.798832
2017-06-15,380.759208
2017-06-16,380.719584
2017-06-17,380.673864
2017-06-18,380.628144
2017-06-19,380.57328
2017-06-20,380.521464
2017-06-21,380.469648
2017-06-22,380.490984
2017-06-23,380.518416
2017-06-24,380.445264
2017-06-25,380.399544
2017-06-26,380.350776
2017-06-27,380.295912
2017-06-28,380.366016
2017-06-29,381.161544
2017-06-30,381.24384
2017-07-01,381.237744
2017-07-02,381.219456
2017-07-03,381.195072
2017-07-04,381.16764
2017-07-05,381.134112
2017-07-06,381.094488
2017-07-07,381.04572
2017-07-08,380.993904
2017-07-09,380.93904
2017-07-10,380.87808
2017-07-11,380.804928
2017-07-12,380.728728
2017-07-13,380.643384
2017-07-14,380.564136
2017-07-15,380.487936
2017-07-16,380.40564
2017-07-17,380.320296
2017-07-18,380.238
2017-07-19,380.311152
2017-07-20,380.66472
2017-07-21,380.640336
2017-07-22,380.615952
2017-07-23,380.5428
2017-07-24,380.469648
2017-07-25,380.478792
2017-07-26,380.472696
2017-07-27,380.408688
2017-07-28,380.332488
2017-07-29,380.25324
2017-07-30,380.17704
2017-07-31,380.109984
2017-08-01,380.03988
2017-08-02,379.969776
2017-08-03,380.305056
2017-08-04,380.582424
2017-08-05,380.536704
2017-08-06,380.48184
2017-08-07,380.417832
2017-08-08,380.34468
2017-08-09,380.26848
2017-08-10,380.189232
2017-08-11,380.109984
2017-08-12,380.027688
2017-08-13,379.945392
2017-08-14,379.87224
2017-08-15,379.805184
2017-08-16,379.744224
2017-08-17,379.73508
2017-08-18,379.677168
2017-08-19,379.619256
2017-08-20,379.555248
2017-08-21,379.494288
2017-08-22,379.451616
2017-08-23,
2017-08-24,
2017-08-25,
2017-08-26,
2017-08-27,
2017-08-28,
2017-08-29,
2017-08-30,
2017-08-31,
2017-09-01,
2017-09-02,
2017-09-03,
2017-09-04,
2017-09-05,
2017-09-06,
2017-09-07,
2017-09-08,
2017-09-09,
2017-09-10,
2017-09-11,
2017-09-12,
2017-09-13,
2017-09-14,
2017-09-15,
2017-09-16,
2017-09-17,
2017-09-18,
2017-09-19,
2017-09-20,
2017-09-21,
2017-09-22,
2017-09-23,
2017-09-24,
2017-09-25,
2017-09-26,
2017-09-27,
2017-09-28,
2017-09-29,
2017-09-30,
2017-10-01,
2017-10-02,
2017-10-03,
2017-10-04,
2017-10-05,
2017-10-06,
2017-10-07,379.789944
2017-10-08,379.981968
2017-10-09,380.033784
2017-10-10,380.067312
2017-10-11,380.0856
2017-10-12,380.0856
2017-10-13,380.058168
2017-10-14,380.033784
2017-10-15,380.003304
2017-10-16,379.972824
2017-10-17,379.9332
2017-10-18,379.88748
2017-10-19,379.832616
2017-10-20,379.786896
2017-10-21,379.747272
2017-10-22,379.829568
2017-10-23,379.823472
2017-10-24,379.838712
2017-10-25,379.875288
2017-10-26,379.905768
2017-10-27,379.927104
2017-10-28,379.930152
2017-10-29,379.9332
2017-10-30,379.90272
2017-10-31,379.866144
2017-11-01,379.847856
2017-11-02,379.81128
2017-11-03,379.738128
2017-11-04,379.698504
2017-11-05,379.664976
2017-11-06,379.61316
2017-11-07,379.549152
2017-11-08,379.50648
2017-11-09,379.457712
2017-11-10,
2017-11-11,
2017-11-12,
2017-11-13,
2017-11-14,
2017-11-15,
2017-11-16,
2017-11-17,
2017-11-18,
2017-11-19,
2017-11-20,
2017-11-21,
2017-11-22,
2017-11-23,
2017-11-24,
2017-11-25,
2017-11-26,
2017-11-27,
2017-11-28,
2017-11-29,
2017-11-30,
2017-12-01,
2017-12-02,
2017-12-03,
2017-12-04,
2017-12-05,
2017-12-06,
2017-12-07,
2017-12-08,
2017-12-09,
2017-12-10,
2017-12-11,
2017-12-12,
2017-12-13,
2017-12-14,
2017-12-15,
2017-12-16,
2017-12-17,
2017-12-18,
2017-12-19,
2017-12-20,
2017-12-21,
2017-12-22,
2017-12-23,
2017-12-24,
2017-12-25,
2017-12-26,
2017-12-27,
2017-12-28,
2017-12-29,
2017-12-30,
2017-12-31,
