datetime,m3/d
2018-05-02,4008.8066922
2018-05-03,4268.440015200001
2018-05-04,10518.8748093
2018-05-05,12121.9613271
2018-05-06,9231.1817706
2018-05-07,7550.5974552
2018-05-08,6407.915897700001
2018-05-09,5754.455075700001
2018-05-10,4974.9172281
2018-05-11,9792.6758361
2018-05-12,16742.041249500002
2018-05-13,12430.1584179
2018-05-14,9767.3546133
2018-05-15,8249.5625796
2018-05-16,7253.2123434
2018-05-17,6578.1438327
2018-05-18,5952.1490586
2018-05-19,5473.1672298
2018-05-20,4894.7476878
2018-05-21,4530.6734751
2018-05-22,4180.3509915
2018-05-23,3940.223275800001
2018-05-24,3699.9445617
2018-05-25,3464.739576
2018-05-26,3253.1686884000005
2018-05-27,3117.2790888
2018-05-28,3006.8129583000004
2018-05-29,2908.2979008
2018-05-30,2861.3213118000003
2018-05-31,2760.6518841600005
2018-06-01,2623.6592415
2018-06-02,2510.256231
2018-06-03,2427.8920236
2018-06-04,2369.041947
2018-06-05,2270.4711894
2018-06-06,2183.798043
2018-06-07,2097.8753544
2018-06-08,2036.4183792
2018-06-09,1968.7580991
2018-06-10,1958.0183721
2018-06-11,1953.7224813
2018-06-12,1938.0035376
2018-06-13,1892.1811104
2018-06-14,1890.0982728
