x,y,z
557959,4869420,375.7699890136719
558028,4869122,387.3699951171875
558106,4869097,386.92999267578125
557989,4869004,386.3800048828125
558630,4868964,382.0299987792969
558630,4868964,382.0299987792969
558157,4868941,384.9599914550781
558070,4868904,384.9700012207031
560037,4868120,395.8599853515625
558092,4868872,385.239990234375
558115,4868871,385.7099914550781
558152,4868843,387.1400146484375
557959,4868811,386.05999755859375
558158,4868795,387.9700012207031
557546,4868884,388.80999755859375
557897,4868664,389.3299865722656
558011,4868669,388.19000244140625
558126,4868680,386.239990234375
558403,4868699,384.2300109863281
557556,4868603,391.45001220703125
557565,4868579,391.0199890136719
557563,4868556,391.010009765625
557759,4868486,389.8999938964844
557727,4868586,389.7699890136719
557821,4868553,388.7099914550781
558250,4868618,387.1499938964844
558265,4868606,387.1400146484375
558295,4868619,385.4200134277344
558280,4868436,387.3699951171875
558296,4868424,384.8800048828125
558315,4868428,385.82000732421875
559334,4868454,393.1499938964844
559315,4868481,393.7699890136719
559383,4868528,394.69000244140625
559542,4868547,395.3599853515625
559567,4868494,394.6700134277344
559648,4868331,395.19000244140625
559541,4868326,395.3900146484375
560075,4868322,393.2699890136719
558424,4868055,391.70001220703125
559897,4868054,397.0
559912,4868093,397.19000244140625
560037,4868120,395.8599853515625
560306,4868123,393.8299865722656
560480,4868102,395.760009765625
560458,4868084,395.6600036621094
560487,4868062,395.6400146484375
560322,4868051,393.7099914550781
558345,4867990,390.6000061035156
558574,4867955,391.2699890136719
559636,4868008,397.07000732421875
559650,4867941,398.010009765625
558574,4867955,391.2699890136719
559940,4867954,396.4100036621094
558449,4867892,390.82000732421875
558333,4867843,392.0899963378906
558425,4867802,392.3599853515625
558449,4867892,390.82000732421875
558525,4867743,393.1300048828125
558463,4867619,394.3500061035156
559636,4868008,397.07000732421875
558463,4867619,394.3500061035156
558473,4867557,394.4599914550781
558627,4867557,394.5899963378906
558746,4867567,396.07000732421875
558665,4867525,395.42999267578125
558772,4867533,395.67999267578125
558655,4867479,395.54998779296875
558851,4867270,394.6199951171875
558721,4867282,395.67999267578125
558549,4867297,396.2099914550781
558517,4867238,395.3500061035156
558265,4867231,395.9100036621094
558133,4867302,395.1199951171875
558287,4867297,395.0299987792969
558389,4867395,397.0
558782,4867432,395.67999267578125
557856,4867488,392.7699890136719
558139,4867488,395.92999267578125
558298,4867744,393.8999938964844
558159,4867768,392.0
558198,4867844,392.4800109863281
557806,4868003,388.2099914550781
557678,4868246,392.4599914550781
