from_id,to_id,y_0,y_1,x_0,x_1,z_0,z_1
0,6,0.0,0.0,0.0,100.0,0.0,0.0
6,7,0.0,0.0,100.0,200.0,0.0,0.0
7,8,0.0,0.0,200.0,300.0,0.0,0.0
8,9,0.0,0.0,300.0,400.0,0.0,0.0
9,1,0.0,0.0,400.0,500.0,0.0,0.0
1,10,0.0,0.0,500.0,600.0,0.0,0.0
10,11,0.0,0.0,600.0,700.0,0.0,0.0
11,12,0.0,0.0,700.0,800.0,0.0,0.0
12,13,0.0,0.0,800.0,900.0,0.0,0.0
13,2,0.0,0.0,900.0,1000.0,0.0,0.0
1,14,0.0,0.0,500.0,500.0,0.0,1.0
14,15,0.0,0.0,500.0,500.0,1.0,2.0
15,16,0.0,0.0,500.0,500.0,2.0,3.0
16,17,0.0,0.0,500.0,500.0,3.0,4.0
17,4,0.0,0.0,500.0,500.0,4.0,5.0
3,18,0.0,0.0,0.0,100.0,5.0,5.0
18,19,0.0,0.0,100.0,200.0,5.0,5.0
19,20,0.0,0.0,200.0,300.0,5.0,5.0
20,21,0.0,0.0,300.0,400.0,5.0,5.0
21,4,0.0,0.0,400.0,500.0,5.0,5.0
4,22,0.0,0.0,500.0,600.0,5.0,5.0
22,23,0.0,0.0,600.0,700.0,5.0,5.0
23,24,0.0,0.0,700.0,800.0,5.0,5.0
24,25,0.0,0.0,800.0,900.0,5.0,5.0
25,5,0.0,0.0,900.0,1000.0,5.0,5.0
