id,x,y,z,type
0,0.0,0.0,0.0,inlet
1,500.0,0.0,0.0,junction
2,1000.0,0.0,0.0,outlet
3,0.0,0.0,5.0,inlet
4,500.0,0.0,5.0,junction
5,1000.0,0.0,5.0,outlet
6,100.0,0.0,0.0,junction
7,200.0,0.0,0.0,junction
8,300.0,0.0,0.0,junction
9,400.0,0.0,0.0,junction
10,600.0,0.0,0.0,junction
11,700.0,0.0,0.0,junction
12,800.0,0.0,0.0,junction
13,900.0,0.0,0.0,junction
14,500.0,0.0,1.0,junction
15,500.0,0.0,2.0,junction
16,500.0,0.0,3.0,junction
17,500.0,0.0,4.0,junction
18,100.0,0.0,5.0,junction
19,200.0,0.0,5.0,junction
20,300.0,0.0,5.0,junction
21,400.0,0.0,5.0,junction
22,600.0,0.0,5.0,junction
23,700.0,0.0,5.0,junction
24,800.0,0.0,5.0,junction
25,900.0,0.0,5.0,junction
