id,y,x,type
0,4869420.0,557959.0,inlet
1,4869425.683562611,557952.184182179,junction
2,4869449.091614769,557926.5774280984,junction
3,4869465.974344831,557905.2131609987,junction
4,4869477.716318529,557884.0536064832,junction
5,4869480.96840284,557881.8841528356,junction
6,4869490.006314666,557838.1614518162,junction
7,4869498.760673846,557821.5709374434,junction
8,4869526.767899828,557803.9285309258,junction
9,4869553.083952998,557791.335029884,junction
10,4869566.992081437,557773.5370141652,junction
11,4869578.003529588,557757.336512117,junction
12,4869583.635707317,557741.0390321458,junction
13,4869585.88072272,557719.40655525,junction
14,4869606.0,557714.0,outfall
15,4869122.0,558028.0,inlet
16,4869127.643978955,558025.4463989493,junction
17,4869152.681349209,558006.1742794609,junction
18,4869184.0963037545,557992.7972361165,junction
19,4869200.271799817,557984.3538022629,junction
20,4869208.972680486,557979.0062940638,junction
21,4869228.14876554,557968.0219362522,junction
22,4869256.811651965,557950.4053063302,junction
23,4869275.08784384,557939.787800988,junction
24,4869288.419138787,557931.7101132679,junction
25,4869302.233449623,557923.6936222254,junction
26,4869325.346262605,557909.8447756672,junction
27,4869334.841346851,557903.9539916784,junction
28,4869349.461516109,557895.1665104332,junction
29,4869372.943201287,557881.0644284817,junction
30,4869380.9610954,557876.5350825075,junction
31,4869399.925512985,557866.6997088217,junction
32,4869424.491504509,557855.5213994723,junction
33,4869452.230453709,557840.4709180063,junction
34,4869470.011426,557831.1880081884,junction
35,4869476.2854360165,557826.3776381772,junction
36,4869487.327414297,557806.0448940285,junction
37,4869502.672472004,557795.7386715913,junction
38,4869538.741761827,557781.6512933768,junction
39,4869569.473273811,557754.3330769229,junction
40,4869097.0,558106.0,inlet
41,4869101.163457274,558101.0316141866,junction
42,4869123.85530451,558077.5149627628,junction
43,4869146.107232441,558055.3865214697,junction
44,4869150.453351191,558051.7854902497,junction
45,4869176.435643134,558028.2648327328,junction
46,4869199.229794595,558017.2470990139,junction
47,4869224.88952493,558002.1245401142,junction
48,4869253.326406096,557985.0311663945,junction
49,4869262.482936441,557979.4622405233,junction
50,4869277.883477381,557969.6733443618,junction
51,4869301.706170193,557954.4445069033,junction
52,4869325.617385409,557939.798656798,junction
53,4869352.9455444915,557922.2835898476,junction
54,4869375.461982544,557907.5614267231,junction
55,4869382.799776025,557903.046816539,junction
56,4869400.637902534,557892.3586018287,junction
57,4869428.462043229,557875.2840330903,junction
58,4869451.8017468825,557862.74018159,junction
59,4869004.0,557989.0,inlet
60,4869017.810221219,557973.7745796413,junction
61,4869030.421650294,557956.3662038429,junction
62,4869049.771219708,557951.81990452,junction
63,4869078.983376805,557934.2039602381,junction
64,4869087.525743519,557925.1825097835,junction
65,4869102.998962506,557905.1338724175,junction
66,4869124.271154665,557878.6888739273,junction
67,4869152.656516962,557853.7087200303,junction
68,4869176.1143553,557827.72958415,junction
69,4869192.934058217,557805.6676662962,junction
70,4869200.536866461,557796.7071935907,junction
71,4869216.228557426,557778.1452773908,junction
72,4869224.51549268,557770.6642736712,junction
73,4869245.0755042955,557753.7344095684,junction
74,4869248.8625784395,557749.4415771809,junction
75,4869281.600695416,557737.4580301156,junction
