id,y,x,type
0,4867488.0,558139.0,inlet
1,4867507.118644099,558138.5367451531,junction
2,4867542.422702317,558135.2223303107,junction
3,4867567.646782486,558133.6894337228,junction
4,4867592.253653093,558133.0699183692,junction
5,4867616.185088272,558131.8358302041,junction
6,4867637.593965415,558131.9242486733,junction
7,4867660.909847995,558131.9678881603,junction
8,4867671.288620433,558131.2272881963,junction
9,4867692.341599253,558130.6779436148,junction
10,4867711.043901484,558128.7738896874,junction
11,4867732.0705819195,558127.3280731888,junction
12,4867760.418140621,558124.7164000679,junction
13,4867784.266312623,558123.0190611444,junction
14,4867808.089276575,558121.2733977799,junction
15,4867832.784874875,558119.2439659111,junction
16,4867853.023774047,558116.9437790493,junction
17,4867876.775189022,558114.6284978817,junction
18,4867901.2531594895,558113.7260405154,junction
19,4867935.220854914,558108.0813125799,junction
20,4867945.109046619,558106.0796458146,junction
21,4867959.093414222,558104.1535460975,junction
22,4867981.545693944,558101.0619332253,junction
23,4868003.663985195,558097.8532599593,junction
24,4868025.219232731,558094.8289331433,junction
25,4868050.4587969715,558090.0095757132,junction
26,4868080.90129338,558085.587151705,junction
27,4868105.700409163,558085.0416602585,junction
28,4868124.413595122,558082.764173613,junction
29,4868148.335376275,558081.6527879455,junction
30,4868159.469313246,558080.9528505529,junction
31,4868184.788689991,558079.8630463717,junction
32,4868209.472348703,558078.8972767458,junction
33,4868233.707390841,558078.0652342486,junction
34,4868258.76288659,558077.114742368,junction
35,4868283.7255366435,558075.4904453682,junction
36,4868308.183541696,558075.0479646438,junction
37,4868332.113619729,558074.6521969036,junction
38,4868361.330119129,558072.8771488129,junction
39,4868386.087493787,558072.0725809382,junction
40,4868410.861261208,558071.3240064604,junction
41,4868436.186754301,558070.6657777404,junction
42,4868457.20462358,558070.3984938044,junction
43,4868482.193928207,558069.8183402299,junction
44,4868517.49372516,558069.0161411883,junction
45,4868542.480156856,558068.2033746812,junction
46,4868565.613162892,558066.9027813346,junction
47,4868583.438952686,558064.7305961573,junction
48,4868611.607372783,558062.5254034657,junction
49,4868625.398878843,558059.1316635231,junction
50,4868635.677370183,558056.561604017,junction
51,4868656.3692621095,558051.7007526461,junction
52,4868679.202452695,558045.9575393371,junction
53,4868703.086028916,558040.3072385897,junction
54,4868723.71202756,558035.65906957,junction
55,4868747.481482475,558030.1444990232,junction
56,4868753.819976279,558027.0463502422,junction
57,4868778.219655083,558019.263740538,junction
58,4868798.851834423,558009.5003226871,junction
59,4868806.397171047,558006.4397316446,junction
60,4868825.673818194,558002.2263512092,junction
61,4868852.885305704,557994.3449031509,junction
62,4868878.600114871,557986.7341316476,junction
63,4868901.814802895,557979.7445033779,junction
64,4868924.843350941,557972.5794419838,junction
65,4868954.589405006,557963.7803360313,junction
66,4868977.933129234,557956.3041578333,junction
67,4869001.315431136,557949.5254030286,junction
68,4869030.618269807,557940.1215884285,junction
69,4869053.007596203,557933.7848654564,junction
70,4869059.970169029,557931.6540884313,junction
