id,y,x,type
0,4867302.0,558133.0,inlet
1,4867306.680709806,558130.9724313585,junction
2,4867331.78835055,558120.9413962313,junction
3,4867353.510368241,558107.839044487,junction
4,4867361.027455765,558101.4084431428,junction
5,4867383.659539821,558073.8081910958,junction
6,4867400.08074291,558056.1215092237,junction
7,4867426.055337781,558051.0491643159,junction
8,4867471.225847137,558049.8664224279,junction
9,4867495.053067559,558049.5374764508,junction
10,4867517.878139428,558048.6177532207,junction
11,4867536.26508527,558046.8185137042,junction
12,4867562.196450414,558042.9115699253,junction
13,4867586.656270198,558039.5349812265,junction
14,4867611.114352597,558036.3542828122,junction
15,4867627.885481369,558032.3085205969,junction
16,4867638.135932886,558029.9124071614,junction
17,4867671.55588452,558021.5708186788,junction
18,4867695.234258998,558020.9738179188,junction
19,4867719.8657107325,558020.5669727213,junction
20,4867742.502380333,558018.4190582617,junction
21,4867757.900352645,558011.3415286274,junction
22,4867779.408060826,558009.3841275461,junction
23,4867808.256533489,558006.5016884496,junction
24,4867834.234827911,558004.9387152415,junction
25,4867855.658613329,558004.6614345424,junction
26,4867881.1517959945,558003.1462061004,junction
27,4867907.457700165,557999.6643760671,junction
28,4867939.864050568,557996.9326756957,junction
29,4867962.919169032,557995.3433644855,junction
30,4867985.328092515,557994.2552719421,junction
31,4868007.529551563,557993.0062179344,junction
32,4868028.815464948,557989.680047541,junction
33,4868052.841266587,557982.0110024923,junction
34,4868065.496848974,557978.3687826573,junction
35,4868076.30196316,557975.0097881363,junction
36,4868100.744929152,557967.4860382375,junction
37,4868125.980040609,557957.9826066586,junction
38,4868129.991603108,557956.025300806,junction
39,4868151.300875183,557933.1296733577,junction
40,4868158.282747537,557924.9129434491,junction
41,4868176.32055061,557898.3967554428,junction
42,4868179.538998443,557880.6256207634,junction
43,4868185.234895508,557855.0030444389,junction
44,4868210.667572924,557833.717091722,junction
45,4868214.973624372,557814.5603338642,junction
46,4868234.19180592,557800.903441752,junction
47,4868265.147341127,557782.7929892538,junction
48,4868275.869070716,557778.9134789987,junction
49,4868313.140737246,557771.9898281811,junction
50,4868345.471156801,557770.6272794831,junction
51,4868369.861011223,557770.3062378888,junction
52,4868394.607723036,557770.0141552927,junction
53,4868417.020802747,557767.3678839189,junction
54,4868431.1389609575,557762.2070476952,junction
55,4868452.554135701,557756.876632978,junction
56,4868485.938059525,557752.9390164402,junction
57,4868520.619809137,557749.0630987085,junction
58,4868545.158038956,557747.9210781787,junction
59,4868570.150027464,557746.8482894779,junction
60,4868594.963045701,557746.0050057223,junction
61,4868619.7858128715,557745.3607902216,junction
62,4868644.58183911,557745.0171411987,junction
63,4868669.501174253,557744.9271991845,junction
64,4868708.502862644,557747.965275621,junction
65,4868741.611932374,557751.0940428125,junction
66,4868760.91317063,557752.54914802,junction
67,4868779.125304111,557754.7343706227,junction
68,4868810.891832915,557757.0072265763,junction
69,4868827.536970891,557756.9888441648,junction
70,4868863.287353325,557761.6215594116,junction
71,4868890.753970681,557761.1332086686,junction
72,4868914.897202521,557758.1695309727,junction
73,4868939.351083686,557755.9098758164,junction
74,4868965.520490923,557755.0408423105,junction
75,4868988.438648535,557754.3516113249,junction
76,4869009.45155135,557749.9365756375,junction
77,4869036.640907107,557743.5367372334,junction
78,4869053.113643094,557738.1598443972,junction
79,4869075.6655947585,557728.7894066236,junction
80,4869112.199417609,557723.9399668857,junction
81,4869136.0022491785,557722.8663980481,junction
82,4869161.388524239,557716.0975508479,junction
83,4869178.900094789,557710.9570513149,junction
84,4869206.606306585,557703.9220641367,junction
85,4869229.146178237,557698.3349606278,junction
86,4869254.694272859,557693.2855583696,junction
87,4869277.856676913,557688.9579222109,junction
88,4869301.174853185,557685.4943648984,junction
89,4869324.859638657,557683.1200078009,junction
90,4869349.082774319,557681.8192480104,junction
91,4869390.210443073,557679.5995625743,junction
92,4869403.644636614,557675.8328565351,junction
93,4869425.713171492,557679.7969506615,junction
94,4869452.546126561,557682.3879526631,junction
95,4869476.645026509,557685.8665153887,junction
96,4869511.983197094,557688.719846484,junction
97,4869545.893119096,557693.5773239739,junction
98,4869553.0,557689.0,outfall
99,4867297.0,558287.0,inlet
100,4867299.607565705,558290.1828494983,junction
101,4867329.636835492,558310.2231658995,junction
102,4867357.452262876,558319.7211622414,junction
103,4867377.3180877,558325.2101136295,junction
104,4867418.570886375,558329.9854132704,junction
105,4867431.547207222,558333.923005874,junction
106,4867458.901703069,558334.5908147567,junction
107,4867489.902472524,558329.1985741688,junction
108,4867501.877533503,558325.06031867,junction
109,4867524.33103625,558321.9082886395,junction
110,4867560.213051078,558316.309236901,junction
111,4867584.311241944,558311.9435923735,junction
112,4867610.641450073,558308.0473100232,junction
113,4867633.34229788,558306.8881735293,junction
114,4867665.864898237,558305.4347824986,junction
115,4867689.978784121,558305.0405352687,junction
116,4867713.790055384,558304.8331945067,junction
117,4867733.739280739,558309.0008266426,junction
118,4867749.077596455,558323.6600441817,junction
119,4867789.539354949,558326.0762718134,junction
