id,x,y,z,type
0,560306.0,4868123.0,25.23297982873902,inlet
1,560301.5336821297,4868127.337843428,25.23297982873902,junction
2,560273.8459576648,4868152.739335153,24.89058012380434,junction
3,560252.9642977113,4868170.802495827,24.54818041886972,junction
4,560245.1077341819,4868177.291217132,24.54818041886972,junction
5,560229.9338599764,4868193.052275232,24.429092988714217,junction
6,560219.4527584211,4868203.347309462,24.2057807139351,junction
7,560206.9005773318,4868209.360010648,24.086693283779596,junction
8,560175.2391052918,4868222.77249008,23.744293578844918,junction
9,560167.7059522131,4868233.382368172,23.625206148689415,junction
10,560156.4351689591,4868241.980286933,23.625206148689415,junction
11,560135.869846874,4868250.519318613,23.282806443754794,junction
12,560120.7021416635,4868260.083147749,23.282806443754794,junction
13,560102.5514220948,4868272.119369488,22.940406738820172,junction
14,560097.2849993838,4868276.099111171,22.940406738820172,junction
15,560078.6168691445,4868289.783899662,22.82131930866467,junction
16,560061.1049831535,4868303.679304377,22.47891960372999,junction
17,560049.9964989929,4868312.065558112,22.47891960372999,junction
18,560030.1276402763,4868327.755932866,22.13651989879537,junction
19,560005.4385931655,4868347.489548793,21.794120193860635,junction
20,560002.0027014576,4868349.575815625,21.794120193860635,junction
21,559980.040738346,4868366.979542255,21.675032763705133,junction
22,559968.0200148687,4868376.800075712,21.33263305877051,junction
23,559955.390700448,4868385.349079813,21.33263305877051,junction
24,559930.0673168702,4868403.440225918,20.99023335383589,junction
25,559901.7165052146,4868427.259044898,20.647833648901212,junction
26,559878.1992991797,4868444.973453927,20.52874621874571,junction
27,559867.8720422247,4868452.961387281,20.18634651381109,junction
28,559854.9802583324,4868462.776777301,20.18634651381109,junction
29,559842.6689631153,4868476.803475585,19.843946808876467,junction
30,559830.3866026824,4868489.670364672,19.843946808876467,junction
31,559820.7036749122,4868499.966471331,19.62063453409729,junction
32,559806.1586167056,4868514.25823826,19.50154710394179,junction
33,559794.8507354676,4868525.632923614,19.27823482916267,junction
34,559781.1051330355,4868539.63398467,19.159147399007168,junction
35,559764.227942574,4868555.345467336,18.81674769407249,junction
36,559755.1445436906,4868564.219732513,18.81674769407249,junction
37,559737.6259597678,4868579.923376705,18.47434798913787,junction
38,559728.355552023,4868588.582796036,18.47434798913787,junction
39,559712.2394674312,4868602.744484027,18.131948284203247,junction
40,559700.3272097443,4868609.760278301,18.131948284203247,junction
41,559676.3466680968,4868623.276173525,17.78954857926857,junction
42,559659.9208996043,4868626.989129577,17.670461149113066,junction
43,559652.242458086,4868631.654093203,17.670461149113066,junction
44,559615.6989118754,4868642.43148793,17.43228628880206,junction
45,559604.7021184567,4868652.335630753,17.208974014022942,junction
46,559572.7638018267,4868667.3543706965,17.08988658386744,junction
47,559563.1395463014,4868681.425699109,16.74748687893282,junction
48,559546.4215963043,4868689.642396128,16.74748687893282,junction
49,559516.3716104547,4868694.913390123,16.509312018621813,junction
50,559498.3314213208,4868700.84062751,16.285999743842638,junction
51,559473.208457013,4868716.274628753,16.166912313687135,junction
52,559444.5611144925,4868721.74732675,15.824512608752514,junction
53,559428.2975206214,4868730.122249577,15.705425178597011,junction
54,559395.7171157368,4868745.769790104,15.363025473662333,junction
55,559373.7300019538,4868748.239102675,15.24393804350683,junction
56,559353.8637413484,4868754.668271202,15.124850613351327,junction
57,559319.9874731317,4868764.951222264,15.005763183195768,junction
58,559306.7111274025,4868776.073961494,14.663363478261147,junction
59,559279.3931590543,4868798.6177282585,14.320963773326525,junction
60,559268.2265954271,4868825.281238869,13.978564068391847,junction
61,559262.7455797611,4868855.821868733,13.755251793612729,junction
62,559257.5672664037,4868882.692220997,13.53193951883361,junction
63,559252.4974013114,4868900.494350686,13.308627244054435,junction
64,559231.5492020084,4868918.840976874,13.189539813898932,junction
65,559224.4052936222,4868923.650001698,12.966227539119814,junction
66,559192.6926379529,4868935.247535924,12.728052678808808,junction
67,559169.7400695974,4868938.173294086,12.728052678808808,junction
68,559149.0569620684,4868941.806295113,12.608965248653305,junction
69,559125.6658759081,4868950.7836988885,12.266565543718627,junction
70,559103.7088354643,4868958.746623063,12.147478113563125,junction
71,559077.6976889817,4868967.0540099945,12.028390683407622,junction
72,559045.9311409079,4868968.543191144,11.90930325325212,junction
73,559022.1966482332,4868969.052272846,11.790215823096617,junction
74,558997.5285047131,4868970.190270503,11.671128392941114,junction
75,558973.3139815964,4868970.832792548,11.328728688006493,junction
76,558949.1284310365,4868971.218567308,11.20964125785099,junction
77,558924.6105334844,4868971.666819495,11.090553827695487,junction
78,558900.4991033673,4868972.048546278,10.971466397539984,junction
79,558876.1730052963,4868972.572050542,10.852378967384482,junction
80,558852.1658868664,4868972.976478284,10.733291537228979,junction
