id,y,x,type
0,4867747.0,558522.0,inlet
1,4867750.346987932,558519.5496637712,junction
2,4867774.353359945,558502.1967280513,junction
3,4867800.616902788,558483.3339813183,junction
4,4867803.85364558,558481.4315107678,junction
5,4867827.764453557,558465.0633636481,junction
6,4867845.996815084,558453.0873064982,junction
7,4867851.50648058,558449.7911013355,junction
8,4867874.11405586,558437.6611713403,junction
9,4867901.563176639,558428.8768692166,junction
10,4867923.515987255,558419.8499520479,junction
11,4867953.2075472,558407.7845089845,junction
12,4867963.043455456,558404.4642993697,junction
13,4867983.140629293,558396.5651261671,junction
14,4868000.517811475,558388.8168988468,junction
15,4868026.860402788,558379.1484712701,junction
16,4868048.559917497,558373.6131098078,junction
17,4868077.859755702,558365.2271338184,junction
18,4868111.8364231195,558358.7704750462,junction
19,4868113.912128582,558355.9739062618,junction
20,4868124.857213079,558349.4508435841,junction
21,4868170.795900455,558345.2870496527,junction
22,4868194.751554826,558345.1688898944,junction
23,4868219.489672601,558344.8225658485,junction
24,4868241.938890473,558342.2383685792,junction
25,4868259.959980827,558335.6582545511,junction
26,4868275.745535471,558328.8355662714,junction
27,4868312.439683196,558317.9773401872,junction
28,4868330.461285948,558309.989615775,junction
29,4868351.7175887115,558304.9431097985,junction
30,4868387.593672151,558300.4649548525,junction
31,4868418.727239671,558295.3682421984,junction
32,4868434.1090695895,558289.6438607106,junction
33,4868451.598257175,558282.0180672724,junction
34,4868464.335687325,558278.2886680154,junction
35,4868482.201781771,558271.4217149294,junction
36,4868505.879903658,558262.3051874497,junction
37,4868527.267264655,558255.9917883488,junction
38,4868559.411203848,558244.736524592,junction
39,4868580.244129771,558239.3207850857,junction
40,4868601.559694452,558235.2564539196,junction
41,4868614.353892776,558231.5686555103,junction
42,4868624.163174301,558228.5002550886,junction
43,4868656.68250589,558217.6811125411,junction
44,4868677.453686253,558213.4863738373,junction
45,4868700.1499631535,558206.998387591,junction
46,4868710.261597011,558203.9609418091,junction
47,4868730.6849013,558198.2371023912,junction
48,4868753.581209742,558192.0375456128,junction
49,4868776.629478,558186.0747258472,junction
50,4868801.539996584,558179.7779627319,junction
51,4868828.760146541,558172.9376709869,junction
52,4868854.389090561,558166.783084411,junction
53,4868874.8002579,558163.0155058497,junction
54,4868906.114293486,558156.9999330062,junction
55,4868919.003560141,558154.9714221196,junction
56,4868929.380470484,558153.4240737101,junction
57,4868954.560034528,558149.4814060873,junction
58,4868978.773806969,558145.3963545744,junction
59,4869003.035014622,558139.7943643903,junction
60,4869014.066455713,558131.4132468106,junction
61,4869037.560304563,558127.4576030762,junction
62,4869061.692385105,558123.5773813204,junction
63,4869110.88072272,558119.40655525,junction
64,4869111.305850734,558094.707123316,junction
65,4869136.043833014,558094.5182173729,junction
66,4869160.88072272,558094.40655525,junction
67,4869172.897857662,558077.861556841,junction
68,4869190.405595645,558072.6006932873,junction
69,4869212.718068667,558070.7112329347,junction
70,4869236.652065403,558069.938556772,junction
71,4869261.059077588,558069.5315909176,junction
72,4869275.764792878,558059.2795133746,junction
73,4869287.525365786,558055.9157932773,junction
74,4869299.243242871,558046.1909040711,junction
75,4869343.896468979,558043.5718464553,junction
76,4869359.694823163,558033.2179047698,junction
77,4869360.201663396,558009.6035628881,junction
78,4869360.88072272,557969.40655525,junction
79,4869360.88072272,557944.40655525,junction
80,4869360.88072272,557919.40655525,junction
81,4869360.88072272,557894.40655525,junction
82,4869360.88072272,557869.40655525,junction
83,4869360.88072272,557836.0732219167,junction
84,4869364.38947528,557789.5819744765,junction
85,4869387.242095914,557777.7854335633,junction
86,4869398.879207619,557760.1277865362,junction
87,4869436.555640452,557755.6929567326,junction
88,4869463.508991049,557749.0324475166,junction
89,4869479.770587174,557744.5806820067,junction
90,4869512.093101514,557738.8200179818,junction
91,4869536.1415278,557734.5029198339,junction
92,4869551.150026397,557729.3417252895,junction
93,4869587.16956873,557724.4444666133,junction
94,4869606.0,557714.0,outfall
95,4868904.0,558070.0,inlet
96,4868933.831933325,558082.4286833712,junction
97,4868949.057632218,558088.1888878108,junction
98,4868979.565417025,558097.1246059036,junction
99,4869004.7012075065,558104.9086218047,junction
100,4869092.394577795,558112.2407689341,junction
101,4868680.0,558126.0,inlet
102,4868712.379476258,558124.5027363355,junction
103,4868737.105350846,558123.6286904506,junction
104,4868761.857356101,558122.8324448843,junction
105,4868786.6362594245,558122.1153587172,junction
106,4868811.443737634,558121.4806435732,junction
107,4868836.2829635795,558120.9348259378,junction
108,4868861.159144961,558120.4894592105,junction
109,4868886.080004922,558120.1626819351,junction
110,4868911.064383479,558119.9887804134,junction
111,4868936.049079224,558119.9422332712,junction
112,4868961.033608541,558119.8961540767,junction
113,4868986.016761217,558119.8483653886,junction
114,4867990.0,558345.0,inlet
115,4868019.561538911,558344.9277795365,junction
116,4868044.561538911,558344.9277795365,junction
117,4868069.44683447,558344.7557228751,junction
118,4868094.4016905185,558344.6880069472,junction
119,4869360.88072272,557819.40655525,junction
120,4868051.0,560322.0,inlet
121,4868051.786334486,560292.0320914245,junction
122,4868053.321453571,560267.4679690967,junction
123,4868056.52210194,560249.3507143076,junction
124,4868061.665319426,560227.4062142925,junction
125,4868071.556851979,560197.7346915585,junction
126,4868074.096897085,560188.862681061,junction
127,4868078.574711157,560179.194365059,junction
128,4868086.912138365,560149.7326148745,junction
129,4868094.875139409,560125.906077823,junction
130,4868101.025904386,560103.8518375196,junction
131,4868105.500892874,560081.7685386434,junction
132,4868113.750684143,560038.0981254561,junction
133,4868119.15475632,560024.7018013855,junction
134,4868129.024612257,559993.6394822933,junction
135,4868139.16363773,559963.8191305002,junction
136,4868146.530591572,559943.9919547916,junction
137,4868153.027878584,559930.7881093182,junction
138,4868159.7391089,559892.7828544313,junction
139,4868160.451132072,559868.7995247765,junction
140,4868160.690993632,559844.1421151643,junction
141,4868160.759801441,559810.9926077303,junction
142,4868160.88072272,559794.40655525,junction
143,4868160.88072272,559769.40655525,junction
144,4868185.88072272,559769.40655525,junction
145,4868185.88072272,559744.40655525,junction
146,4868185.88072272,559719.40655525,junction
147,4868185.88072272,559694.40655525,junction
148,4868185.88072272,559669.40655525,junction
149,4868190.542927934,559647.7625811532,junction
150,4868206.968213044,559637.7299566078,junction
151,4868218.109576288,559628.2510770754,junction
152,4868223.585268119,559625.4554478008,junction
153,4868252.261741907,559596.142873817,junction
154,4868255.789814679,559578.0601902412,junction
155,4868259.287296269,559556.7459532212,junction
156,4868260.605917695,559510.3558183888,junction
157,4868260.799194572,559485.8084904182,junction
158,4868260.88072272,559444.40655525,junction
159,4868278.664015536,559433.5814944747,junction
160,4868296.861332609,559423.9241942929,junction
161,4868311.61521415,559419.0475982624,junction
162,4868328.913089329,559408.3639134964,junction
163,4868341.664089828,559400.6415374425,junction
164,4868359.4106914885,559391.7534740828,junction
165,4868375.182921216,559379.4985498285,junction
166,4868394.115382845,559344.1675460314,junction
167,4868410.755809788,559335.8932313576,junction
168,4868410.88072272,559319.40655525,junction
169,4868410.88072272,559294.40655525,junction
170,4868410.88072272,559269.40655525,junction
171,4868410.88072272,559244.40655525,junction
172,4868410.88072272,559219.40655525,junction
173,4868419.014827764,559199.8292919457,junction
174,4868430.270202482,559186.425589823,junction
175,4868433.798490829,559166.4546934989,junction
176,4868435.036383999,559143.2192443562,junction
177,4868435.494950809,559118.8623889623,junction
178,4868438.7556912955,559089.0171736524,junction
179,4868444.98663095,559075.4305454241,junction
180,4868451.3829914415,559060.0020545963,junction
181,4868452.3528890535,559042.1585399188,junction
182,4868458.679339015,559023.8274027406,junction
183,4868465.494625389,558993.4420070334,junction
184,4868470.941890552,558968.8126033077,junction
185,4868475.50763131,558960.2213677245,junction
186,4868476.926730855,558941.7100075845,junction
187,4868479.291038184,558931.3761699536,junction
188,4868483.373500787,558884.3429021927,junction
189,4868484.674414297,558860.1483889675,junction
190,4868485.621371764,558835.6202517232,junction
191,4868485.80254897,558810.8742973364,junction
192,4868485.850687523,558785.9910708864,junction
193,4868489.119333621,558764.2918093534,junction
194,4868504.2360093305,558747.9512867241,junction
195,4868520.363201356,558718.7128556792,junction
196,4868525.803238563,558705.6451473573,junction
197,4868548.53234354,558682.2754313777,junction
198,4868554.4391440805,558678.3222495985,junction
199,4868575.357394886,558662.2214355223,junction
200,4868582.432154844,558656.5765469989,junction
201,4868600.550334949,558650.6830556957,junction
202,4868627.758314503,558646.1676460879,junction
203,4868651.334687081,558638.4800709276,junction
204,4868659.911308671,558628.9466948647,junction
205,4868677.710808436,558613.2637304057,junction
206,4868687.087865841,558606.7726479367,junction
207,4868699.261496149,558600.2565859294,junction
208,4868735.078245553,558583.6293894061,junction
209,4868742.013939766,558575.2336169197,junction
210,4868752.745663138,558569.6855329389,junction
211,4868773.617113134,558555.6646961636,junction
212,4868801.909604792,558540.9740563459,junction
213,4868822.669909893,558530.5541306731,junction
214,4868837.932524758,558526.7513684045,junction
215,4868853.513544681,558509.6031099011,junction
216,4868855.801287811,558489.71086381,junction
217,4868865.372092053,558477.058331274,junction
218,4868875.052452339,558461.5687351539,junction
219,4868878.593000131,558455.268397733,junction
220,4868893.646104051,558429.7350296977,junction
221,4868899.881269109,558414.1682282443,junction
222,4868905.698022922,558400.5892370916,junction
223,4868914.532935665,558376.6638154786,junction
224,4868920.829445568,558350.413245375,junction
225,4868924.926882909,558330.6351638729,junction
226,4868935.725114993,558306.6101360666,junction
227,4868948.462105598,558276.8768730878,junction
228,4868958.4310986195,558256.7336004776,junction
229,4868974.938294775,558227.015094531,junction
230,4868991.96207355,558196.9695312869,junction
231,4869001.380195178,558178.6321316076,junction
232,4869031.492896045,558137.4051852281,junction
233,4868494.0,559567.0,inlet
