from_id,to_id,y_0,y_1,x_0,x_1,z_0,z_1
0,1,4867230.0,4867233.9645384755,558515.0,558513.9900447575,395.32000732421875,394.96604935991354
1,2,4867233.9645384755,4867235.475756131,558513.9900447575,558513.478581667,394.96604935991354,394.949166666757
2,3,4867235.475756131,4867238.606267191,558513.478581667,558512.4238859273,394.949166666757,394.91807864365893
3,4,4867238.606267191,4867245.224195892,558512.4238859273,558510.2016995671,394.91807864365893,394.8493706952324
4,5,4867245.224195892,4867248.996091914,558510.2016995671,558508.9411817284,394.8493706952324,394.8107306036787
5,6,4867248.996091914,4867250.333050499,558508.9411817284,558508.491518492,394.8107306036787,394.79731004689165
6,7,4867250.333050499,4867254.879505838,558508.491518492,558507.0089516891,394.79731004689165,394.75518684572273
7,8,4867254.879505838,4867259.381186547,558507.0089516891,558505.5155771393,394.75518684572273,394.7110239635301
8,9,4867259.381186547,4867263.872666634,558505.5155771393,558504.0108448972,394.7110239635301,394.6658996019206
9,10,4867263.872666634,4867265.417034023,558504.0108448972,558503.4961226372,394.6658996019206,394.6520731994199
10,11,4867265.417034023,4867269.924706143,558503.4961226372,558502.0279414733,394.6520731994199,394.61103848227157
11,12,4867269.924706143,4867274.394206251,558502.0279414733,558500.5349845991,394.61103848227157,394.5675191430621
12,13,4867274.394206251,4867278.878565567,558500.5349845991,558499.040485658,394.5675191430621,394.5261215685498
13,14,4867278.878565567,4867281.967335825,558499.040485658,558498.0533458705,394.5261215685498,394.50135200121093
14,15,4867281.967335825,4867284.947898563,558498.0533458705,558497.0643048818,394.50135200121093,394.47271564950836
15,16,4867284.947898563,4867289.406761811,558497.0643048818,558495.5808936652,394.47271564950836,394.4330360338545
16,17,4867289.406761811,4867293.896613286,558495.5808936652,558494.1291656048,394.4330360338545,394.3960681374293
17,18,4867293.896613286,4867296.82276806,558494.1291656048,558493.1647636235,394.3960681374293,394.37083569727145
18,19,4867296.82276806,4867299.819323177,558493.1647636235,558492.1563189467,394.37083569727145,394.34569429654755
19,20,4867299.819323177,4867304.419677381,558492.1563189467,558490.6532003818,394.34569429654755,394.3107686774709
20,21,4867304.419677381,4867308.900793449,558490.6532003818,558489.1625271394,394.3107686774709,394.27306588927934
21,22,4867308.900793449,4867311.843557922,558489.1625271394,558488.2387069656,394.27306588927934,394.2507023068021
22,23,4867311.843557922,4867314.85473251,558488.2387069656,558487.2274637352,394.2507023068021,394.22555334960975
23,24,4867314.85473251,4867319.434303218,558487.2274637352,558485.7157430808,394.22555334960975,394.18743618056396
24,25,4867319.434303218,4867323.926464724,558485.7157430808,558484.255049645,394.18743618056396,394.15312000482913
25,26,4867323.926464724,4867326.849017269,558484.255049645,558483.2656431643,394.15312000482913,394.1278662498034
26,27,4867326.849017269,4867329.755462283,558483.2656431643,558482.2578470194,394.1278662498034,394.10856175274023
27,28,4867329.755462283,4867334.240259882,558482.2578470194,558480.7975631319,394.10856175274023,394.075202791736
28,29,4867334.240259882,4867338.927699791,558480.7975631319,558479.2379494391,394.075202791736,394.0383959279244
29,30,4867338.927699791,4867341.85054999,558479.2379494391,558478.2853154168,394.0383959279244,394.014361696441
30,31,4867341.85054999,4867344.780499204,558478.2853154168,558477.3234787072,394.014361696441,393.9947053636871
31,32,4867344.780499204,4867349.248763642,558477.3234787072,558475.8360961619,393.9947053636871,393.9605534499931
32,33,4867349.248763642,4867353.93886028,558475.8360961619,558474.2749039844,393.9605534499931,393.93032580434186
33,34,4867353.93886028,4867356.842871353,558474.2749039844,558473.2710615227,393.93032580434186,393.9068099245613
34,35,4867356.842871353,4867359.760751589,558473.2710615227,558472.3313828913,393.9068099245613,393.8849918466186
35,36,4867359.760751589,4867364.458708381,558472.3313828913,558470.7863012553,393.8849918466186,393.85202424279515
36,37,4867364.458708381,4867368.809603845,558470.7863012553,558469.3536304253,393.85202424279515,393.8191496355846
37,38,4867368.809603845,4867371.706874977,558469.3536304253,558468.4192985842,393.8191496355846,393.80282790703285
38,39,4867371.706874977,4867373.740744191,558468.4192985842,558467.7510930808,393.80282790703285,393.7876669432933
39,40,4867373.740744191,4867379.321537646,558467.7510930808,558465.8857855983,393.7876669432933,393.7540428446968
40,41,4867379.321537646,4867383.664264009,558465.8857855983,558464.4568919049,393.7540428446968,393.72124566324436
41,42,4867383.664264009,4867386.960555261,558464.4568919049,558463.3595781932,393.72124566324436,393.6990601347051
42,43,4867386.960555261,4867389.869862386,558463.3595781932,558462.4194563542,393.6990601347051,393.68136687553084
43,44,4867389.869862386,4867394.183165841,558462.4194563542,558461.0023501056,393.68136687553084,393.65028266070385
44,45,4867394.183165841,4867398.987432505,558461.0023501056,558459.4112097903,393.65028266070385,393.61814167322524
45,46,4867398.987432505,4867401.895401012,558459.4112097903,558458.4249677046,393.61814167322524,393.60292091480056
46,47,4867401.895401012,4867404.71350907,558458.4249677046,558457.4560552386,393.60292091480056,393.58251420382203
47,48,4867404.71350907,4867409.509647152,558457.4560552386,558455.9420261355,393.58251420382203,393.553372168469
48,49,4867409.509647152,4867413.808379401,558455.9420261355,558454.5185704677,393.553372168469,393.52554784901895
49,50,4867413.808379401,4867417.257974601,558454.5185704677,558453.4091843291,393.52554784901895,393.50555680343723
50,51,4867417.257974601,4867418.558272559,558453.4091843291,558452.9892626246,393.50555680343723,393.4970668078487
51,52,4867418.558272559,4867424.136189645,558452.9892626246,558451.0934117477,393.4970668078487,393.46196089014643
52,53,4867424.136189645,4867429.015982859,558451.0934117477,558449.49253771,393.46196089014643,393.4326332512964
53,54,4867429.015982859,4867433.356366292,558449.49253771,558448.0793031047,393.4326332512964,393.40547492458
54,55,4867433.356366292,4867434.736007511,558448.0793031047,558447.6111504234,393.40547492458,393.3967778279521
55,56,4867434.736007511,4867439.53213931,558447.6111504234,558446.0046019427,393.3967778279521,393.37021919864435
56,57,4867439.53213931,4867443.829481178,558446.0046019427,558444.5726218262,393.37021919864435,393.3465805150143
57,58,4867443.829481178,4867447.272163513,558444.5726218262,558443.4184627528,393.3465805150143,393.32682671061394
58,59,4867447.272163513,4867448.567473544,558443.4184627528,558443.0035783738,393.32682671061394,393.31887312876984
59,60,4867448.567473544,4867454.258615434,558443.0035783738,558441.1686050355,393.31887312876984,393.2858429838669
60,61,4867454.258615434,4867459.0454700235,558441.1686050355,558439.5702424212,393.2858429838669,393.2585649518149
