id,x,y,z,type
0,558515.0,4867230.0,395.32000732421875,inlet
1,558513.9900447575,4867233.9645384755,394.96604935991354,junction
2,558499.040485658,4867278.878565567,394.5261215685498,junction
3,558484.255049645,4867323.926464724,394.15312000482913,junction
4,558473.2710615227,4867356.842871353,393.9068099245613,junction
5,558457.4560552386,4867404.71350907,393.58251420382203,junction
6,558452.9892626246,4867418.558272559,393.4970668078487,junction
7,558419.7485417873,4867518.951644023,392.9445953385035,junction
8,558388.4600885921,4867614.217705047,392.51237488891553,junction
9,558368.2747284247,4867675.436805941,392.2691146168372,junction
10,558355.4001363519,4867714.049280513,392.1306530226417,junction
11,558353.4646496929,4867720.149709572,392.1091201440193,junction
12,558333.8942573874,4867778.932856205,391.91551053652915,junction
13,558324.040417887,4867808.914900786,391.8221146262164,junction
14,558323.2065095735,4867811.699958369,391.814913687178,junction
15,558310.6002634336,4867849.29740713,391.70272990223754,junction
16,558297.5647007573,4867888.990969891,391.5909624694096,junction
17,558285.7613047,4867924.360157833,391.5020721333787,junction
18,558255.9817886784,4868014.446051246,391.2825825901542,junction
19,558252.7106664786,4868024.070060628,391.25933561774593,junction
20,558244.6265905323,4868048.796659101,391.2044655011747,junction
21,558226.0599237619,4868104.789776612,391.0852523174212,junction
22,558139.6015363339,4868363.8542628,390.59950770029286,junction
23,558104.4193867974,4868468.706256861,390.42586921427966,junction
24,558094.2631017495,4868498.754760049,390.25974223791417,junction
25,558089.1493441837,4868513.704055981,390.0969112533794,junction
26,558088.4024116108,4868515.573531707,390.06645442672,junction
27,558073.2781333536,4868559.318704719,389.4353323849563,junction
28,558063.1833606139,4868588.77092678,388.9888501897499,junction
29,558059.8761594158,4868598.761473652,388.8495030333223,junction
30,558040.7200981692,4868654.44675452,388.0817301576715,junction
31,558037.5605047405,4868663.92793264,387.9674325490552,junction
32,558035.7244023021,4868668.893154785,387.89795701363323,junction
33,558030.3497325849,4868684.536804445,387.72605429126537,junction
34,558020.4116739362,4868713.833930833,387.4609883445437,junction
35,558018.6168034221,4868718.813644171,387.41774161154734,junction
36,557989.5430741427,4868804.385254093,386.81012297234366,junction
37,557987.7671329288,4868809.339318331,386.7811093798467,junction
38,557984.5213711403,4868819.085124839,386.7254411828072,junction
39,557975.7737138445,4868844.512530562,386.534600599645,junction
40,557963.8541848982,4868878.556551423,386.0124774680528,junction
41,557956.6438466128,4868898.769764067,385.6017221889321,junction
42,557948.4916989729,4868922.088097952,385.11304096310954,junction
43,557927.0218264109,4868984.464081151,383.89029121949613,junction
44,557923.1625946544,4868995.40746099,383.6983220988832,junction
45,557913.5486186604,4869023.508035643,383.23044927087466,junction
46,557911.3994288511,4869029.4511411255,383.1399958461591,junction
47,557896.8410761408,4869071.724088523,382.4852152250746,junction
48,557887.2833897457,4869098.842804178,381.8568968501206,junction
49,557885.278670952,4869104.216166541,381.69784542239057,junction
50,557878.3283991831,4869123.814300339,381.09771277819675,junction
51,557861.8269547872,4869169.734390422,379.5617557305298,junction
52,557844.2936303508,4869219.164306296,378.1475922257747,junction
53,557843.1778131826,4869222.0931498455,378.0678653706323,junction
54,557833.8629138228,4869248.612739572,377.3971549648079,junction
55,557832.9636540356,4869250.899374148,377.3396654804245,junction
56,557818.1308939029,4869292.233515096,376.40974562974793,junction
57,557803.4095811169,4869332.757164345,375.6862621224359,junction
58,557793.5871398512,4869359.494082443,375.37890644971986,junction
59,557784.1935290874,4869384.63247095,375.1739347270698,junction
60,557781.0154006486,4869393.509161804,375.11725862733323,junction
61,557778.11533257,4869400.943701268,375.0753228291284,junction
62,557768.0494901356,4869428.129181161,374.9999999999971,junction
63,557767.6239604389,4869431.5052207215,374.9999999999971,junction
64,557766.245118,4869436.0,375.464,outlet
