from_id,to_id,y_0,y_1,x_0,x_1,z_0,z_1
0,1,4867230.0,4867233.9645384755,558515.0,558513.9900447575,395.32000732421875,394.96604935991354
1,2,4867233.9645384755,4867278.878565567,558513.9900447575,558499.040485658,394.96604935991354,394.5261215685498
2,3,4867278.878565567,4867323.926464724,558499.040485658,558484.255049645,394.5261215685498,394.15312000482913
3,4,4867323.926464724,4867356.842871353,558484.255049645,558473.2710615227,394.15312000482913,393.9068099245613
4,5,4867356.842871353,4867404.71350907,558473.2710615227,558457.4560552386,393.9068099245613,393.58251420382203
5,6,4867404.71350907,4867418.558272559,558457.4560552386,558452.9892626246,393.58251420382203,393.4970668078487
6,7,4867418.558272559,4867518.951644023,558452.9892626246,558419.7485417873,393.4970668078487,392.9445953385035
7,8,4867518.951644023,4867614.217705047,558419.7485417873,558388.4600885921,392.9445953385035,392.51237488891553
8,9,4867614.217705047,4867675.436805941,558388.4600885921,558368.2747284247,392.51237488891553,392.2691146168372
9,10,4867675.436805941,4867714.049280513,558368.2747284247,558355.4001363519,392.2691146168372,392.1306530226417
10,11,4867714.049280513,4867720.149709572,558355.4001363519,558353.4646496929,392.1306530226417,392.1091201440193
11,12,4867720.149709572,4867778.932856205,558353.4646496929,558333.8942573874,392.1091201440193,391.91551053652915
12,13,4867778.932856205,4867808.914900786,558333.8942573874,558324.040417887,391.91551053652915,391.8221146262164
13,14,4867808.914900786,4867811.699958369,558324.040417887,558323.2065095735,391.8221146262164,391.814913687178
14,15,4867811.699958369,4867849.29740713,558323.2065095735,558310.6002634336,391.814913687178,391.70272990223754
15,16,4867849.29740713,4867888.990969891,558310.6002634336,558297.5647007573,391.70272990223754,391.5909624694096
16,17,4867888.990969891,4867924.360157833,558297.5647007573,558285.7613047,391.5909624694096,391.5020721333787
17,18,4867924.360157833,4868014.446051246,558285.7613047,558255.9817886784,391.5020721333787,391.2825825901542
18,19,4868014.446051246,4868024.070060628,558255.9817886784,558252.7106664786,391.2825825901542,391.25933561774593
19,20,4868024.070060628,4868048.796659101,558252.7106664786,558244.6265905323,391.25933561774593,391.2044655011747
20,21,4868048.796659101,4868104.789776612,558244.6265905323,558226.0599237619,391.2044655011747,391.0852523174212
21,22,4868104.789776612,4868363.8542628,558226.0599237619,558139.6015363339,391.0852523174212,390.59950770029286
22,23,4868363.8542628,4868468.706256861,558139.6015363339,558104.4193867974,390.59950770029286,390.42586921427966
23,24,4868468.706256861,4868498.754760049,558104.4193867974,558094.2631017495,390.42586921427966,390.25974223791417
24,25,4868498.754760049,4868513.704055981,558094.2631017495,558089.1493441837,390.25974223791417,390.0969112533794
25,26,4868513.704055981,4868515.573531707,558089.1493441837,558088.4024116108,390.0969112533794,390.06645442672
26,27,4868515.573531707,4868559.318704719,558088.4024116108,558073.2781333536,390.06645442672,389.4353323849563
27,28,4868559.318704719,4868588.77092678,558073.2781333536,558063.1833606139,389.4353323849563,388.9888501897499
28,29,4868588.77092678,4868598.761473652,558063.1833606139,558059.8761594158,388.9888501897499,388.8495030333223
29,30,4868598.761473652,4868654.44675452,558059.8761594158,558040.7200981692,388.8495030333223,388.0817301576715
30,31,4868654.44675452,4868663.92793264,558040.7200981692,558037.5605047405,388.0817301576715,387.9674325490552
31,32,4868663.92793264,4868668.893154785,558037.5605047405,558035.7244023021,387.9674325490552,387.89795701363323
32,33,4868668.893154785,4868684.536804445,558035.7244023021,558030.3497325849,387.89795701363323,387.72605429126537
33,34,4868684.536804445,4868713.833930833,558030.3497325849,558020.4116739362,387.72605429126537,387.4609883445437
34,35,4868713.833930833,4868718.813644171,558020.4116739362,558018.6168034221,387.4609883445437,387.41774161154734
35,36,4868718.813644171,4868804.385254093,558018.6168034221,557989.5430741427,387.41774161154734,386.81012297234366
36,37,4868804.385254093,4868809.339318331,557989.5430741427,557987.7671329288,386.81012297234366,386.7811093798467
37,38,4868809.339318331,4868819.085124839,557987.7671329288,557984.5213711403,386.7811093798467,386.7254411828072
38,39,4868819.085124839,4868844.512530562,557984.5213711403,557975.7737138445,386.7254411828072,386.534600599645
39,40,4868844.512530562,4868878.556551423,557975.7737138445,557963.8541848982,386.534600599645,386.0124774680528
40,41,4868878.556551423,4868898.769764067,557963.8541848982,557956.6438466128,386.0124774680528,385.6017221889321
41,42,4868898.769764067,4868922.088097952,557956.6438466128,557948.4916989729,385.6017221889321,385.11304096310954
42,43,4868922.088097952,4868984.464081151,557948.4916989729,557927.0218264109,385.11304096310954,383.89029121949613
43,44,4868984.464081151,4868995.40746099,557927.0218264109,557923.1625946544,383.89029121949613,383.6983220988832
44,45,4868995.40746099,4869023.508035643,557923.1625946544,557913.5486186604,383.6983220988832,383.23044927087466
45,46,4869023.508035643,4869029.4511411255,557913.5486186604,557911.3994288511,383.23044927087466,383.1399958461591
46,47,4869029.4511411255,4869071.724088523,557911.3994288511,557896.8410761408,383.1399958461591,382.4852152250746
47,48,4869071.724088523,4869098.842804178,557896.8410761408,557887.2833897457,382.4852152250746,381.8568968501206
48,49,4869098.842804178,4869104.216166541,557887.2833897457,557885.278670952,381.8568968501206,381.69784542239057
49,50,4869104.216166541,4869123.814300339,557885.278670952,557878.3283991831,381.69784542239057,381.09771277819675
50,51,4869123.814300339,4869169.734390422,557878.3283991831,557861.8269547872,381.09771277819675,379.5617557305298
51,52,4869169.734390422,4869219.164306296,557861.8269547872,557844.2936303508,379.5617557305298,378.1475922257747
52,53,4869219.164306296,4869222.0931498455,557844.2936303508,557843.1778131826,378.1475922257747,378.0678653706323
53,54,4869222.0931498455,4869248.612739572,557843.1778131826,557833.8629138228,378.0678653706323,377.3971549648079
54,55,4869248.612739572,4869250.899374148,557833.8629138228,557832.9636540356,377.3971549648079,377.3396654804245
55,56,4869250.899374148,4869292.233515096,557832.9636540356,557818.1308939029,377.3396654804245,376.40974562974793
56,57,4869292.233515096,4869332.757164345,557818.1308939029,557803.4095811169,376.40974562974793,375.6862621224359
57,58,4869332.757164345,4869359.494082443,557803.4095811169,557793.5871398512,375.6862621224359,375.37890644971986
58,59,4869359.494082443,4869384.63247095,557793.5871398512,557784.1935290874,375.37890644971986,375.1739347270698
59,60,4869384.63247095,4869393.509161804,557784.1935290874,557781.0154006486,375.1739347270698,375.11725862733323
60,61,4869393.509161804,4869400.943701268,557781.0154006486,557778.11533257,375.11725862733323,375.0753228291284
61,62,4869400.943701268,4869428.129181161,557778.11533257,557768.0494901356,375.0753228291284,374.9999999999971
62,63,4869428.129181161,4869431.5052207215,557768.0494901356,557767.6239604389,374.9999999999971,374.9999999999971
63,64,4869431.5052207215,4869436.0,557767.6239604389,557766.245118,374.9999999999971,375.464
