from_id,to_id,x_0,y_0,z_0,x_1,y_1,z_1
175,251,558188.350473112,4868697.079644086,0.0,558213.350473112,4868697.079644086,0.0
251,176,558213.350473112,4868697.079644086,0.0,558238.350473112,4868697.079644086,0.0
131,252,558988.350473112,4868447.079644086,0.0,559013.350473112,4868447.079644086,0.0
252,132,559013.350473112,4868447.079644086,0.0,559038.350473112,4868447.079644086,0.0
141,253,559488.350473112,4868447.079644086,0.0,559505.0171397786,4868463.746310753,0.0
253,254,559505.0171397786,4868463.746310753,0.0,559521.6838064453,4868480.412977419,0.0
254,149,559521.6838064453,4868480.412977419,0.0,559538.350473112,4868497.079644086,0.0
157,255,558338.350473112,4868597.079644086,0.0,558338.350473112,4868622.079644086,0.0
255,165,558338.350473112,4868622.079644086,0.0,558338.350473112,4868647.079644086,0.0
191,256,558238.350473112,4868797.079644086,0.0,558238.350473112,4868822.079644086,0.0
256,201,558238.350473112,4868822.079644086,0.0,558238.350473112,4868847.079644086,0.0
162,257,559388.350473112,4868597.079644086,0.0,559413.350473112,4868597.079644086,0.0
257,163,559413.350473112,4868597.079644086,0.0,559438.350473112,4868597.079644086,0.0
113,258,558338.350473112,4868397.079644086,0.0,558321.6838064453,4868413.746310753,0.0
258,259,558321.6838064453,4868413.746310753,0.0,558305.0171397786,4868430.412977419,0.0
259,118,558305.0171397786,4868430.412977419,0.0,558288.350473112,4868447.079644086,0.0
140,260,559438.350473112,4868447.079644086,0.0,559463.350473112,4868447.079644086,0.0
260,141,559463.350473112,4868447.079644086,0.0,559488.350473112,4868447.079644086,0.0
218,261,558688.350473112,4868997.079644086,0.0,558713.350473112,4868997.079644086,0.0
261,219,558713.350473112,4868997.079644086,0.0,558738.350473112,4868997.079644086,0.0
86,262,559588.350473112,4868197.079644086,0.0,559613.350473112,4868197.079644086,0.0
262,87,559613.350473112,4868197.079644086,0.0,559638.350473112,4868197.079644086,0.0
5,263,558488.350473112,4867497.079644086,0.0,558488.350473112,4867522.079644086,0.0
263,6,558488.350473112,4867522.079644086,0.0,558488.350473112,4867547.079644086,0.0
186,264,558288.350473112,4868747.079644086,0.0,558271.6838064453,4868763.746310753,0.0
264,265,558271.6838064453,4868763.746310753,0.0,558255.0171397786,4868780.412977419,0.0
265,191,558255.0171397786,4868780.412977419,0.0,558238.350473112,4868797.079644086,0.0
193,266,558338.350473112,4868797.079644086,0.0,558363.350473112,4868797.079644086,0.0
266,194,558363.350473112,4868797.079644086,0.0,558388.350473112,4868797.079644086,0.0
241,267,558138.350473112,4869247.079644086,0.0,558121.6838064453,4869263.746310753,0.0
267,268,558121.6838064453,4869263.746310753,0.0,558105.0171397786,4869280.412977419,0.0
268,247,558105.0171397786,4869280.412977419,0.0,558088.350473112,4869297.079644086,0.0
0,269,558538.350473112,4867247.079644086,0.0,558521.6838064453,4867263.746310753,0.0
269,270,558521.6838064453,4867263.746310753,0.0,558505.0171397786,4867280.412977419,0.0
270,1,558505.0171397786,4867280.412977419,0.0,558488.350473112,4867297.079644086,0.0
39,271,558738.350473112,4868047.079644086,0.0,558763.350473112,4868047.079644086,0.0
271,40,558763.350473112,4868047.079644086,0.0,558788.350473112,4868047.079644086,0.0
109,272,559288.350473112,4868347.079644086,0.0,559271.6838064453,4868363.746310753,0.0
272,273,559271.6838064453,4868363.746310753,0.0,559255.0171397786,4868380.412977419,0.0
273,116,559255.0171397786,4868380.412977419,0.0,559238.350473112,4868397.079644086,0.0
42,274,558888.350473112,4868047.079644086,0.0,558913.350473112,4868047.079644086,0.0
274,43,558913.350473112,4868047.079644086,0.0,558938.350473112,4868047.079644086,0.0
80,275,559738.350473112,4868147.079644086,0.0,559763.350473112,4868147.079644086,0.0
275,81,559763.350473112,4868147.079644086,0.0,559788.350473112,4868147.079644086,0.0
142,276,559588.350473112,4868447.079644086,0.0,559613.350473112,4868447.079644086,0.0
276,143,559613.350473112,4868447.079644086,0.0,559638.350473112,4868447.079644086,0.0
48,277,559188.350473112,4868047.079644086,0.0,559213.350473112,4868047.079644086,0.0
277,49,559213.350473112,4868047.079644086,0.0,559238.350473112,4868047.079644086,0.0
164,278,558238.350473112,4868647.079644086,0.0,558221.6838064453,4868663.746310753,0.0
278,279,558221.6838064453,4868663.746310753,0.0,558205.0171397786,4868680.412977419,0.0
279,175,558205.0171397786,4868680.412977419,0.0,558188.350473112,4868697.079644086,0.0
68,280,560188.350473112,4868047.079644086,0.0,560171.6838064453,4868063.746310753,0.0
280,281,560171.6838064453,4868063.746310753,0.0,560155.0171397786,4868080.412977419,0.0
281,77,560155.0171397786,4868080.412977419,0.0,560138.350473112,4868097.079644086,0.0
216,282,558588.350473112,4868997.079644086,0.0,558613.350473112,4868997.079644086,0.0
282,217,558613.350473112,4868997.079644086,0.0,558638.350473112,4868997.079644086,0.0
177,283,558288.350473112,4868697.079644086,0.0,558288.350473112,4868722.079644086,0.0
283,186,558288.350473112,4868722.079644086,0.0,558288.350473112,4868747.079644086,0.0
210,284,558238.350473112,4868947.079644086,0.0,558238.350473112,4868972.079644086,0.0
284,214,558238.350473112,4868972.079644086,0.0,558238.350473112,4868997.079644086,0.0
215,285,558338.350473112,4868997.079644086,0.0,558321.6838064453,4869013.746310753,0.0
285,286,558321.6838064453,4869013.746310753,0.0,558305.0171397786,4869030.412977419,0.0
286,224,558305.0171397786,4869030.412977419,0.0,558288.350473112,4869047.079644086,0.0
100,287,558538.350473112,4868297.079644086,0.0,558563.350473112,4868297.079644086,0.0
287,101,558563.350473112,4868297.079644086,0.0,558588.350473112,4868297.079644086,0.0
35,288,558438.350473112,4868047.079644086,0.0,558438.350473112,4868072.079644086,0.0
288,73,558438.350473112,4868072.079644086,0.0,558438.350473112,4868097.079644086,0.0
37,289,558638.350473112,4868047.079644086,0.0,558663.350473112,4868047.079644086,0.0
289,38,558663.350473112,4868047.079644086,0.0,558688.350473112,4868047.079644086,0.0
187,290,558638.350473112,4868747.079644086,0.0,558621.6838064453,4868763.746310753,0.0
290,291,558621.6838064453,4868763.746310753,0.0,558605.0171397786,4868780.412977419,0.0
291,198,558605.0171397786,4868780.412977419,0.0,558588.350473112,4868797.079644086,0.0
32,292,558438.350473112,4867997.079644086,0.0,558438.350473112,4868022.079644086,0.0
292,35,558438.350473112,4868022.079644086,0.0,558438.350473112,4868047.079644086,0.0
46,293,559088.350473112,4868047.079644086,0.0,559113.350473112,4868047.079644086,0.0
293,47,559113.350473112,4868047.079644086,0.0,559138.350473112,4868047.079644086,0.0
152,294,558888.350473112,4868547.079644086,0.0,558913.350473112,4868547.079644086,0.0
294,153,558913.350473112,4868547.079644086,0.0,558938.350473112,4868547.079644086,0.0
114,295,558388.350473112,4868397.079644086,0.0,558405.0171397786,4868413.746310753,0.0
295,296,558405.0171397786,4868413.746310753,0.0,558421.6838064453,4868430.412977419,0.0
296,120,558421.6838064453,4868430.412977419,0.0,558438.350473112,4868447.079644086,0.0
101,297,558588.350473112,4868297.079644086,0.0,558605.0171397786,4868313.746310753,0.0
297,298,558605.0171397786,4868313.746310753,0.0,558621.6838064453,4868330.412977419,0.0
298,108,558621.6838064453,4868330.412977419,0.0,558638.350473112,4868347.079644086,0.0
194,299,558388.350473112,4868797.079644086,0.0,558413.350473112,4868797.079644086,0.0
299,195,558413.350473112,4868797.079644086,0.0,558438.350473112,4868797.079644086,0.0
209,300,558138.350473112,4868947.079644086,0.0,558138.350473112,4868972.079644086,0.0
300,213,558138.350473112,4868972.079644086,0.0,558138.350473112,4868997.079644086,0.0
152,301,558888.350473112,4868547.079644086,0.0,558871.6838064453,4868563.746310753,0.0
301,302,558871.6838064453,4868563.746310753,0.0,558855.0171397786,4868580.412977419,0.0
302,158,558855.0171397786,4868580.412977419,0.0,558838.350473112,4868597.079644086,0.0
84,303,558438.350473112,4868197.079644086,0.0,558438.350473112,4868222.079644086,0.0
303,91,558438.350473112,4868222.079644086,0.0,558438.350473112,4868247.079644086,0.0
49,304,559238.350473112,4868047.079644086,0.0,559263.350473112,4868047.079644086,0.0
304,50,559263.350473112,4868047.079644086,0.0,559288.350473112,4868047.079644086,0.0
231,305,558088.350473112,4869147.079644086,0.0,558071.6838064453,4869163.746310753,0.0
305,306,558071.6838064453,4869163.746310753,0.0,558055.0171397786,4869180.412977419,0.0
306,236,558055.0171397786,4869180.412977419,0.0,558038.350473112,4869197.079644086,0.0
55,307,559538.350473112,4868047.079644086,0.0,559563.350473112,4868047.079644086,0.0
307,56,559563.350473112,4868047.079644086,0.0,559588.350473112,4868047.079644086,0.0
76,308,559838.350473112,4868097.079644086,0.0,559821.6838064453,4868113.746310753,0.0
308,309,559821.6838064453,4868113.746310753,0.0,559805.0171397786,4868130.412977419,0.0
309,81,559805.0171397786,4868130.412977419,0.0,559788.350473112,4868147.079644086,0.0
52,310,559388.350473112,4868047.079644086,0.0,559413.350473112,4868047.079644086,0.0
310,53,559413.350473112,4868047.079644086,0.0,559438.350473112,4868047.079644086,0.0
212,311,558938.350473112,4868947.079644086,0.0,558918.350473112,4868957.079644086,0.0
311,312,558918.350473112,4868957.079644086,0.0,558898.350473112,4868967.079644086,0.0
312,313,558898.350473112,4868967.079644086,0.0,558878.350473112,4868977.079644086,0.0
313,314,558878.350473112,4868977.079644086,0.0,558858.350473112,4868987.079644086,0.0
314,221,558858.350473112,4868987.079644086,0.0,558838.350473112,4868997.079644086,0.0
53,315,559438.350473112,4868047.079644086,0.0,559463.350473112,4868047.079644086,0.0
315,54,559463.350473112,4868047.079644086,0.0,559488.350473112,4868047.079644086,0.0
118,316,558288.350473112,4868447.079644086,0.0,558288.350473112,4868472.079644086,0.0
316,144,558288.350473112,4868472.079644086,0.0,558288.350473112,4868497.079644086,0.0
232,317,558388.350473112,4869147.079644086,0.0,558371.6838064453,4869163.746310753,0.0
317,318,558371.6838064453,4869163.746310753,0.0,558355.0171397786,4869180.412977419,0.0
318,239,558355.0171397786,4869180.412977419,0.0,558338.350473112,4869197.079644086,0.0
