id,x,y,type,z,is_conduit
0,558538.350473112,4867247.079644086,junction,0.0,True
1,558538.350473112,4867297.079644086,junction,0.0,True
2,558538.350473112,4867347.079644086,junction,0.0,True
3,558538.350473112,4867397.079644086,junction,0.0,True
4,558538.350473112,4867447.079644086,junction,0.0,True
5,558538.350473112,4867497.079644086,junction,0.0,True
6,558488.350473112,4867547.079644086,junction,0.0,True
7,558488.350473112,4867597.079644086,junction,0.0,True
8,558488.350473112,4867647.079644086,junction,0.0,True
9,558488.350473112,4867697.079644086,junction,0.0,True
10,558488.350473112,4867747.079644086,junction,0.0,True
11,558538.350473112,4867747.079644086,junction,0.0,True
12,558588.350473112,4867747.079644086,junction,0.0,True
13,558488.350473112,4867797.079644086,junction,0.0,True
14,558638.350473112,4867797.079644086,junction,0.0,True
15,558688.350473112,4867797.079644086,junction,0.0,True
16,558738.350473112,4867797.079644086,junction,0.0,True
17,558788.350473112,4867797.079644086,junction,0.0,True
18,558838.350473112,4867797.079644086,junction,0.0,True
19,558488.350473112,4867847.079644086,junction,0.0,True
20,558888.350473112,4867847.079644086,junction,0.0,True
21,558938.350473112,4867847.079644086,junction,0.0,True
22,558988.350473112,4867847.079644086,junction,0.0,True
23,559038.350473112,4867847.079644086,junction,0.0,True
24,559088.350473112,4867847.079644086,junction,0.0,True
25,559138.350473112,4867847.079644086,junction,0.0,True
26,558438.350473112,4867897.079644086,junction,0.0,True
27,558488.350473112,4867897.079644086,junction,0.0,True
28,559088.350473112,4867897.079644086,junction,0.0,True
29,559188.350473112,4867897.079644086,junction,0.0,True
30,559238.350473112,4867897.079644086,junction,0.0,True
31,559288.350473112,4867897.079644086,junction,0.0,True
32,559338.350473112,4867897.079644086,junction,0.0,True
33,558438.350473112,4867947.079644086,junction,0.0,True
34,558488.350473112,4867947.079644086,junction,0.0,True
35,559038.350473112,4867947.079644086,junction,0.0,True
36,559388.350473112,4867947.079644086,junction,0.0,True
37,558338.350473112,4867997.079644086,inlet,0.0,True
38,558438.350473112,4867997.079644086,junction,0.0,True
39,558488.350473112,4867997.079644086,junction,0.0,True
40,558988.350473112,4867997.079644086,junction,0.0,True
41,559438.350473112,4867997.079644086,junction,0.0,True
42,558338.350473112,4868047.079644086,junction,0.0,True
43,558438.350473112,4868047.079644086,junction,0.0,True
44,558488.350473112,4868047.079644086,junction,0.0,True
45,558888.350473112,4868047.079644086,junction,0.0,True
46,558938.350473112,4868047.079644086,junction,0.0,True
47,558988.350473112,4868047.079644086,junction,0.0,True
48,559038.350473112,4868047.079644086,junction,0.0,True
49,559088.350473112,4868047.079644086,junction,0.0,True
50,559138.350473112,4868047.079644086,junction,0.0,True
51,559188.350473112,4868047.079644086,junction,0.0,True
52,559238.350473112,4868047.079644086,junction,0.0,True
53,559288.350473112,4868047.079644086,junction,0.0,True
54,559338.350473112,4868047.079644086,junction,0.0,True
55,559388.350473112,4868047.079644086,junction,0.0,True
56,559438.350473112,4868047.079644086,junction,0.0,True
57,559488.350473112,4868047.079644086,junction,0.0,True
58,559538.350473112,4868047.079644086,junction,0.0,True
59,559588.350473112,4868047.079644086,junction,0.0,True
60,559638.350473112,4868047.079644086,junction,0.0,True
61,559688.350473112,4868047.079644086,junction,0.0,True
62,559738.350473112,4868047.079644086,junction,0.0,True
63,559788.350473112,4868047.079644086,junction,0.0,True
64,559838.350473112,4868047.079644086,junction,0.0,True
65,559888.350473112,4868047.079644086,junction,0.0,True
66,559938.350473112,4868047.079644086,junction,0.0,True
67,559988.350473112,4868047.079644086,junction,0.0,True
68,560038.350473112,4868047.079644086,junction,0.0,True
69,560088.350473112,4868047.079644086,junction,0.0,True
70,560138.350473112,4868047.079644086,junction,0.0,True
71,560188.350473112,4868047.079644086,junction,0.0,True
72,560238.350473112,4868047.079644086,junction,0.0,True
73,560288.350473112,4868047.079644086,junction,0.0,True
74,558338.350473112,4868097.079644086,junction,0.0,True
75,558438.350473112,4868097.079644086,junction,0.0,True
76,558488.350473112,4868097.079644086,junction,0.0,True
77,558788.350473112,4868097.079644086,junction,0.0,True
78,558838.350473112,4868097.079644086,junction,0.0,True
79,558938.350473112,4868097.079644086,junction,0.0,True
80,560188.350473112,4868097.079644086,junction,0.0,True
81,560238.350473112,4868097.079644086,junction,0.0,True
82,560288.350473112,4868097.079644086,junction,0.0,True
83,558338.350473112,4868147.079644086,junction,0.0,True
84,558388.350473112,4868147.079644086,junction,0.0,True
85,558538.350473112,4868147.079644086,junction,0.0,True
86,558688.350473112,4868147.079644086,junction,0.0,True
87,558738.350473112,4868147.079644086,junction,0.0,True
88,558888.350473112,4868147.079644086,junction,0.0,True
89,560138.350473112,4868147.079644086,junction,0.0,True
90,558288.350473112,4868197.079644086,junction,0.0,True
91,558388.350473112,4868197.079644086,junction,0.0,True
92,558438.350473112,4868197.079644086,junction,0.0,True
93,558488.350473112,4868197.079644086,junction,0.0,True
94,558538.350473112,4868197.079644086,junction,0.0,True
95,558588.350473112,4868197.079644086,junction,0.0,True
96,558638.350473112,4868197.079644086,junction,0.0,True
97,558888.350473112,4868197.079644086,junction,0.0,True
98,560088.350473112,4868197.079644086,junction,0.0,True
99,560138.350473112,4868197.079644086,junction,0.0,True
100,558288.350473112,4868247.079644086,junction,0.0,True
101,558388.350473112,4868247.079644086,junction,0.0,True
102,558488.350473112,4868247.079644086,junction,0.0,True
103,558588.350473112,4868247.079644086,junction,0.0,True
104,558888.350473112,4868247.079644086,junction,0.0,True
105,559988.350473112,4868247.079644086,junction,0.0,True
106,560038.350473112,4868247.079644086,junction,0.0,True
107,558288.350473112,4868297.079644086,junction,0.0,True
108,558338.350473112,4868297.079644086,junction,0.0,True
109,558388.350473112,4868297.079644086,junction,0.0,True
110,558438.350473112,4868297.079644086,junction,0.0,True
111,558488.350473112,4868297.079644086,junction,0.0,True
112,558588.350473112,4868297.079644086,junction,0.0,True
113,558838.350473112,4868297.079644086,junction,0.0,True
114,559838.350473112,4868297.079644086,junction,0.0,True
115,559888.350473112,4868297.079644086,junction,0.0,True
116,559938.350473112,4868297.079644086,junction,0.0,True
