from_id,to_id,x_0,y_0,z_0,x_1,y_1,z_1
96,220,558988.350473112,4868447.079644086,0.0,559013.350473112,4868447.079644086,0.0
220,97,559013.350473112,4868447.079644086,0.0,559038.350473112,4868447.079644086,0.0
95,221,558738.350473112,4868447.079644086,0.0,558755.0171397786,4868463.746310753,0.0
221,222,558755.0171397786,4868463.746310753,0.0,558771.6838064453,4868480.412977419,0.0
222,104,558771.6838064453,4868480.412977419,0.0,558788.350473112,4868497.079644086,0.0
211,223,557988.350473112,4869247.079644086,0.0,557971.6838064453,4869263.746310753,0.0
223,224,557971.6838064453,4869263.746310753,0.0,557955.0171397786,4869280.412977419,0.0
224,214,557955.0171397786,4869280.412977419,0.0,557938.350473112,4869297.079644086,0.0
43,225,558488.350473112,4868147.079644086,0.0,558488.350473112,4868172.079644086,0.0
225,49,558488.350473112,4868172.079644086,0.0,558488.350473112,4868197.079644086,0.0
136,226,558338.350473112,4868597.079644086,0.0,558338.350473112,4868622.079644086,0.0
226,145,558338.350473112,4868622.079644086,0.0,558338.350473112,4868647.079644086,0.0
76,227,558788.350473112,4868347.079644086,0.0,558805.0171397786,4868363.746310753,0.0
227,228,558805.0171397786,4868363.746310753,0.0,558821.6838064453,4868380.412977419,0.0
228,85,558821.6838064453,4868380.412977419,0.0,558838.350473112,4868397.079644086,0.0
171,229,558188.350473112,4868797.079644086,0.0,558213.350473112,4868797.079644086,0.0
229,172,558213.350473112,4868797.079644086,0.0,558238.350473112,4868797.079644086,0.0
31,230,558438.350473112,4868097.079644086,0.0,558455.0171397786,4868113.746310753,0.0
230,231,558455.0171397786,4868113.746310753,0.0,558471.6838064453,4868130.412977419,0.0
231,43,558471.6838064453,4868130.412977419,0.0,558488.350473112,4868147.079644086,0.0
103,232,558588.350473112,4868497.079644086,0.0,558588.350473112,4868522.079644086,0.0
232,121,558588.350473112,4868522.079644086,0.0,558588.350473112,4868547.079644086,0.0
166,233,558288.350473112,4868747.079644086,0.0,558271.6838064453,4868763.746310753,0.0
233,234,558271.6838064453,4868763.746310753,0.0,558255.0171397786,4868780.412977419,0.0
234,172,558255.0171397786,4868780.412977419,0.0,558238.350473112,4868797.079644086,0.0
82,235,558488.350473112,4868397.079644086,0.0,558471.6838064453,4868413.746310753,0.0
235,236,558471.6838064453,4868413.746310753,0.0,558455.0171397786,4868430.412977419,0.0
236,93,558455.0171397786,4868430.412977419,0.0,558438.350473112,4868447.079644086,0.0
25,237,558538.350473112,4868047.079644086,0.0,558538.350473112,4868072.079644086,0.0
237,32,558538.350473112,4868072.079644086,0.0,558538.350473112,4868097.079644086,0.0
4,238,558538.350473112,4867447.079644086,0.0,558538.350473112,4867472.079644086,0.0
238,5,558538.350473112,4867472.079644086,0.0,558538.350473112,4867497.079644086,0.0
125,239,558838.350473112,4868547.079644086,0.0,558863.350473112,4868547.079644086,0.0
239,126,558863.350473112,4868547.079644086,0.0,558888.350473112,4868547.079644086,0.0
134,240,558238.350473112,4868597.079644086,0.0,558238.350473112,4868622.079644086,0.0
240,143,558238.350473112,4868622.079644086,0.0,558238.350473112,4868647.079644086,0.0
74,241,558688.350473112,4868347.079644086,0.0,558705.0171397786,4868363.746310753,0.0
241,242,558705.0171397786,4868363.746310753,0.0,558721.6838064453,4868380.412977419,0.0
242,84,558721.6838064453,4868380.412977419,0.0,558738.350473112,4868397.079644086,0.0
22,243,558538.350473112,4867997.079644086,0.0,558538.350473112,4868022.079644086,0.0
243,25,558538.350473112,4868022.079644086,0.0,558538.350473112,4868047.079644086,0.0
143,244,558238.350473112,4868647.079644086,0.0,558221.6838064453,4868663.746310753,0.0
244,245,558221.6838064453,4868663.746310753,0.0,558205.0171397786,4868680.412977419,0.0
245,157,558205.0171397786,4868680.412977419,0.0,558188.350473112,4868697.079644086,0.0
26,246,560188.350473112,4868047.079644086,0.0,560171.6838064453,4868063.746310753,0.0
246,247,560171.6838064453,4868063.746310753,0.0,560155.0171397786,4868080.412977419,0.0
247,40,560155.0171397786,4868080.412977419,0.0,560138.350473112,4868097.079644086,0.0
186,248,557938.350473112,4868947.079644086,0.0,557938.350473112,4868972.079644086,0.0
248,191,557938.350473112,4868972.079644086,0.0,557938.350473112,4868997.079644086,0.0
86,249,558888.350473112,4868397.079644086,0.0,558913.350473112,4868397.079644086,0.0
249,87,558913.350473112,4868397.079644086,0.0,558938.350473112,4868397.079644086,0.0
159,250,558288.350473112,4868697.079644086,0.0,558288.350473112,4868722.079644086,0.0
250,166,558288.350473112,4868722.079644086,0.0,558288.350473112,4868747.079644086,0.0
212,251,557788.350473112,4869297.079644086,0.0,557771.6838064453,4869313.746310753,0.0
251,252,557771.6838064453,4869313.746310753,0.0,557755.0171397786,4869330.412977419,0.0
252,215,557755.0171397786,4869330.412977419,0.0,557738.350473112,4869347.079644086,0.0
193,253,558338.350473112,4868997.079644086,0.0,558321.6838064453,4869013.746310753,0.0
253,254,558321.6838064453,4869013.746310753,0.0,558305.0171397786,4869030.412977419,0.0
254,197,558305.0171397786,4869030.412977419,0.0,558288.350473112,4869047.079644086,0.0
152,255,558688.350473112,4868647.079644086,0.0,558671.6838064453,4868663.746310753,0.0
255,256,558671.6838064453,4868663.746310753,0.0,558655.0171397786,4868680.412977419,0.0
256,162,558655.0171397786,4868680.412977419,0.0,558638.350473112,4868697.079644086,0.0
69,257,558238.350473112,4868347.079644086,0.0,558263.350473112,4868347.079644086,0.0
257,70,558263.350473112,4868347.079644086,0.0,558288.350473112,4868347.079644086,0.0
198,258,557938.350473112,4869097.079644086,0.0,557938.350473112,4869122.079644086,0.0
258,202,557938.350473112,4869122.079644086,0.0,557938.350473112,4869147.079644086,0.0
5,259,558538.350473112,4867497.079644086,0.0,558538.350473112,4867522.079644086,0.0
259,6,558538.350473112,4867522.079644086,0.0,558538.350473112,4867547.079644086,0.0
13,260,558538.350473112,4867797.079644086,0.0,558538.350473112,4867822.079644086,0.0
260,15,558538.350473112,4867822.079644086,0.0,558538.350473112,4867847.079644086,0.0
182,261,557988.350473112,4868897.079644086,0.0,557971.6838064453,4868913.746310753,0.0
261,262,557971.6838064453,4868913.746310753,0.0,557955.0171397786,4868930.412977419,0.0
262,186,557955.0171397786,4868930.412977419,0.0,557938.350473112,4868947.079644086,0.0
91,263,558238.350473112,4868447.079644086,0.0,558238.350473112,4868472.079644086,0.0
263,100,558238.350473112,4868472.079644086,0.0,558238.350473112,4868497.079644086,0.0
123,264,558738.350473112,4868547.079644086,0.0,558763.350473112,4868547.079644086,0.0
264,124,558763.350473112,4868547.079644086,0.0,558788.350473112,4868547.079644086,0.0
126,265,558888.350473112,4868547.079644086,0.0,558913.350473112,4868547.079644086,0.0
265,127,558913.350473112,4868547.079644086,0.0,558938.350473112,4868547.079644086,0.0
34,266,559838.350473112,4868097.079644086,0.0,559863.350473112,4868097.079644086,0.0
266,35,559863.350473112,4868097.079644086,0.0,559888.350473112,4868097.079644086,0.0
63,267,558588.350473112,4868297.079644086,0.0,558605.0171397786,4868313.746310753,0.0
