id,x,y,type,z,is_conduit
0,558538.350473112,4867247.079644086,junction,0.0,True
1,558588.350473112,4867247.079644086,junction,0.0,True
2,558638.350473112,4867297.079644086,junction,0.0,True
3,558638.350473112,4867347.079644086,junction,0.0,True
4,558638.350473112,4867397.079644086,junction,0.0,True
5,558688.350473112,4867447.079644086,junction,0.0,True
6,558738.350473112,4867497.079644086,junction,0.0,True
7,558788.350473112,4867497.079644086,junction,0.0,True
8,558788.350473112,4867547.079644086,junction,0.0,True
9,558788.350473112,4867597.079644086,junction,0.0,True
10,558838.350473112,4867647.079644086,junction,0.0,True
11,558888.350473112,4867647.079644086,junction,0.0,True
12,558938.350473112,4867697.079644086,junction,0.0,True
13,558538.350473112,4867747.079644086,junction,0.0,True
14,558588.350473112,4867747.079644086,junction,0.0,True
15,558638.350473112,4867747.079644086,junction,0.0,True
16,558688.350473112,4867747.079644086,junction,0.0,True
17,558738.350473112,4867747.079644086,junction,0.0,True
18,558788.350473112,4867747.079644086,junction,0.0,True
19,558838.350473112,4867747.079644086,junction,0.0,True
20,558888.350473112,4867747.079644086,junction,0.0,True
21,558938.350473112,4867747.079644086,junction,0.0,True
22,558988.350473112,4867747.079644086,junction,0.0,True
23,558688.350473112,4867797.079644086,junction,0.0,True
24,558738.350473112,4867797.079644086,junction,0.0,True
25,558938.350473112,4867797.079644086,junction,0.0,True
26,558988.350473112,4867797.079644086,junction,0.0,True
27,559038.350473112,4867797.079644086,junction,0.0,True
28,558638.350473112,4867847.079644086,junction,0.0,True
29,558888.350473112,4867847.079644086,junction,0.0,True
30,559038.350473112,4867847.079644086,junction,0.0,True
31,558638.350473112,4867897.079644086,junction,0.0,True
32,558888.350473112,4867897.079644086,junction,0.0,True
33,559088.350473112,4867897.079644086,junction,0.0,True
34,559138.350473112,4867897.079644086,junction,0.0,True
35,558588.350473112,4867947.079644086,junction,0.0,True
36,558888.350473112,4867947.079644086,junction,0.0,True
37,559138.350473112,4867947.079644086,junction,0.0,True
38,558338.350473112,4867997.079644086,inlet,0.0,True
39,558588.350473112,4867997.079644086,junction,0.0,True
40,558888.350473112,4867997.079644086,junction,0.0,True
41,559188.350473112,4867997.079644086,junction,0.0,True
42,558338.350473112,4868047.079644086,junction,0.0,True
43,558588.350473112,4868047.079644086,junction,0.0,True
44,558688.350473112,4868047.079644086,junction,0.0,True
45,558738.350473112,4868047.079644086,junction,0.0,True
46,558788.350473112,4868047.079644086,junction,0.0,True
47,558838.350473112,4868047.079644086,junction,0.0,True
48,558888.350473112,4868047.079644086,junction,0.0,True
49,558938.350473112,4868047.079644086,junction,0.0,True
50,558988.350473112,4868047.079644086,junction,0.0,True
51,559038.350473112,4868047.079644086,junction,0.0,True
52,559088.350473112,4868047.079644086,junction,0.0,True
53,559138.350473112,4868047.079644086,junction,0.0,True
54,559188.350473112,4868047.079644086,junction,0.0,True
55,559238.350473112,4868047.079644086,junction,0.0,True
56,559288.350473112,4868047.079644086,junction,0.0,True
57,559338.350473112,4868047.079644086,junction,0.0,True
58,559388.350473112,4868047.079644086,junction,0.0,True
59,559438.350473112,4868047.079644086,junction,0.0,True
60,559488.350473112,4868047.079644086,junction,0.0,True
61,559538.350473112,4868047.079644086,junction,0.0,True
62,559588.350473112,4868047.079644086,junction,0.0,True
63,559638.350473112,4868047.079644086,junction,0.0,True
64,559688.350473112,4868047.079644086,junction,0.0,True
65,559738.350473112,4868047.079644086,junction,0.0,True
66,559788.350473112,4868047.079644086,junction,0.0,True
67,559838.350473112,4868047.079644086,junction,0.0,True
68,559888.350473112,4868047.079644086,junction,0.0,True
69,559938.350473112,4868047.079644086,junction,0.0,True
70,559988.350473112,4868047.079644086,junction,0.0,True
71,560038.350473112,4868047.079644086,junction,0.0,True
72,560088.350473112,4868047.079644086,junction,0.0,True
73,560138.350473112,4868047.079644086,junction,0.0,True
74,560188.350473112,4868047.079644086,junction,0.0,True
75,560238.350473112,4868047.079644086,junction,0.0,True
76,560288.350473112,4868047.079644086,junction,0.0,True
77,558338.350473112,4868097.079644086,junction,0.0,True
78,558438.350473112,4868097.079644086,junction,0.0,True
79,558488.350473112,4868097.079644086,junction,0.0,True
80,558538.350473112,4868097.079644086,junction,0.0,True
81,558588.350473112,4868097.079644086,junction,0.0,True
82,558638.350473112,4868097.079644086,junction,0.0,True
83,558788.350473112,4868097.079644086,junction,0.0,True
84,558888.350473112,4868097.079644086,junction,0.0,True
85,559038.350473112,4868097.079644086,junction,0.0,True
86,559388.350473112,4868097.079644086,junction,0.0,True
87,559438.350473112,4868097.079644086,junction,0.0,True
88,559488.350473112,4868097.079644086,junction,0.0,True
89,558338.350473112,4868147.079644086,junction,0.0,True
90,558388.350473112,4868147.079644086,junction,0.0,True
91,558538.350473112,4868147.079644086,junction,0.0,True
92,558738.350473112,4868147.079644086,junction,0.0,True
93,558888.350473112,4868147.079644086,junction,0.0,True
94,558988.350473112,4868147.079644086,junction,0.0,True
95,559338.350473112,4868147.079644086,junction,0.0,True
96,558338.350473112,4868197.079644086,junction,0.0,True
97,558538.350473112,4868197.079644086,junction,0.0,True
98,558688.350473112,4868197.079644086,junction,0.0,True
99,558888.350473112,4868197.079644086,junction,0.0,True
100,558938.350473112,4868197.079644086,junction,0.0,True
101,559338.350473112,4868197.079644086,junction,0.0,True
102,558338.350473112,4868247.079644086,junction,0.0,True
103,558538.350473112,4868247.079644086,junction,0.0,True
104,558688.350473112,4868247.079644086,junction,0.0,True
105,558888.350473112,4868247.079644086,junction,0.0,True
106,558938.350473112,4868247.079644086,junction,0.0,True
107,559188.350473112,4868247.079644086,junction,0.0,True
108,559238.350473112,4868247.079644086,junction,0.0,True
109,559288.350473112,4868247.079644086,junction,0.0,True
110,558338.350473112,4868297.079644086,junction,0.0,True
111,558538.350473112,4868297.079644086,junction,0.0,True
112,558688.350473112,4868297.079644086,junction,0.0,True
113,558888.350473112,4868297.079644086,junction,0.0,True
114,559138.350473112,4868297.079644086,junction,0.0,True
115,558288.350473112,4868347.079644086,junction,0.0,True
116,558538.350473112,4868347.079644086,junction,0.0,True
117,558638.350473112,4868347.079644086,junction,0.0,True
118,558888.350473112,4868347.079644086,junction,0.0,True
119,559038.350473112,4868347.079644086,junction,0.0,True
120,559088.350473112,4868347.079644086,junction,0.0,True
121,558288.350473112,4868397.079644086,junction,0.0,True
122,558488.350473112,4868397.079644086,junction,0.0,True
123,558588.350473112,4868397.079644086,junction,0.0,True
124,558838.350473112,4868397.079644086,junction,0.0,True
125,558938.350473112,4868397.079644086,junction,0.0,True
126,558988.350473112,4868397.079644086,junction,0.0,True
127,558238.350473112,4868447.079644086,junction,0.0,True
128,558438.350473112,4868447.079644086,junction,0.0,True
129,558588.350473112,4868447.079644086,junction,0.0,True
130,558738.350473112,4868447.079644086,junction,0.0,True
131,558788.350473112,4868447.079644086,junction,0.0,True
132,558838.350473112,4868447.079644086,junction,0.0,True
133,558888.350473112,4868447.079644086,junction,0.0,True
134,558238.350473112,4868497.079644086,junction,0.0,True
135,558388.350473112,4868497.079644086,junction,0.0,True
136,558488.350473112,4868497.079644086,junction,0.0,True
137,558538.350473112,4868497.079644086,junction,0.0,True
138,558588.350473112,4868497.079644086,junction,0.0,True
139,558638.350473112,4868497.079644086,junction,0.0,True
140,558688.350473112,4868497.079644086,junction,0.0,True
141,558738.350473112,4868497.079644086,junction,0.0,True
142,558788.350473112,4868497.079644086,junction,0.0,True
143,558838.350473112,4868497.079644086,junction,0.0,True
144,558888.350473112,4868497.079644086,junction,0.0,True
145,558938.350473112,4868497.079644086,junction,0.0,True
146,558988.350473112,4868497.079644086,junction,0.0,True
147,559038.350473112,4868497.079644086,junction,0.0,True
148,559088.350473112,4868497.079644086,junction,0.0,True
149,559138.350473112,4868497.079644086,junction,0.0,True
