id,x,y,type,z,is_conduit
2,558438.350473112,4867247.079644086,junction,0.0,True
19,558438.350473112,4867347.079644086,junction,0.0,True
39,558338.350473112,4867447.079644086,junction,0.0,True
40,558438.350473112,4867447.079644086,junction,0.0,True
63,558338.350473112,4867547.079644086,junction,0.0,True
64,558438.350473112,4867547.079644086,junction,0.0,True
88,558338.350473112,4867647.079644086,junction,0.0,True
89,558438.350473112,4867647.079644086,junction,0.0,True
115,558238.350473112,4867747.079644086,junction,0.0,True
117,558438.350473112,4867747.079644086,junction,0.0,True
142,558138.350473112,4867847.079644086,junction,0.0,True
144,558338.350473112,4867847.079644086,junction,0.0,True
145,558438.350473112,4867847.079644086,junction,0.0,True
146,558538.350473112,4867847.079644086,junction,0.0,True
147,558638.350473112,4867847.079644086,junction,0.0,True
170,558138.350473112,4867947.079644086,junction,0.0,True
172,558338.350473112,4867947.079644086,junction,0.0,True
173,558438.350473112,4867947.079644086,junction,0.0,True
174,558538.350473112,4867947.079644086,junction,0.0,True
175,558638.350473112,4867947.079644086,junction,0.0,True
176,558738.350473112,4867947.079644086,junction,0.0,True
177,558838.350473112,4867947.079644086,junction,0.0,True
178,558938.350473112,4867947.079644086,junction,0.0,True
200,558138.350473112,4868047.079644086,junction,0.0,True
202,558338.350473112,4868047.079644086,junction,0.0,True
203,558438.350473112,4868047.079644086,junction,0.0,True
205,558638.350473112,4868047.079644086,junction,0.0,True
206,558738.350473112,4868047.079644086,junction,0.0,True
207,558838.350473112,4868047.079644086,junction,0.0,True
208,558938.350473112,4868047.079644086,junction,0.0,True
209,559038.350473112,4868047.079644086,junction,0.0,True
210,559138.350473112,4868047.079644086,junction,0.0,True
211,559238.350473112,4868047.079644086,junction,0.0,True
212,559338.350473112,4868047.079644086,junction,0.0,True
213,559438.350473112,4868047.079644086,junction,0.0,True
214,559538.350473112,4868047.079644086,junction,0.0,True
215,559638.350473112,4868047.079644086,junction,0.0,True
216,559738.350473112,4868047.079644086,junction,0.0,True
217,559838.350473112,4868047.079644086,junction,0.0,True
218,559938.350473112,4868047.079644086,junction,0.0,True
219,560038.350473112,4868047.079644086,junction,0.0,True
220,560138.350473112,4868047.079644086,junction,0.0,True
221,560238.350473112,4868047.079644086,junction,0.0,True
229,558138.350473112,4868147.079644086,junction,0.0,True
230,558238.350473112,4868147.079644086,junction,0.0,True
231,558338.350473112,4868147.079644086,junction,0.0,True
232,558438.350473112,4868147.079644086,junction,0.0,True
234,558638.350473112,4868147.079644086,junction,0.0,True
236,558838.350473112,4868147.079644086,junction,0.0,True
237,558938.350473112,4868147.079644086,junction,0.0,True
243,559538.350473112,4868147.079644086,junction,0.0,True
258,558138.350473112,4868247.079644086,junction,0.0,True
259,558238.350473112,4868247.079644086,junction,0.0,True
260,558338.350473112,4868247.079644086,junction,0.0,True
261,558438.350473112,4868247.079644086,junction,0.0,True
262,558538.350473112,4868247.079644086,junction,0.0,True
263,558638.350473112,4868247.079644086,junction,0.0,True
267,559038.350473112,4868247.079644086,junction,0.0,True
268,559138.350473112,4868247.079644086,junction,0.0,True
269,559238.350473112,4868247.079644086,junction,0.0,True
270,559338.350473112,4868247.079644086,junction,0.0,True
271,559438.350473112,4868247.079644086,junction,0.0,True
285,558138.350473112,4868347.079644086,junction,0.0,True
286,558238.350473112,4868347.079644086,junction,0.0,True
287,558338.350473112,4868347.079644086,junction,0.0,True
288,558438.350473112,4868347.079644086,junction,0.0,True
289,558538.350473112,4868347.079644086,junction,0.0,True
290,558638.350473112,4868347.079644086,junction,0.0,True
295,559138.350473112,4868347.079644086,junction,0.0,True
296,559238.350473112,4868347.079644086,junction,0.0,True
309,558038.350473112,4868447.079644086,junction,0.0,True
310,558138.350473112,4868447.079644086,junction,0.0,True
311,558238.350473112,4868447.079644086,junction,0.0,True
312,558338.350473112,4868447.079644086,junction,0.0,True
313,558438.350473112,4868447.079644086,junction,0.0,True
314,558538.350473112,4868447.079644086,junction,0.0,True
315,558638.350473112,4868447.079644086,junction,0.0,True
316,558738.350473112,4868447.079644086,junction,0.0,True
317,558838.350473112,4868447.079644086,junction,0.0,True
318,558938.350473112,4868447.079644086,junction,0.0,True
319,559038.350473112,4868447.079644086,junction,0.0,True
320,559138.350473112,4868447.079644086,junction,0.0,True
321,559238.350473112,4868447.079644086,junction,0.0,True
322,559338.350473112,4868447.079644086,junction,0.0,True
323,559438.350473112,4868447.079644086,junction,0.0,True
324,559538.350473112,4868447.079644086,junction,0.0,True
333,558038.350473112,4868547.079644086,junction,0.0,True
334,558138.350473112,4868547.079644086,junction,0.0,True
335,558238.350473112,4868547.079644086,junction,0.0,True
336,558338.350473112,4868547.079644086,junction,0.0,True
337,558438.350473112,4868547.079644086,junction,0.0,True
338,558538.350473112,4868547.079644086,junction,0.0,True
339,558638.350473112,4868547.079644086,junction,0.0,True
340,558738.350473112,4868547.079644086,junction,0.0,True
341,558838.350473112,4868547.079644086,junction,0.0,True
342,558938.350473112,4868547.079644086,junction,0.0,True
343,559038.350473112,4868547.079644086,junction,0.0,True
344,559138.350473112,4868547.079644086,junction,0.0,True
345,559238.350473112,4868547.079644086,junction,0.0,True
346,559338.350473112,4868547.079644086,junction,0.0,True
355,558038.350473112,4868647.079644086,junction,0.0,True
356,558138.350473112,4868647.079644086,junction,0.0,True
357,558238.350473112,4868647.079644086,junction,0.0,True
358,558338.350473112,4868647.079644086,junction,0.0,True
359,558438.350473112,4868647.079644086,junction,0.0,True
361,558638.350473112,4868647.079644086,junction,0.0,True
363,558838.350473112,4868647.079644086,junction,0.0,True
365,559038.350473112,4868647.079644086,junction,0.0,True
366,559138.350473112,4868647.079644086,junction,0.0,True
374,557938.350473112,4868747.079644086,junction,0.0,True
375,558038.350473112,4868747.079644086,junction,0.0,True
376,558138.350473112,4868747.079644086,junction,0.0,True
377,558238.350473112,4868747.079644086,junction,0.0,True
379,558438.350473112,4868747.079644086,junction,0.0,True
380,558538.350473112,4868747.079644086,junction,0.0,True
381,558638.350473112,4868747.079644086,junction,0.0,True
383,558838.350473112,4868747.079644086,junction,0.0,True
384,558938.350473112,4868747.079644086,junction,0.0,True
392,557938.350473112,4868847.079644086,junction,0.0,True
393,558038.350473112,4868847.079644086,junction,0.0,True
394,558138.350473112,4868847.079644086,junction,0.0,True
395,558238.350473112,4868847.079644086,junction,0.0,True
396,558338.350473112,4868847.079644086,junction,0.0,True
397,558438.350473112,4868847.079644086,junction,0.0,True
399,558638.350473112,4868847.079644086,junction,0.0,True
400,558738.350473112,4868847.079644086,junction,0.0,True
408,557938.350473112,4868947.079644086,junction,0.0,True
409,558038.350473112,4868947.079644086,junction,0.0,True
410,558138.350473112,4868947.079644086,junction,0.0,True
411,558238.350473112,4868947.079644086,junction,0.0,True
412,558338.350473112,4868947.079644086,junction,0.0,True
413,558438.350473112,4868947.079644086,junction,0.0,True
414,558538.350473112,4868947.079644086,junction,0.0,True
415,558638.350473112,4868947.079644086,junction,0.0,True
422,557938.350473112,4869047.079644086,junction,0.0,True
423,558038.350473112,4869047.079644086,junction,0.0,True
425,558238.350473112,4869047.079644086,junction,0.0,True
426,558338.350473112,4869047.079644086,junction,0.0,True
427,558438.350473112,4869047.079644086,junction,0.0,True
434,557938.350473112,4869147.079644086,junction,0.0,True
435,558038.350473112,4869147.079644086,junction,0.0,True
436,558138.350473112,4869147.079644086,junction,0.0,True
443,557938.350473112,4869247.079644086,junction,0.0,True
444,558038.350473112,4869247.079644086,junction,0.0,True
445,558138.350473112,4869247.079644086,junction,0.0,True
449,557838.350473112,4869347.079644086,junction,0.0,True
450,557938.350473112,4869347.079644086,junction,0.0,True
451,558038.350473112,4869347.079644086,junction,0.0,True
454,557838.350473112,4869447.079644086,junction,0.0,True
466,559063.350473112,4868547.079644086,junction,0.0,True
467,559088.350473112,4868547.079644086,junction,0.0,True
468,559113.350473112,4868547.079644086,junction,0.0,True
521,558421.6838064453,4868263.746310753,junction,0.0,True
522,558405.0171397786,4868280.412977419,junction,0.0,True
523,558388.350473112,4868297.079644086,junction,0.0,True
524,558371.6838064453,4868313.746310753,junction,0.0,True
525,558355.0171397786,4868330.412977419,junction,0.0,True
526,558463.350473112,4867947.079644086,junction,0.0,True
527,558488.350473112,4867947.079644086,junction,0.0,True
528,558513.350473112,4867947.079644086,junction,0.0,True
534,558438.350473112,4868872.079644086,junction,0.0,True
535,558438.350473112,4868897.079644086,junction,0.0,True
536,558438.350473112,4868922.079644086,junction,0.0,True
545,558038.350473112,4868972.079644086,junction,0.0,True
546,558038.350473112,4868997.079644086,junction,0.0,True
547,558038.350473112,4869022.079644086,junction,0.0,True
551,558238.350473112,4868572.079644086,junction,0.0,True
552,558238.350473112,4868597.079644086,junction,0.0,True
553,558238.350473112,4868622.079644086,junction,0.0,True
554,558863.350473112,4868047.079644086,junction,0.0,True
555,558888.350473112,4868047.079644086,junction,0.0,True
556,558913.350473112,4868047.079644086,junction,0.0,True
600,558663.350473112,4868547.079644086,junction,0.0,True
601,558688.350473112,4868547.079644086,junction,0.0,True
602,558713.350473112,4868547.079644086,junction,0.0,True
603,558563.350473112,4867847.079644086,junction,0.0,True
604,558588.350473112,4867847.079644086,junction,0.0,True
605,558613.350473112,4867847.079644086,junction,0.0,True
663,559463.350473112,4868047.079644086,junction,0.0,True
664,559488.350473112,4868047.079644086,junction,0.0,True
665,559513.350473112,4868047.079644086,junction,0.0,True
669,558338.350473112,4868472.079644086,junction,0.0,True
670,558338.350473112,4868497.079644086,junction,0.0,True
671,558338.350473112,4868522.079644086,junction,0.0,True
687,558138.350473112,4868872.079644086,junction,0.0,True
688,558138.350473112,4868897.079644086,junction,0.0,True
689,558138.350473112,4868922.079644086,junction,0.0,True
708,558363.350473112,4868447.079644086,junction,0.0,True
709,558388.350473112,4868447.079644086,junction,0.0,True
710,558413.350473112,4868447.079644086,junction,0.0,True
725,558463.350473112,4868447.079644086,junction,0.0,True
726,558488.350473112,4868447.079644086,junction,0.0,True
727,558513.350473112,4868447.079644086,junction,0.0,True
728,559263.350473112,4868547.079644086,junction,0.0,True
729,559288.350473112,4868547.079644086,junction,0.0,True
730,559313.350473112,4868547.079644086,junction,0.0,True
752,558363.350473112,4868947.079644086,junction,0.0,True
753,558388.350473112,4868947.079644086,junction,0.0,True
754,558413.350473112,4868947.079644086,junction,0.0,True
763,558638.350473112,4868272.079644086,junction,0.0,True
764,558638.350473112,4868297.079644086,junction,0.0,True
765,558638.350473112,4868322.079644086,junction,0.0,True
766,558638.350473112,4868172.079644086,junction,0.0,True
767,558638.350473112,4868197.079644086,junction,0.0,True
768,558638.350473112,4868222.079644086,junction,0.0,True
782,558438.350473112,4868672.079644086,junction,0.0,True
783,558438.350473112,4868697.079644086,junction,0.0,True
784,558438.350473112,4868722.079644086,junction,0.0,True
852,558438.350473112,4867372.079644086,junction,0.0,True
853,558438.350473112,4867397.079644086,junction,0.0,True
854,558438.350473112,4867422.079644086,junction,0.0,True
868,559321.6838064453,4868263.746310753,junction,0.0,True
869,559305.0171397786,4868280.412977419,junction,0.0,True
870,559288.350473112,4868297.079644086,junction,0.0,True
871,559271.6838064453,4868313.746310753,junction,0.0,True
872,559255.0171397786,4868330.412977419,junction,0.0,True
886,559663.350473112,4868047.079644086,junction,0.0,True
887,559688.350473112,4868047.079644086,junction,0.0,True
888,559713.350473112,4868047.079644086,junction,0.0,True
889,558255.0171397786,4868863.746310753,junction,0.0,True
890,558271.6838064453,4868880.412977419,junction,0.0,True
891,558288.350473112,4868897.079644086,junction,0.0,True
892,558305.0171397786,4868913.746310753,junction,0.0,True
893,558321.6838064453,4868930.412977419,junction,0.0,True
924,558563.350473112,4868447.079644086,junction,0.0,True
925,558588.350473112,4868447.079644086,junction,0.0,True
926,558613.350473112,4868447.079644086,junction,0.0,True
944,558663.350473112,4868847.079644086,junction,0.0,True
945,558688.350473112,4868847.079644086,junction,0.0,True
946,558713.350473112,4868847.079644086,junction,0.0,True
