DATE,RCH[m3/s],RCH[m/day],m3/d,R_h
2018-01-01,0.038880504,0.000725545,3359.2755456000004,1679.6377728000002
2018-01-02,0.038671947,0.000721654,3341.2562208,196982.54380585602
2018-01-03,0.038463125,0.000717757,3323.214,169862.47947809217
2018-01-04,0.038254154,0.000713857,3305.1589056,146536.6909073513
2018-01-05,0.038045145,0.000709957,3287.1005280000004,126473.98315187408
2018-01-06,0.037836476,0.000706063,3269.0715264,109217.54305361971
2018-01-07,0.03762836,0.000702179,3251.090304,94374.50774304096
2018-01-08,0.037442296,0.000698707,3235.0143744,81608.0660217032
2018-01-09,0.037274162,0.00069557,3220.4875968,70627.55852784876
2018-01-10,0.037105294,0.000692418,3205.8974015999997,61182.252186237936
2018-01-11,0.036887224,0.000688349,3187.0561536000005,53054.82300502862
2018-01-12,0.073635524,0.001374106,6362.109273599999,47883.11592422862
2018-01-13,0.040306683,0.000752159,3482.4974112000004,40428.79623157262
2018-01-14,0.03828539,0.00071444,3307.857696,35156.76975905645
2018-01-15,0.037363891,0.000697244,3228.2401824000003,30652.540087476544
2018-01-16,0.036763116,0.000686033,3176.3332224,26783.551133565823
2018-01-17,0.036462767,0.000680428,3150.3830688,23463.74903845061
2018-01-18,0.036234645,0.000676171,3130.6733280000003,20608.64325044352
2018-01-19,0.040111383,0.000748515,3465.6234912,18352.649054325433
2018-01-20,0.04069717,0.000759446,3516.235488,16297.31431366387
2018-01-21,0.038174296,0.000712367,3298.2591744,14383.716779318933
2018-01-22,0.036915832,0.000688883,3189.5278848000003,12769.775879558281
2018-01-23,0.245869465,0.004588147,21243.121776,21719.08967827612
2018-01-24,0.085368584,0.001593055,7375.8456576,13748.106784469463
2018-01-25,0.060393331,0.001126994,5217.9837984000005,11626.008966963738
2018-01-26,0.05477057,0.001022069,4732.177248,10451.975709636816
2018-01-27,0.052990773,0.000988856,4578.4027872,9563.55248235166
2018-01-28,0.047781898,0.000891654,4128.3559872000005,8609.10484903043
2018-01-29,0.047256968,0.000881858,4083.0020352,7955.948255734169
2018-01-30,0.045837224,0.000855364,3960.3361536,7343.816232347384
2018-01-31,0.045469433,0.000848501,3928.5590111999995,6852.016050154751
2018-02-01,0.044224218,0.000825264,3820.9724352000003,6381.407716381085
2018-02-02,0.041830691,0.000780599,3614.1717024000004,5905.070359319734
2018-02-03,0.041472502,0.000773915,3583.2241728,5566.704455478971
2018-02-04,0.040247846,0.000751061,3477.4138943999997,5228.705357215915
2018-02-05,0.039955057,0.000745598,3452.1169248,4969.105279749687
2018-02-06,0.039685535,0.000740568,3428.8302240000003,4743.45349060073
2018-02-07,0.039298129,0.000733339,3395.3583456,4540.327262588628
2018-02-08,0.03870433,0.000722258,3344.0541120000003,4350.78820105822
2018-02-09,0.038453132,0.00071757,3322.3506048,4197.474429486068
2018-02-10,0.03765039,0.00070259,3252.993696,4035.423656014019
2018-02-11,0.036914819,0.000688864,3189.4403616,3889.6580610040564
2018-02-12,0.036654111,0.000683999,3166.9151904000005,3778.788235503489
2018-02-13,0.036391713,0.000679102,3144.2440032,3680.203432485
2018-02-14,0.036207579,0.000675666,3128.3348256,3596.1008811531
2018-02-15,0.036749103,0.000685772,3175.1224991999998,3557.282607327666
2018-02-16,0.036298679,0.000677366,3136.2058656,3481.597711037793
2018-02-17,0.034930736,0.000651839,3018.0155904,3365.8743958125015
2018-02-18,0.034575826,0.000645216,2987.3513663999997,3299.695555374751
2018-02-19,0.035493602,0.000662343,3066.6472128,3301.166001366286
2018-02-20,0.034798867,0.000649378,3006.6221087999998,3234.119061687006
2018-02-21,0.033890079,0.00063242,2928.1028255999995,3157.513496858825
2018-02-22,0.033893511,0.000632484,2928.3993504,3125.56502201859
2018-02-23,0.033516824,0.000625454,2895.8535936,3079.4107466159867
2018-02-24,0.033282854,0.000621088,2875.6385856,3042.190190633749
2018-02-25,0.043907838,0.00081936,3793.6372032,3542.1321779610244
2018-02-26,0.035070993,0.000654457,3030.1337952000003,3142.145938934481
2018-02-27,0.0826929,0.001543125,7144.66656,5471.747914747653
2018-02-28,0.056196138,0.001048671,4855.3463232,4401.043990106982
2018-03-01,0.04135359,0.000771696,3572.9501760000003,3733.6805128360047
2018-03-02,0.038959048,0.000727011,3366.0617472000004,3593.251861262964
2018-03-03,0.036083294,0.000673347,3117.5966016,3419.820112302149
2018-03-04,0.034339943,0.000640814,2966.9710751999996,3291.652270755848
2018-03-05,0.036158437,0.000674749,3124.0889568000002,3335.75409589003
2018-03-06,0.033344266,0.000622234,2880.9445824,3167.5286830094255
2018-03-07,0.033138556,0.000618396,2863.1712383999998,3117.2761028441055
2018-03-08,0.032717127,0.000610531,2826.7597728,3060.946886429931
2018-03-09,0.032499965,0.000606479,2807.996976,3017.4658963457405
2018-03-10,0.038860271,0.000725168,3357.5274144,3301.372597385337
2018-03-11,0.03608596,0.000673397,3117.826944,3172.60500363939
2018-03-12,0.03622089,0.000675915,3129.484896,3171.581107929875
2018-03-13,0.034075577,0.000635881,2944.1298528,3060.035263635693
2018-03-14,0.032831699,0.000612669,2836.6587936,2982.5500023746954
2018-03-15,0.032015946,0.000597447,2766.1777344,2921.9510294022384
2018-03-16,0.031490052,0.000587633,2720.7404927999996,2874.2435403899244
2018-03-17,0.031291465,0.000583927,2703.582576,2842.973101151335
2018-03-18,0.031092961,0.000580223,2686.4318304,2813.6825026381484
2018-03-19,0.030870631,0.000576074,2667.2225184,2784.9181006848075
2018-03-20,0.030647887,0.000571917,2647.9774368,2757.4710226529346
2018-03-21,0.030430784,0.000567866,2629.2197376,2731.450032089524
2018-03-22,0.030244565,0.000564391,2613.130416,2707.9668775489904
2018-03-23,0.030050769,0.000560775,2596.3864416,2685.145707524132
2018-03-24,0.029844387,0.000556923,2578.5550368,2662.5555095587533
2018-03-25,0.029638797,0.000553087,2560.7920608,2640.6705470525276
2018-03-26,0.029440777,0.000549392,2543.6831328000003,2619.735470017174
2018-03-27,0.087494733,0.001632731,7559.5449312,5468.1293678947695
2018-03-28,0.047919116,0.000894214,4140.2116224,3811.9075607415016
2018-03-29,0.035971212,0.000671255,3107.9127168,3269.4597531816917
2018-03-30,0.034305064,0.000640164,2963.9575296000003,3164.788711384255
2018-03-31,0.032996861,0.000615751,2850.9287904000003,3072.245964590459
2018-04-01,0.036009922,0.000671978,3111.2572608,3189.648788331795
2018-04-02,0.032073479,0.00059852,2771.1485856000004,2984.812029613344
2018-04-03,0.031343582,0.0005849,2708.0854848000004,2918.9531799954757
2018-04-04,0.030694616,0.000572789,2652.0148224,2857.4714251001087
2018-04-05,0.030583242,0.000570711,2642.3921088,2823.222553970094
2018-04-06,0.083134813,0.001551371,7182.8478432,5385.966060254281
2018-04-07,0.0412514,0.000769789,3564.12096,3574.8551864426818
2018-04-08,0.036923182,0.00068902,3190.1629248,3360.1963146767057
2018-04-09,0.03490632,0.000651384,3015.906048,3237.065220317967
