DATE,RCH[m3/s],RCH[m/day],m3/d,R_h,Q_l,Q_h,R_conduit
2018-01-01,0.038880504,0.000725545,3359.2755456000004,671.85510912,0.0,0.0,671.85510912
2018-01-02,0.038671947,0.000721654,3341.2562208,196120.49970088963,195452.24845672963,55316.02716523343,668.2512441599998
2018-01-03,0.038463125,0.000717757,3323.214,169125.77644078748,168461.13364078748,87526.55171313077,664.6427999999999
2018-01-04,0.038254154,0.000713857,3305.1589056,145907.7845096244,145246.75272850442,104166.78654842151,661.0317811199998
2018-01-05,0.038045145,0.000709957,3287.1005280000004,125937.7827112498,125280.3626056498,110512.8923463048,657.4201055999999
2018-01-06,0.037836476,0.000706063,3269.0715264,108761.06215709561,108107.24785181561,110235.40431170414,653.8143052799999
2018-01-07,0.03762836,0.000702179,3251.090304,93986.57332740942,93336.35526660942,105866.76769672967,650.2180607999999
2018-01-08,0.037442296,0.000698707,3235.0143744,81278.59001409689,80631.58713921689,99135.8334158088,647.0028748799999
2018-01-09,0.037274162,0.00069557,3220.4875968,70347.95706992813,69703.85955056813,91205.70871932516,644.0975193599999
2018-01-10,0.037105294,0.000692418,3205.8974015999997,60945.559202787794,60304.37972246779,82843.32358030477,641.1794803199998
2018-01-11,0.036887224,0.000688349,3187.0561536000005,52856.12808124549,52218.716850525496,74539.63313833364,637.4112307199999
2018-01-12,0.073635524,0.001374106,6362.109273599999,46893.074584815135,45620.652730095135,67260.61603507475,1272.4218547199996
2018-01-13,0.040306683,0.000752159,3482.4974112000004,40320.30054017621,39623.801057936216,59767.95901915482,696.4994822399999
2018-01-14,0.03828539,0.00071444,3307.857696,35108.52051097714,34446.94897177714,52885.83255263541,661.5715391999998
2018-01-15,0.037363891,0.000697244,3228.2401824000003,30631.587052637144,29985.939016157143,46664.421895560954,645.64803648
2018-01-16,0.036763116,0.000686033,3176.3332224,26778.92351928394,26143.65687480394,41098.64190353493,635.2666444799999
2018-01-17,0.036462767,0.000680428,3150.3830688,23466.46442979699,22836.38781603699,36160.36502826,630.0766137599999
2018-01-18,0.036234645,0.000676171,3130.6733280000003,20616.063600127807,19989.92893452781,31804.49779853032,626.1346656
2018-01-19,0.040111383,0.000748515,3465.6234912,18272.613412948318,17579.488714708317,28052.92013654335,693.1246982399998
2018-01-20,0.04069717,0.000759446,3516.235488,16215.425766905153,15512.178669305153,24776.636368198724,703.2470975999998
2018-01-21,0.038174296,0.000712367,3298.2591744,14369.53051801523,13709.87868313523,21869.266985422404,659.6518348799999
2018-01-22,0.036915832,0.000688883,3189.5278848000003,12785.628367553898,12147.722790593898,19318.45034468793,637.90557696
2018-01-23,0.245869465,0.004588147,21243.121776,17074.895594022753,12826.271238822754,20857.545587153258,4248.624355199999
2018-01-24,0.085368584,0.001593055,7375.8456576,13331.857110558769,11856.687979038768,18944.60266153179,1475.1691315199996
2018-01-25,0.060393331,0.001126994,5217.9837984000005,11824.762607074139,10781.165847394139,16858.29574756546,1043.5967596799999
2018-01-26,0.05477057,0.001022069,4732.177248,10748.24193013496,9801.80648053496,15009.223109119119,946.4354495999997
2018-01-27,0.052990773,0.000988856,4578.4027872,9858.015242866468,8942.334685426467,13429.468951661467,915.6805574399997
2018-01-28,0.047781898,0.000891654,4128.3559872000005,8978.454897473162,8152.783700033162,12010.8216605488,825.6711974399999
2018-01-29,0.047256968,0.000881858,4083.0020352,8285.290617010918,7468.690209970919,10813.979866429043,816.6004070399998
2018-01-30,0.045837224,0.000855364,3960.3361536,7658.698460498191,6866.631229778191,9783.556032964696,792.0672307199999
2018-01-31,0.045469433,0.000848501,3928.5590111999995,7131.013269103644,6345.301466863644,8910.64535690745,785.7118022399998
2018-02-01,0.044224218,0.000825264,3820.9724352000003,6649.102661285134,5884.9081742451335,8152.489094511314,764.1944870399999
2018-02-02,0.041830691,0.000780599,3614.1717024000004,6188.642600999615,5465.808260519615,7470.278363544094,722.8343404799999
2018-02-03,0.041472502,0.000773915,3583.2241728,5818.561045960469,5101.9162114004685,6890.2644390626465,716.6448345599998
2018-02-04,0.040247846,0.000751061,3477.4138943999997,5472.601076857202,4777.118297977203,6379.500695145855,695.4827788799997
2018-02-05,0.039955057,0.000745598,3452.1169248,5185.382216797994,4494.958831837995,5944.218283919245,690.4233849599999
2018-02-06,0.039685535,0.000740568,3428.8302240000003,4935.459625268675,4249.6935804686755,5572.162996652044,685.7660447999999
2018-02-07,0.039298129,0.000733339,3395.3583456,4714.088283030261,4035.016613910261,5250.813600631848,679.0716691199999
2018-02-08,0.03870433,0.000722258,3344.0541120000003,4513.4591709068245,3844.6483485068243,4968.441241046159,668.8108223999999
2018-02-09,0.038453132,0.00071757,3322.3506048,4342.970968413469,3678.500847453469,4725.41117987622,664.4701209599998
2018-02-10,0.03765039,0.00070259,3252.993696,4178.444761961982,3527.8460227619826,4505.517400084517,650.5987391999998
2018-02-11,0.036914819,0.000688864,3189.4403616,4029.052972394505,3391.164900074505,4307.056401682438,637.8880723199999
2018-02-12,0.036654111,0.000683999,3166.9151904000005,3904.4793534688743,3271.0963153888742,4135.678973132127,633.38303808
2018-02-13,0.036391713,0.000679102,3144.2440032,3794.146960232832,3165.2981595928322,3986.8763632380033,628.8488006399998
2018-02-14,0.036207579,0.000675666,3128.3348256,3698.1968828370354,3072.5299177170355,3858.4013079398956,625.6669651199999
2018-02-15,0.036749103,0.000685772,3175.1224991999998,3633.0139489870508,2997.989449147051,3759.95155465872,635.0244998399999
2018-02-16,0.036298679,0.000677366,3136.2058656,3556.767156333664,2929.525983213664,3667.980848656298,627.2411731199999
2018-02-17,0.034930736,0.000651839,3018.0155904,3461.01320976855,2857.4100916885504,3565.6317965882395,603.6031180799998
2018-02-18,0.034575826,0.000645216,2987.3513663999997,3389.426305168953,2791.9560318889535,3474.4199090868788,597.4702732799998
2018-02-19,0.035493602,0.000662343,3066.6472128,3357.8761178180994,2744.5466752580996,3415.3229265207747,613.3294425599998
2018-02-20,0.034798867,0.000649378,3006.6221087999998,3298.376238667566,2697.0518169075663,3352.5911713309483,601.3244217599998
2018-02-21,0.033890079,0.00063242,2928.1028255999995,3233.032644127707,2647.4120790077072,3283.872514988562,585.6205651199998
2018-02-22,0.033893511,0.000632484,2928.3993504,3190.434985271428,2604.755115191428,3227.437357149774,585.6798700799999
2018-02-23,0.033516824,0.000625454,2895.8535936,3143.595720267828,2564.425001547828,3174.0087111186367,579.1707187199999
2018-02-24,0.033282854,0.000621088,2875.6385856,3102.604740038332,2527.477022918332,3125.8221428273464,575.1277171199999
2018-02-25,0.043907838,0.00081936,3793.6372032,3357.2450471081647,2598.517606468165,3276.901217090643,758.7274406399998
2018-02-26,0.035070993,0.000654457,3030.1337952000003,3180.1268856650217,2574.100126625022,3232.0799624838833,606.0267590399999
2018-02-27,0.0826929,0.001543125,7144.66656,4442.862075617519,3013.928763617519,4051.245679088697,1428.9333119999997
2018-02-28,0.056196138,0.001048671,4855.3463232,4106.846789549467,3135.7775249094666,4204.106016944553,971.0692646399999
2018-03-01,0.04135359,0.000771696,3572.9501760000003,3811.5291263341414,3096.9390911341416,4057.8551346078402,714.5900351999999
2018-03-02,0.038959048,0.000727011,3366.0617472000004,3713.578883501761,3040.3665340617613,3905.3051739200328,673.2123494399999
2018-03-03,0.036083294,0.000673347,3117.5966016,3587.405358992315,2963.886038672315,3738.0867772848615,623.5193203199999
2018-03-04,0.034339943,0.000640814,2966.9710751999996,3474.636968720591,2881.2427536805912,3578.9279718366524,593.3942150399998
2018-03-05,0.036158437,0.000674749,3124.0889568000002,3452.5845226869083,2827.7667313269085,3489.030940236181,624.8177913599999
2018-03-06,0.033344266,0.000622234,2880.9445824,3330.734098649941,2754.545182169941,3368.5452972931257,576.1889164799999
2018-03-07,0.033138556,0.000618396,2863.1712383999998,3262.218283046949,2689.5840353669496,3271.134049209536,572.6342476799998
2018-03-08,0.032717127,0.000610531,2826.7597728,3194.9913195291765,2629.6393649691768,3187.260016119387,565.3519545599999
2018-03-09,0.032499965,0.000606479,2807.996976,3137.584910385492,2575.985515185492,3117.295446628679,561.5993951999999
2018-03-10,0.038860271,0.000725168,3357.5274144,3262.896096352323,2591.3906134723234,3176.0193290333723,671.5054828799998
2018-03-11,0.03608596,0.000673397,3117.826944,3201.3579341141976,2577.792545314198,3169.6961042344265,623.5653887999998
2018-03-12,0.03622089,0.000675915,3129.484896,3193.3008765222103,2567.4038973222105,3166.1695484652496,625.8969791999998
2018-03-13,0.034075577,0.000635881,2944.1298528,3126.5358657707006,2537.709895210701,3124.0385029811055,588.8259705599999
2018-03-14,0.032831699,0.000612669,2836.6587936,3067.4680534844024,2500.1362947644025,3068.5703532708317,567.3317587199999
2018-03-15,0.032015946,0.000597447,2766.1777344,3013.164666630186,2459.929119750186,3010.490396971742,553.2355468799999
