date,S_m,R_o_m,R_h_m,Q_l,Q_h,R_h
2017-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-02,0.0,13672.520544727424,1646.1733904000002,4101.756163418227,2299.171821527291,1646.1733904000002
2017-01-03,0.0,0.0,0.0,2871.2293143927586,2527.994818673478,0.0
2017-01-04,0.0,0.0,0.0,2009.8605200749314,2320.741099234059,0.0
2017-01-05,0.0,0.0,0.0,1406.902364052452,1955.2056051614163,0.0
2017-01-06,0.0,0.0,0.0,984.8316548367163,1567.0560250315366,0.0
2017-01-07,0.0,0.0,0.0,689.3821583857014,1215.9864783732025,0.0
2017-01-08,0.0,0.0,0.0,482.567510869991,922.6188913719178,0.0
2017-01-09,0.0,10676.999871695898,1175.838136,3540.897219117763,2440.265476870256,1175.838136
2017-01-10,0.0,29260.952111020768,3292.3467808000005,11256.913686688664,7283.86347311762,3292.3467808000005
2017-01-11,0.0,245.39384602451875,117.58381360000001,7953.457734489421,7598.73470310634,117.58381360000001
2017-01-12,0.0,0.0,0.0,5567.420414142595,6786.208987520842,0.0
2017-01-13,0.0,0.0,0.0,3897.194289899817,5630.603108472432,0.0
2017-01-14,0.0,0.0,0.0,2728.0360029298718,4469.576266255407,0.0
2017-01-15,0.0,0.0,0.0,1909.62520205091,3445.5958405736087,0.0
2017-01-16,0.0,50207.6170871198,5526.4392392,16399.022767571576,10837.542307052798,5526.4392392
2017-01-17,0.0,2855.183005942556,352.7514408,12335.87083908287,11577.974296184826,352.7514408
2017-01-18,0.0,511.66410736431385,0.0,8788.608819567304,10462.228105537819,0.0
2017-01-19,0.0,3736.737530551383,352.7514408,7273.047432862528,9327.6564127877,352.7514408
2017-01-20,0.0,237.15423535647977,0.0,5162.2794736107135,7661.505637116905,0.0
2017-01-21,0.0,26610.157099466873,2939.59534,11596.642761367562,10411.398622817169,2939.59534
2017-01-22,0.0,357.4564534035326,0.0,8224.886868978352,9536.793921281642,0.0
2017-01-23,0.0,0.0,0.0,5757.420808284847,8025.044676082925,0.0
2017-01-24,0.0,33279.539916386006,3880.2658488,14014.056540715195,11972.755761455832,3880.2658488
2017-01-25,0.0,46169.887706813046,5291.2716120000005,23660.80589054455,18764.484457891318,5291.2716120000005
2017-01-26,0.0,0.0,0.0,16562.564123381184,17883.716324087265,0.0
2017-01-27,0.0,0.0,0.0,11593.79488636683,15367.747748999092,0.0
2017-01-28,0.0,0.0,0.0,8115.656420456781,12466.911217582167,0.0
2017-01-29,0.0,0.0,0.0,5680.959494319747,9752.530528277199,0.0
2017-01-30,0.0,1679.782469319073,352.7514408,4480.606386819545,7784.861448014138,352.7514408
2017-01-31,0.0,0.0,0.0,3136.424470773682,5925.4866571179555,0.0
2017-02-01,0.0,0.0,117.58381360000001,2195.4971295415776,4480.524371527405,117.58381360000001
2017-02-02,0.0,0.0,0.0,1536.847990679104,3303.053819188084,0.0
2017-02-03,0.0,0.0,0.0,1075.7935934753727,2412.149728903,0.0
2017-02-04,0.0,0.0,0.0,753.055515432761,1748.5120435149042,0.0
2017-02-05,0.0,0.0,0.0,527.1388608029328,1259.9627704301156,0.0
2017-02-06,0.0,0.0,0.0,368.99720256205296,903.5765432828907,0.0
2017-02-07,0.0,0.0,0.0,258.29804179343705,645.4651426871092,0.0
2017-02-08,0.0,0.0,0.0,180.80862925540595,459.60253731442793,0.0
2017-02-09,0.0,0.0,0.0,126.56604047878417,326.3879385801704,0.0
2017-02-10,0.0,0.0,0.0,88.59622833514892,231.2712544821618,0.0
2017-02-11,0.0,0.0,0.0,62.01735983460426,163.56969662313878,0.0
2017-02-12,0.0,0.0,470.33525440000005,43.41215188422298,303.6407804875725,470.33525440000005
2017-02-13,0.0,0.0,0.0,30.388506318956082,194.33987082012592,0.0
2017-02-14,0.0,0.0,0.0,21.271954423269257,125.11270426138324,0.0
2017-02-15,0.0,0.0,0.0,14.89036809628848,81.02376979534534,0.0
2017-02-16,0.0,0.0,0.0,10.423257667401938,52.78356494416798,0.0
2017-02-17,0.0,0.0,0.0,7.296280367181357,34.588651113373324,0.0
2017-02-18,0.0,0.0,0.0,5.1073962570269495,22.796149170834774,0.0
2017-02-19,0.0,0.0,0.0,3.5751773799188653,15.107760454468412,0.0
2017-02-20,0.0,88125.73185418796,9524.288901600003,26440.222180422334,14394.869089081616,9524.288901600003
2017-02-21,0.0,0.0,0.0,18508.15552629563,16040.183663967224,0.0
2017-02-22,0.0,0.0,0.0,12955.708868406944,14806.393745743111,0.0
2017-02-23,0.0,28001.566794493003,3880.2658488,17469.46624623276,17423.729085458974,3880.2658488
2017-02-24,0.0,41620.87128911687,5526.4392392,24714.887759097994,22550.76825059458,5526.4392392
2017-02-25,0.0,0.0,0.0,17300.42143136859,20450.629522904186,0.0
2017-02-26,0.0,0.0,0.0,12110.295001958015,17114.495714525718,0.0
2017-02-27,0.0,0.0,0.0,8477.20650137061,13659.580029263674,0.0
2017-02-28,0.0,0.0,0.0,5934.044550959427,10569.365837941976,0.0
2017-03-01,0.0,7163.248452873228,1411.0057632,6302.805721533568,9427.144096658612,1411.0057632
2017-03-02,0.0,0.0,0.0,4411.964005073498,7421.072060024567,0.0
2017-03-03,0.0,0.0,352.7514408,3088.3748035514486,5829.09373375532,352.7514408
2017-03-04,0.0,0.0,0.0,2161.862362486014,4362.201185247598,0.0
2017-03-05,0.0,0.0,0.0,1513.3036537402097,3222.6421726446424,0.0
2017-03-06,0.0,98185.03812755569,10817.710851200001,30514.82399588485,18466.59924242073,10817.710851200001
2017-03-07,0.0,0.0,0.0,21360.3767971194,19624.110264300194,0.0
2017-03-08,0.0,0.0,0.0,14952.26375798358,17755.371661773548,0.0
2017-03-09,0.0,0.0,0.0,10466.584630588504,14839.856849299533,0.0
2017-03-10,0.0,0.0,0.0,7326.609241411953,11834.5578061445,0.0
2017-03-11,0.0,0.0,0.0,5128.626468988367,9152.185271282046,0.0
2017-03-12,0.0,34431.11640045824,3997.8496624,13919.373448429327,12658.200407100958,3997.8496624
2017-03-13,0.0,1290.990354293171,352.7514408,10130.858520188482,11788.36422865597,352.7514408
2017-03-14,0.0,0.0,0.0,7091.600964131938,9909.658922846356,0.0
2017-03-15,0.0,0.0,0.0,4964.120674892357,7931.443623664757,0.0
2017-03-16,0.0,0.0,0.0,3474.8844724246496,6148.819963168714,0.0
2017-03-17,0.0,0.0,0.0,2432.419130697255,4662.25963018013,0.0
2017-03-18,0.0,0.0,0.0,1702.693391488078,3478.4331347033094,0.0
2017-03-19,0.0,0.0,0.0,1191.8853740416546,2563.814030438647,0.0
2017-03-20,0.0,0.0,0.0,834.3197618291583,1872.0163229948514,0.0
2017-03-21,0.0,0.0,0.0,584.0238332804108,1356.8193271090752,0.0
2017-03-22,0.0,0.0,0.0,408.8166832962876,977.6182695839602,0.0
2017-03-23,0.0,2778.550202298224,823.0866952000001,1119.7367389968686,1363.7003354291237,823.0866952000001
2017-03-24,0.0,74688.46963466796,8701.202206400001,23190.35660769819,13574.843726896752,8701.202206400001
2017-03-25,0.0,5634.597727199543,1058.2543223999999,17923.6289435486,15737.65954251749,1058.2543223999999
2017-03-26,0.0,0.0,0.0,12546.540260484022,14461.211829704102,0.0
2017-03-27,0.0,0.0,0.0,8782.578182338815,12189.758370757989,0.0
2017-03-28,0.0,0.0,0.0,6147.80472763717,9772.976913509661,0.0
2017-03-29,0.0,45875.499495824035,5408.855425600001,18066.113158093227,15253.77358158309,5408.855425600001
2017-03-30,0.0,2568.3539775118543,823.0866952000001,13416.785403918817,14848.212988597379,823.0866952000001
2017-03-31,0.0,0.0,0.0,9391.749782743173,12665.627706255698,0.0
2017-04-01,0.0,0.0,0.0,6574.224847920221,10229.066562921507,0.0
2017-04-02,0.0,5967.767042730251,940.6705088000001,6392.28750636323,9070.623143818195,940.6705088000001
2017-04-03,0.0,29760.521549795143,3527.514408,13402.757719392803,12214.482737248038,3527.514408
2017-04-04,0.0,15431.64815515114,3292.3467808000005,14011.424850120304,14250.198294716945,3292.3467808000005
2017-04-05,0.0,0.0,0.0,9807.997395084212,12473.317934863851,0.0
2017-04-06,0.0,0.0,0.0,6865.5981765589495,10230.23003154189,0.0
2017-04-07,0.0,0.0,0.0,4805.918723591264,8060.505508361641,0.0
2017-04-08,0.0,0.0,0.0,3364.143106513885,6181.960547622538,0.0
2017-04-09,0.0,54010.84472399514,6584.693561600001,18558.153591758262,13766.315189916828,6584.693561600001
2017-04-10,0.0,0.0,352.7514408,12990.707514230782,13597.17269596241,352.7514408
2017-04-11,0.0,0.0,0.0,9093.495259961548,11795.701721562065,0.0
2017-04-12,0.0,7422.9928150523665,1411.0057632,8592.344526488794,11078.761148812757,1411.0057632
2017-04-13,0.0,1540.886921111968,705.5028816,6476.907244875748,9520.220739877952,705.5028816
2017-04-14,0.0,35033.53436176058,4703.352544,15043.895379941197,13611.031613503252,4703.352544
2017-04-15,0.0,0.0,1411.0057632,10530.726765958838,12943.311979765487,1411.0057632
2017-04-16,0.0,0.0,0.0,7371.508736171186,10714.590682327766,0.0
2017-04-17,0.0,0.0,0.0,5160.0561153198305,8492.776855524591,0.0
2017-04-18,0.0,0.0,940.6705088000001,3612.039280723882,6916.750029124309,940.6705088000001
2017-04-19,0.0,142003.623752101,16226.566276799998,45129.51462213702,28692.482377049397,16226.566276799998
2017-04-20,0.0,1302.1627310302936,940.6705088000001,31981.309054805006,30384.281251671644,940.6705088000001
2017-04-21,0.0,0.0,0.0,22386.916338363502,27185.335286348385,0.0
2017-04-22,0.0,0.0,0.0,15670.841436854453,22579.53774655081,0.0
2017-04-23,0.0,0.0,0.0,10969.589005798116,17935.55825024973,0.0
2017-04-24,0.0,0.0,0.0,7678.712304058681,13832.81987177331,0.0
2017-04-25,0.0,20850.1258343718,2822.0115264,11630.136363152616,14080.551078885032,2822.0115264
2017-04-26,0.0,0.0,117.58381360000001,8141.095454206832,11751.802354453752,117.58381360000001
2017-04-27,0.0,0.0,235.16762720000003,5698.766817944782,9424.655190730164,235.16762720000003
2017-04-28,0.0,0.0,0.0,3989.1367725613472,7250.447823462637,0.0
2017-04-29,0.0,0.0,0.0,2792.3957407929433,5467.22699039476,0.0
2017-04-30,0.0,75123.29919681934,9289.1212744,24491.66677760086,16792.651415037202,9289.1212744
2017-05-01,0.0,18489.393423702553,2704.4277128000003,22690.98477143137,20233.75584271487,2704.4277128000003
2017-05-02,0.0,0.0,0.0,15883.689340001958,18493.729241629702,0.0
2017-05-03,0.0,0.0,0.0,11118.58253800137,15543.67056017837,0.0
2017-05-04,0.0,0.0,0.0,7783.007776600959,12439.405446747405,0.0
2017-05-05,0.0,0.0,0.0,5448.105443620671,9642.885445496713,0.0
2017-05-06,0.0,0.0,0.0,3813.6738105344693,7311.200791511815,0.0
2017-05-07,0.0,0.0,0.0,2669.5716673741285,5454.54914185674,0.0
2017-05-08,0.0,1006.9679544104034,940.6705088000001,2170.7905534850106,4517.313910028049,940.6705088000001
2017-05-09,0.0,0.0,0.0,1519.5533874395076,3318.2097009926324,0.0
2017-05-10,0.0,0.0,117.58381360000001,1063.6873712076554,2463.4342945186418,117.58381360000001
2017-05-11,0.0,0.0,0.0,744.5811598453587,1775.8930406493282,0.0
2017-05-12,0.0,0.0,0.0,521.206811891751,1274.0185491462971,0.0
2017-05-13,0.0,0.0,0.0,364.8447683242258,910.3490368174686,0.0
2017-05-14,0.0,0.0,0.0,255.39133782695808,648.3659572212645,0.0
2017-05-15,0.0,0.0,352.7514408,178.77393647887067,601.6297252443069,352.7514408
2017-05-16,0.0,0.0,1058.2543223999999,125.14175553520946,834.336266320668,1058.2543223999999
2017-05-17,0.0,102474.16645774906,12228.7166144,30829.849166199365,17724.028072032146,12228.7166144
2017-05-18,0.0,0.0,587.919068,21580.894416339557,19501.94223695511,587.919068
2017-05-19,0.0,0.0,117.58381360000001,15106.626091437689,17790.84930418814,117.58381360000001
2017-05-20,0.0,83223.18439222018,9877.0403424,35541.59358167243,28841.96315214186,9877.0403424
2017-05-21,0.0,0.0,0.0,24879.115507170703,27256.824094153395,0.0
2017-05-22,0.0,0.0,1646.1733904000002,17415.38085501949,23978.716154659833,1646.1733904000002
2017-05-23,0.0,43047.37535550662,5879.19068,25104.97920516563,26780.897646862155,5879.19068
2017-05-24,0.0,0.0,0.0,17573.48544361594,23097.932765563666,0.0
2017-05-25,0.0,0.0,470.33525440000005,12301.439810531161,18967.469685310665,470.33525440000005
2017-05-26,0.0,0.0,0.0,8611.007867371813,14824.884958135122,0.0
2017-05-27,0.0,0.0,0.0,6027.705507160269,11306.01317774518,0.0
2017-05-28,0.0,0.0,0.0,4219.3938550121875,8471.365448651983,0.0
2017-05-29,0.0,0.0,117.58381360000001,2953.5756985085313,6311.283074034603,117.58381360000001
2017-05-30,0.0,0.0,0.0,2067.502988955972,4613.77104000315,0.0
2017-05-31,0.0,0.0,0.0,1447.2520922691804,3347.163460909562,0.0
2017-06-01,0.0,0.0,0.0,1013.0764645884265,2413.528662381108,0.0
2017-06-02,0.0,0.0,0.0,709.1535252118985,1731.7786075134243,0.0
2017-06-03,0.0,0.0,705.5028816,496.407467648329,1519.831304207386,705.5028816
2017-06-04,0.0,0.0,0.0,347.48522735383034,1050.8928734659637,0.0
2017-06-05,0.0,0.0,0.0,243.2396591476812,727.8315877386508,0.0
2017-06-06,0.0,0.0,0.0,170.26776140337685,504.80605720454116,0.0
2017-06-07,0.0,0.0,0.0,119.18743298236377,350.5586075156702,0.0
2017-06-08,0.0,0.0,0.0,83.43120308765465,243.70764574446395,0.0
2017-06-09,0.0,0.0,0.0,58.40184216135826,169.58532431122168,0.0
2017-06-10,0.0,0.0,0.0,40.88128951295078,118.10371039191332,0.0
2017-06-11,0.0,0.0,117.58381360000001,28.616902659065545,129.34251273877422,117.58381360000001
